district,localities,facility,type,owned,rented,rentfree,total,pct
CHAKWAL DISTRICT,Urban,Latrine,Connected With Sewerage,9839,2726,387,12952,26.85
CHAKWAL DISTRICT,Urban,Latrine,Connected With Septic Tank,12324,3428,695,16447,34.09
CHAKWAL DISTRICT,Urban,Latrine,Connected With Open Drain,1678,519,121,2318,4.81
CHAKWAL DISTRICT,Urban,Latrine,Pit With Slab,10909,2387,398,13694,28.39
CHAKWAL DISTRICT,Urban,Latrine,Other,607,154,48,809,1.68
CHAKWAL DISTRICT,Urban,Latrine,None,1279,296,445,2020,4.19
JHELUM DISTRICT,All,Kitchen,Separate,137470,15540,5843,158853,78
JHELUM DISTRICT,All,Kitchen,Shared,24189,3682,1150,29021,14.25
JHELUM DISTRICT,All,Kitchen,None,11842,1836,2102,15780,7.75
JHELUM DISTRICT,All,Bathroom,Separate,130824,15802,6125,152751,75.01000000000001
JHELUM DISTRICT,All,Bathroom,Shared,30643,4219,1378,36240,17.79
JHELUM DISTRICT,All,Bathroom,None,12034,1037,1592,14663,7.2
JHELUM DISTRICT,All,Latrine,Connected With Sewerage,22758,6588,1922,31268,15.35
JHELUM DISTRICT,All,Latrine,Connected With Septic Tank,42976,6195,1979,51150,25.12
JHELUM DISTRICT,All,Latrine,Connected With Open Drain,11695,1266,633,13594,6.68
JHELUM DISTRICT,All,Latrine,Pit With Slab,75897,5907,2548,84352,41.42
JHELUM DISTRICT,All,Latrine,Other,3013,280,194,3487,1.71
JHELUM DISTRICT,All,Latrine,None,17162,822,1819,19803,9.720000000000001
JHELUM DISTRICT,Rural,Kitchen,Separate,106166,4683,3136,113985,78.41
JHELUM DISTRICT,Rural,Kitchen,Shared,16793,773,664,18230,12.54
JHELUM DISTRICT,Rural,Kitchen,None,10498,894,1767,13159,9.050000000000001
JHELUM DISTRICT,Rural,Bathroom,Separate,100783,4784,3362,108929,74.93000000000001
JHELUM DISTRICT,Rural,Bathroom,Shared,21708,954,837,23499,16.16
JHELUM DISTRICT,Rural,Bathroom,None,10966,612,1368,12946,8.91
JHELUM DISTRICT,Rural,Latrine,Connected With Sewerage,10438,605,403,11446,7.87
JHELUM DISTRICT,Rural,Latrine,Connected With Septic Tank,33070,1929,1224,36223,24.92
JHELUM DISTRICT,Rural,Latrine,Connected With Open Drain,8058,293,477,8828,6.07
JHELUM DISTRICT,Rural,Latrine,Pit With Slab,63110,2732,1668,67510,46.44
JHELUM DISTRICT,Rural,Latrine,Other,2396,155,132,2683,1.85
JHELUM DISTRICT,Rural,Latrine,None,16385,636,1663,18684,12.85
JHELUM DISTRICT,Urban,Kitchen,Separate,31304,10857,2707,44868,76.98999999999999
JHELUM DISTRICT,Urban,Kitchen,Shared,7396,2909,486,10791,18.52
JHELUM DISTRICT,Urban,Kitchen,None,1344,942,335,2621,4.5
JHELUM DISTRICT,Urban,Bathroom,Separate,30041,11018,2763,43822,75.19
JHELUM DISTRICT,Urban,Bathroom,Shared,8935,3265,541,12741,21.86
JHELUM DISTRICT,Urban,Bathroom,None,1068,425,224,1717,2.95
JHELUM DISTRICT,Urban,Latrine,Connected With Sewerage,12320,5983,1519,19822,34.01
JHELUM DISTRICT,Urban,Latrine,Connected With Septic Tank,9906,4266,755,14927,25.61
JHELUM DISTRICT,Urban,Latrine,Connected With Open Drain,3637,973,156,4766,8.18
JHELUM DISTRICT,Urban,Latrine,Pit With Slab,12787,3175,880,16842,28.9
JHELUM DISTRICT,Urban,Latrine,Other,617,125,62,804,1.38
JHELUM DISTRICT,Urban,Latrine,None,777,186,156,1119,1.92
RAWALPINDI DISTRICT,All,Kitchen,Separate,460396,201601,27561,689558,78.28
RAWALPINDI DISTRICT,All,Kitchen,Shared,105145,42369,5868,153382,17.41
RAWALPINDI DISTRICT,All,Kitchen,None,21288,11544,5124,37956,4.31
RAWALPINDI DISTRICT,All,Bathroom,Separate,453227,206727,28591,688545,78.16
RAWALPINDI DISTRICT,All,Bathroom,Shared,110557,43920,6174,160651,18.24
RAWALPINDI DISTRICT,All,Bathroom,None,23045,4867,3788,31700,3.6
RAWALPINDI DISTRICT,All,Latrine,Connected With Sewerage,225110,168255,19531,412896,46.87
RAWALPINDI DISTRICT,All,Latrine,Connected With Septic Tank,116254,33238,6273,155765,17.68
RAWALPINDI DISTRICT,All,Latrine,Connected With Open Drain,32812,15169,2364,50345,5.72
RAWALPINDI DISTRICT,All,Latrine,Pit With Slab,182425,35068,6046,223539,25.38
RAWALPINDI DISTRICT,All,Latrine,Other,5692,1553,559,7804,.89
RAWALPINDI DISTRICT,All,Latrine,None,24536,2231,3780,30547,3.47
RAWALPINDI DISTRICT,Rural,Kitchen,Separate,250540,45773,9092,305405,77.79000000000001
RAWALPINDI DISTRICT,Rural,Kitchen,Shared,51690,11076,2673,65439,16.67
RAWALPINDI DISTRICT,Rural,Kitchen,None,15186,3300,3269,21755,5.54
RAWALPINDI DISTRICT,Rural,Bathroom,Separate,241441,47310,9620,298371,76
RAWALPINDI DISTRICT,Rural,Bathroom,Shared,58244,11011,2723,71978,18.33
RAWALPINDI DISTRICT,Rural,Bathroom,None,17731,1828,2691,22250,5.67
RAWALPINDI DISTRICT,Rural,Latrine,Connected With Sewerage,66217,33417,2927,102561,26.12
RAWALPINDI DISTRICT,Rural,Latrine,Connected With Septic Tank,73941,10247,3115,87303,22.24
RAWALPINDI DISTRICT,Rural,Latrine,Connected With Open Drain,16631,3936,1166,21733,5.54
RAWALPINDI DISTRICT,Rural,Latrine,Pit With Slab,134704,10912,4188,149804,38.16
RAWALPINDI DISTRICT,Rural,Latrine,Other,3761,491,415,4667,1.19
RAWALPINDI DISTRICT,Rural,Latrine,None,22162,1146,3223,26531,6.76
RAWALPINDI DISTRICT,Urban,Kitchen,Separate,209856,155828,18469,384153,78.67
RAWALPINDI DISTRICT,Urban,Kitchen,Shared,53455,31293,3195,87943,18.01
RAWALPINDI DISTRICT,Urban,Kitchen,None,6102,8244,1855,16201,3.32
RAWALPINDI DISTRICT,Urban,Bathroom,Separate,211786,159417,18971,390174,79.91
RAWALPINDI DISTRICT,Urban,Bathroom,Shared,52313,32909,3451,88673,18.16
RAWALPINDI DISTRICT,Urban,Bathroom,None,5314,3039,1097,9450,1.94
RAWALPINDI DISTRICT,Urban,Latrine,Connected With Sewerage,158893,134838,16604,310335,63.55
RAWALPINDI DISTRICT,Urban,Latrine,Connected With Septic Tank,42313,22991,3158,68462,14.02
RAWALPINDI DISTRICT,Urban,Latrine,Connected With Open Drain,16181,11233,1198,28612,5.86
RAWALPINDI DISTRICT,Urban,Latrine,Pit With Slab,47721,24156,1858,73735,15.1
RAWALPINDI DISTRICT,Urban,Latrine,Other,1931,1062,144,3137,.64
RAWALPINDI DISTRICT,Urban,Latrine,None,2374,1085,557,4016,.82
BHAKKAR DISTRICT,All,Kitchen,Separate,102055,3798,2190,108043,40.42
BHAKKAR DISTRICT,All,Kitchen,Shared,53661,954,1208,55823,20.88
BHAKKAR DISTRICT,All,Kitchen,None,94670,1538,7243,103451,38.7
BHAKKAR DISTRICT,All,Bathroom,Separate,118869,4243,2543,125655,47.01
BHAKKAR DISTRICT,All,Bathroom,Shared,67152,1293,1539,69984,26.18
BHAKKAR DISTRICT,All,Bathroom,None,64365,754,6559,71678,26.81
BHAKKAR DISTRICT,All,Latrine,Connected With Sewerage,21669,2438,648,24755,9.26
BHAKKAR DISTRICT,All,Latrine,Connected With Septic Tank,53527,939,883,55349,20.71
BHAKKAR DISTRICT,All,Latrine,Connected With Open Drain,25712,963,825,27500,10.29
BHAKKAR DISTRICT,All,Latrine,Pit With Slab,89777,1364,2280,93421,34.95
BHAKKAR DISTRICT,All,Latrine,Other,4244,90,277,4611,1.72
BHAKKAR DISTRICT,All,Latrine,None,55457,496,5728,61681,23.07
BHAKKAR DISTRICT,Rural,Kitchen,Separate,80704,845,1765,83314,36.95
BHAKKAR DISTRICT,Rural,Kitchen,Shared,44089,318,889,45296,20.09
BHAKKAR DISTRICT,Rural,Kitchen,None,89116,849,6900,96865,42.96
BHAKKAR DISTRICT,Rural,Bathroom,Separate,95442,1066,2121,98629,43.74
BHAKKAR DISTRICT,Rural,Bathroom,Shared,55823,392,1132,57347,25.43
BHAKKAR DISTRICT,Rural,Bathroom,None,62644,554,6301,69499,30.82
BHAKKAR DISTRICT,Rural,Latrine,Connected With Sewerage,7800,118,224,8142,3.61
BHAKKAR DISTRICT,Rural,Latrine,Connected With Septic Tank,47967,491,798,49256,21.85
BHAKKAR DISTRICT,Rural,Latrine,Connected With Open Drain,17663,219,629,18511,8.210000000000001
BHAKKAR DISTRICT,Rural,Latrine,Pit With Slab,81810,681,2144,84635,37.54
BHAKKAR DISTRICT,Rural,Latrine,Other,4118,71,166,4355,1.93
BHAKKAR DISTRICT,Rural,Latrine,None,54551,432,5593,60576,26.87
BHAKKAR DISTRICT,Urban,Kitchen,Separate,21351,2953,425,24729,59.1
BHAKKAR DISTRICT,Urban,Kitchen,Shared,9572,636,319,10527,25.16
BHAKKAR DISTRICT,Urban,Kitchen,None,5554,689,343,6586,15.74
BHAKKAR DISTRICT,Urban,Bathroom,Separate,23427,3177,422,27026,64.59
BHAKKAR DISTRICT,Urban,Bathroom,Shared,11329,901,407,12637,30.2
BHAKKAR DISTRICT,Urban,Bathroom,None,1721,200,258,2179,5.21
BHAKKAR DISTRICT,Urban,Latrine,Connected With Sewerage,13869,2320,424,16613,39.7
BHAKKAR DISTRICT,Urban,Latrine,Connected With Septic Tank,5560,448,85,6093,14.56
BHAKKAR DISTRICT,Urban,Latrine,Connected With Open Drain,8049,744,196,8989,21.48
BHAKKAR DISTRICT,Urban,Latrine,Pit With Slab,7967,683,136,8786,21
BHAKKAR DISTRICT,Urban,Latrine,Other,126,19,111,256,.61
BHAKKAR DISTRICT,Urban,Latrine,None,906,64,135,1105,2.64
KHUSHAB DISTRICT,All,Kitchen,Separate,129878,6401,5053,141332,67.47
KHUSHAB DISTRICT,All,Kitchen,Shared,21464,349,689,22502,10.74
KHUSHAB DISTRICT,All,Kitchen,None,39368,1112,5152,45632,21.78
KHUSHAB DISTRICT,All,Bathroom,Separate,126401,6813,4877,138091,65.93000000000001
KHUSHAB DISTRICT,All,Bathroom,Shared,27692,568,919,29179,13.93
KHUSHAB DISTRICT,All,Bathroom,None,36617,481,5098,42196,20.14
KHUSHAB DISTRICT,All,Latrine,Connected With Sewerage,15601,3145,1279,20025,9.56
KHUSHAB DISTRICT,All,Latrine,Connected With Septic Tank,44261,1630,1451,47342,22.6
KHUSHAB DISTRICT,All,Latrine,Connected With Open Drain,18615,650,724,19989,9.539999999999999
KHUSHAB DISTRICT,All,Latrine,Pit With Slab,63860,1898,1924,67682,32.31
KHUSHAB DISTRICT,All,Latrine,Other,2590,110,192,2892,1.38
KHUSHAB DISTRICT,All,Latrine,None,45783,429,5324,51536,24.6
KHUSHAB DISTRICT,Rural,Kitchen,Separate,90795,1572,3726,96093,63.44
KHUSHAB DISTRICT,Rural,Kitchen,Shared,16138,99,550,16787,11.08
KHUSHAB DISTRICT,Rural,Kitchen,None,33831,451,4313,38595,25.48
KHUSHAB DISTRICT,Rural,Bathroom,Separate,86263,1705,3464,91432,60.36
KHUSHAB DISTRICT,Rural,Bathroom,Shared,20751,154,709,21614,14.27
KHUSHAB DISTRICT,Rural,Bathroom,None,33750,263,4416,38429,25.37
KHUSHAB DISTRICT,Rural,Latrine,Connected With Sewerage,5177,794,704,6675,4.41
KHUSHAB DISTRICT,Rural,Latrine,Connected With Septic Tank,31279,435,945,32659,21.56
KHUSHAB DISTRICT,Rural,Latrine,Connected With Open Drain,11473,97,489,12059,7.96
KHUSHAB DISTRICT,Rural,Latrine,Pit With Slab,47793,512,1563,49868,32.92
KHUSHAB DISTRICT,Rural,Latrine,Other,1811,20,155,1986,1.31
KHUSHAB DISTRICT,Rural,Latrine,None,43231,264,4733,48228,31.84
KHUSHAB DISTRICT,Urban,Kitchen,Separate,39083,4829,1327,45239,78.01000000000001
KHUSHAB DISTRICT,Urban,Kitchen,Shared,5326,250,139,5715,9.85
KHUSHAB DISTRICT,Urban,Kitchen,None,5537,661,839,7037,12.13
KHUSHAB DISTRICT,Urban,Bathroom,Separate,40138,5108,1413,46659,80.45999999999999
KHUSHAB DISTRICT,Urban,Bathroom,Shared,6941,414,210,7565,13.05
KHUSHAB DISTRICT,Urban,Bathroom,None,2867,218,682,3767,6.5
KHUSHAB DISTRICT,Urban,Latrine,Connected With Sewerage,10424,2351,575,13350,23.02
KHUSHAB DISTRICT,Urban,Latrine,Connected With Septic Tank,12982,1195,506,14683,25.32
KHUSHAB DISTRICT,Urban,Latrine,Connected With Open Drain,7142,553,235,7930,13.67
