district,age,rural,urban,total
KOHAT DISTRICT,24,2085,0,2085
KOHAT DISTRICT,25,1981,0,1981
KOHAT DISTRICT,26,2102,0,2102
KOHAT DISTRICT,27,2221,0,2221
KOHAT DISTRICT,28,1923,0,1923
KOHAT DISTRICT,29,1927,0,1927
KOHAT DISTRICT,30,1637,0,1637
KOHAT DISTRICT,31,1722,0,1722
KOHAT DISTRICT,32,1501,0,1501
KOHAT DISTRICT,33,1650,0,1650
KOHAT DISTRICT,34,1385,0,1385
KOHAT DISTRICT,35,1193,0,1193
KOHAT DISTRICT,36,1157,0,1157
KOHAT DISTRICT,37,1182,0,1182
KOHAT DISTRICT,38,1163,0,1163
KOHAT DISTRICT,39,1128,0,1128
KOHAT DISTRICT,40,1037,0,1037
KOHAT DISTRICT,41,973,0,973
KOHAT DISTRICT,42,918,0,918
KOHAT DISTRICT,43,887,0,887
KOHAT DISTRICT,44,797,0,797
KOHAT DISTRICT,45,804,0,804
KOHAT DISTRICT,46,801,0,801
KOHAT DISTRICT,47,798,0,798
KOHAT DISTRICT,48,682,0,682
KOHAT DISTRICT,49,676,0,676
KOHAT DISTRICT,50,721,0,721
KOHAT DISTRICT,51,649,0,649
KOHAT DISTRICT,52,618,0,618
KOHAT DISTRICT,53,603,0,603
KOHAT DISTRICT,54,569,0,569
KOHAT DISTRICT,55,558,0,558
KOHAT DISTRICT,56,548,0,548
KOHAT DISTRICT,57,607,0,607
KOHAT DISTRICT,58,541,0,541
KOHAT DISTRICT,59,545,0,545
KOHAT DISTRICT,60,466,0,466
KOHAT DISTRICT,61,489,0,489
KOHAT DISTRICT,62,469,0,469
KOHAT DISTRICT,63,418,0,418
KOHAT DISTRICT,64,398,0,398
KOHAT DISTRICT,65,370,0,370
KOHAT DISTRICT,66,339,0,339
KOHAT DISTRICT,67,353,0,353
KOHAT DISTRICT,68,292,0,292
KOHAT DISTRICT,69,293,0,293
KOHAT DISTRICT,70,265,0,265
KOHAT DISTRICT,71,233,0,233
KOHAT DISTRICT,72,219,0,219
KOHAT DISTRICT,73,204,0,204
KOHAT DISTRICT,74,229,0,229
KOHAT DISTRICT,>=75,2101,0,2101
KOHISTAN DISTRICT,<1,16146,0,16146
KOHISTAN DISTRICT,1,18921,0,18921
KOHISTAN DISTRICT,2,30814,0,30814
KOHISTAN DISTRICT,3,26656,0,26656
KOHISTAN DISTRICT,4,31965,0,31965
KOHISTAN DISTRICT,5,27451,0,27451
KOHISTAN DISTRICT,6,33482,0,33482
KOHISTAN DISTRICT,7,23955,0,23955
KOHISTAN DISTRICT,8,36027,0,36027
KOHISTAN DISTRICT,9,23096,0,23096
KOHISTAN DISTRICT,10,35252,0,35252
KOHISTAN DISTRICT,11,17510,0,17510
KOHISTAN DISTRICT,12,29517,0,29517
KOHISTAN DISTRICT,13,18148,0,18148
KOHISTAN DISTRICT,14,20655,0,20655
KOHISTAN DISTRICT,15,19768,0,19768
KOHISTAN DISTRICT,16,15554,0,15554
KOHISTAN DISTRICT,17,12968,0,12968
KOHISTAN DISTRICT,18,21884,0,21884
KOHISTAN DISTRICT,19,8019,0,8019
KOHISTAN DISTRICT,20,23848,0,23848
KOHISTAN DISTRICT,21,5404,0,5404
KOHISTAN DISTRICT,22,10083,0,10083
KOHISTAN DISTRICT,23,6690,0,6690
KOHISTAN DISTRICT,24,6264,0,6264
KOHISTAN DISTRICT,25,22920,0,22920
KOHISTAN DISTRICT,26,6054,0,6054
KOHISTAN DISTRICT,27,5954,0,5954
KOHISTAN DISTRICT,28,12142,0,12142
KOHISTAN DISTRICT,29,3579,0,3579
KOHISTAN DISTRICT,30,26879,0,26879
KOHISTAN DISTRICT,31,2712,0,2712
KOHISTAN DISTRICT,32,5730,0,5730
KOHISTAN DISTRICT,33,4743,0,4743
KOHISTAN DISTRICT,34,2820,0,2820
KOHISTAN DISTRICT,35,20266,0,20266
KOHISTAN DISTRICT,36,3182,0,3182
KOHISTAN DISTRICT,37,3096,0,3096
KOHISTAN DISTRICT,38,6825,0,6825
KOHISTAN DISTRICT,39,2607,0,2607
KOHISTAN DISTRICT,40,24409,0,24409
KOHISTAN DISTRICT,41,2043,0,2043
KOHISTAN DISTRICT,42,2439,0,2439
KOHISTAN DISTRICT,43,2333,0,2333
KOHISTAN DISTRICT,44,2237,0,2237
KOHISTAN DISTRICT,45,14255,0,14255
KOHISTAN DISTRICT,46,1435,0,1435
KOHISTAN DISTRICT,47,1952,0,1952
KOHISTAN DISTRICT,48,4337,0,4337
KOHISTAN DISTRICT,49,1498,0,1498
KOHISTAN DISTRICT,50,18278,0,18278
KOHISTAN DISTRICT,51,1292,0,1292
KOHISTAN DISTRICT,52,1490,0,1490
KOHISTAN DISTRICT,53,1307,0,1307
KOHISTAN DISTRICT,54,842,0,842
KOHISTAN DISTRICT,55,9079,0,9079
KOHISTAN DISTRICT,56,960,0,960
KOHISTAN DISTRICT,57,879,0,879
KOHISTAN DISTRICT,58,1472,0,1472
KOHISTAN DISTRICT,59,573,0,573
KOHISTAN DISTRICT,60,13934,0,13934
KOHISTAN DISTRICT,61,728,0,728
KOHISTAN DISTRICT,62,657,0,657
KOHISTAN DISTRICT,63,579,0,579
KOHISTAN DISTRICT,64,307,0,307
KOHISTAN DISTRICT,65,4039,0,4039
KOHISTAN DISTRICT,66,736,0,736
KOHISTAN DISTRICT,67,574,0,574
KOHISTAN DISTRICT,68,752,0,752
KOHISTAN DISTRICT,69,270,0,270
KOHISTAN DISTRICT,70,5775,0,5775
KOHISTAN DISTRICT,71,1203,0,1203
KOHISTAN DISTRICT,72,944,0,944
KOHISTAN DISTRICT,73,609,0,609
KOHISTAN DISTRICT,74,333,0,333
KOHISTAN DISTRICT,>=75,10575,0,10575
KORANGI DISTRICT,<1,0,54328,54328
KORANGI DISTRICT,1,0,56121,56121
KORANGI DISTRICT,2,0,58338,58338
KORANGI DISTRICT,3,0,62826,62826
KORANGI DISTRICT,4,0,56852,56852
KORANGI DISTRICT,5,0,58538,58538
KORANGI DISTRICT,6,0,57056,57056
KORANGI DISTRICT,7,0,60789,60789
KORANGI DISTRICT,8,0,53199,53199
KORANGI DISTRICT,9,0,60917,60917
KORANGI DISTRICT,10,0,49417,49417
KORANGI DISTRICT,11,0,60155,60155
KORANGI DISTRICT,12,0,49227,49227
KORANGI DISTRICT,13,0,52919,52919
KORANGI DISTRICT,14,0,47970,47970
KORANGI DISTRICT,15,0,49841,49841
KORANGI DISTRICT,16,0,50878,50878
KORANGI DISTRICT,17,0,55402,55402
KORANGI DISTRICT,18,0,47371,47371
KORANGI DISTRICT,19,0,55464,55464
KORANGI DISTRICT,20,0,47312,47312
KORANGI DISTRICT,21,0,56900,56900
KORANGI DISTRICT,22,0,51304,51304
KORANGI DISTRICT,23,0,51765,51765
KORANGI DISTRICT,24,0,52206,52206
KORANGI DISTRICT,25,0,43512,43512
KORANGI DISTRICT,26,0,51341,51341
KORANGI DISTRICT,27,0,49232,49232
KORANGI DISTRICT,28,0,47409,47409
KORANGI DISTRICT,29,0,47902,47902
KORANGI DISTRICT,30,0,43720,43720
KORANGI DISTRICT,31,0,46634,46634
KORANGI DISTRICT,32,0,44736,44736
KORANGI DISTRICT,33,0,43728,43728
KORANGI DISTRICT,34,0,41583,41583
KORANGI DISTRICT,35,0,34732,34732
KORANGI DISTRICT,36,0,38438,38438
KORANGI DISTRICT,37,0,34933,34933
KORANGI DISTRICT,38,0,38736,38736
KORANGI DISTRICT,39,0,36152,36152
KORANGI DISTRICT,40,0,31885,31885
KORANGI DISTRICT,41,0,31696,31696
KORANGI DISTRICT,42,0,29211,29211
KORANGI DISTRICT,43,0,29333,29333
KORANGI DISTRICT,44,0,26820,26820
KORANGI DISTRICT,45,0,22318,22318
KORANGI DISTRICT,46,0,23615,23615
KORANGI DISTRICT,47,0,21711,21711
KORANGI DISTRICT,48,0,23618,23618
KORANGI DISTRICT,49,0,23483,23483
KORANGI DISTRICT,50,0,20593,20593
KORANGI DISTRICT,51,0,22175,22175
KORANGI DISTRICT,52,0,20955,20955
KORANGI DISTRICT,53,0,20389,20389
KORANGI DISTRICT,54,0,18773,18773
KORANGI DISTRICT,55,0,15070,15070
KORANGI DISTRICT,56,0,15392,15392
KORANGI DISTRICT,57,0,14253,14253
KORANGI DISTRICT,58,0,13924,13924
KORANGI DISTRICT,59,0,13382,13382
KORANGI DISTRICT,60,0,11087,11087
KORANGI DISTRICT,61,0,13090,13090
KORANGI DISTRICT,62,0,12372,12372
KORANGI DISTRICT,63,0,11948,11948
KORANGI DISTRICT,64,0,9832,9832
KORANGI DISTRICT,65,0,7594,7594
KORANGI DISTRICT,66,0,7164,7164
KORANGI DISTRICT,67,0,6503,6503
KORANGI DISTRICT,68,0,6963,6963
KORANGI DISTRICT,69,0,6309,6309
KORANGI DISTRICT,70,0,4511,4511
KORANGI DISTRICT,71,0,4946,4946
KORANGI DISTRICT,72,0,4565,4565
KORANGI DISTRICT,73,0,4692,4692
KORANGI DISTRICT,74,0,3630,3630
KORANGI DISTRICT,>=75,0,23871,23871
KURRAM AGENCY,<1,16845,1098,17943
KURRAM AGENCY,1,18218,1124,19342
KURRAM AGENCY,2,21258,1399,22657
KURRAM AGENCY,3,21487,1437,22924
KURRAM AGENCY,4,22524,1424,23948
KURRAM AGENCY,5,20470,1321,21791
KURRAM AGENCY,6,20406,1270,21676
KURRAM AGENCY,7,19192,1227,20419
KURRAM AGENCY,8,19814,1135,20949
KURRAM AGENCY,9,18239,1171,19410
KURRAM AGENCY,10,17889,1042,18931
KURRAM AGENCY,11,14458,1025,15483
KURRAM AGENCY,12,15030,972,16002
KURRAM AGENCY,13,13326,973,14299
KURRAM AGENCY,14,13276,919,14195
KURRAM AGENCY,15,12818,937,13755
KURRAM AGENCY,16,11247,837,12084
KURRAM AGENCY,17,10089,779,10868
KURRAM AGENCY,18,10871,754,11625
KURRAM AGENCY,19,10439,757,11196
KURRAM AGENCY,20,10364,758,11122
KURRAM AGENCY,21,9613,731,10344
KURRAM AGENCY,22,9212,590,9802
KURRAM AGENCY,23,9763,696,10459
KURRAM AGENCY,24,9479,653,10132
KURRAM AGENCY,25,10804,740,11544
KURRAM AGENCY,26,9444,597,10041
KURRAM AGENCY,27,9595,700,10295
KURRAM AGENCY,28,8629,590,9219
KURRAM AGENCY,29,8453,595,9048
KURRAM AGENCY,30,8239,475,8714
KURRAM AGENCY,31,7370,480,7850
KURRAM AGENCY,32,6624,406,7030
KURRAM AGENCY,33,6644,442,7086
KURRAM AGENCY,34,5430,346,5776
KURRAM AGENCY,35,6245,386,6631
KURRAM AGENCY,36,4579,274,4853
KURRAM AGENCY,37,5495,408,5903
KURRAM AGENCY,38,5097,345,5442
KURRAM AGENCY,39,5154,359,5513
KURRAM AGENCY,40,5924,378,6302
KURRAM AGENCY,41,4453,305,4758
KURRAM AGENCY,42,4093,257,4350
KURRAM AGENCY,43,3966,265,4231
KURRAM AGENCY,44,3316,213,3529
KURRAM AGENCY,45,3928,274,4202
KURRAM AGENCY,46,3048,148,3196
KURRAM AGENCY,47,3657,255,3912
KURRAM AGENCY,48,2870,187,3057
KURRAM AGENCY,49,3155,207,3362
KURRAM AGENCY,50,3800,250,4050
KURRAM AGENCY,51,3197,188,3385
KURRAM AGENCY,52,2974,234,3208
KURRAM AGENCY,53,2664,194,2858
KURRAM AGENCY,54,2403,145,2548
KURRAM AGENCY,55,2847,193,3040
KURRAM AGENCY,56,2338,111,2449
KURRAM AGENCY,57,3172,241,3413
KURRAM AGENCY,58,1976,123,2099
KURRAM AGENCY,59,2095,132,2227
KURRAM AGENCY,60,2751,140,2891
KURRAM AGENCY,61,2156,104,2260
KURRAM AGENCY,62,2288,128,2416
KURRAM AGENCY,63,1923,127,2050
KURRAM AGENCY,64,1653,88,1741
KURRAM AGENCY,65,1564,87,1651
KURRAM AGENCY,66,1384,61,1445
KURRAM AGENCY,67,1857,152,2009
KURRAM AGENCY,68,1088,59,1147
KURRAM AGENCY,69,1026,79,1105
KURRAM AGENCY,70,1052,62,1114
KURRAM AGENCY,71,884,49,933
KURRAM AGENCY,72,913,68,981
KURRAM AGENCY,73,719,41,760
KURRAM AGENCY,74,624,37,661
KURRAM AGENCY,>=75,5440,291,5731
LAHORE DISTRICT,<1,0,248704,248704
LAHORE DISTRICT,1,0,256991,256991
LAHORE DISTRICT,2,0,258944,258944
LAHORE DISTRICT,3,0,281467,281467
LAHORE DISTRICT,4,0,258098,258098
LAHORE DISTRICT,5,0,263138,263138
LAHORE DISTRICT,6,0,256704,256704
LAHORE DISTRICT,7,0,274905,274905
LAHORE DISTRICT,8,0,244349,244349
LAHORE DISTRICT,9,0,266659,266659
LAHORE DISTRICT,10,0,231261,231261
LAHORE DISTRICT,11,0,259176,259176
LAHORE DISTRICT,12,0,223618,223618
LAHORE DISTRICT,13,0,233695,233695
LAHORE DISTRICT,14,0,214199,214199
LAHORE DISTRICT,15,0,217788,217788
LAHORE DISTRICT,16,0,222216,222216
LAHORE DISTRICT,17,0,230149,230149
LAHORE DISTRICT,18,0,216377,216377
LAHORE DISTRICT,19,0,235226,235226
LAHORE DISTRICT,20,0,215794,215794
LAHORE DISTRICT,21,0,246984,246984
LAHORE DISTRICT,22,0,233849,233849
LAHORE DISTRICT,23,0,230500,230500
LAHORE DISTRICT,24,0,226914,226914
LAHORE DISTRICT,25,0,198559,198559
LAHORE DISTRICT,26,0,218414,218414
LAHORE DISTRICT,27,0,203192,203192
LAHORE DISTRICT,28,0,206223,206223
LAHORE DISTRICT,29,0,186651,186651
LAHORE DISTRICT,30,0,193957,193957
LAHORE DISTRICT,31,0,175719,175719
LAHORE DISTRICT,32,0,182409,182409
LAHORE DISTRICT,33,0,169845,169845
LAHORE DISTRICT,34,0,154288,154288
LAHORE DISTRICT,35,0,158037,158037
LAHORE DISTRICT,36,0,147837,147837
LAHORE DISTRICT,37,0,125768,125768
LAHORE DISTRICT,38,0,158944,158944
LAHORE DISTRICT,39,0,134626,134626
LAHORE DISTRICT,40,0,150226,150226
LAHORE DISTRICT,41,0,120595,120595
LAHORE DISTRICT,42,0,118852,118852
LAHORE DISTRICT,43,0,116580,116580
LAHORE DISTRICT,44,0,102507,102507
LAHORE DISTRICT,45,0,110996,110996
LAHORE DISTRICT,46,0,88980,88980
LAHORE DISTRICT,47,0,79746,79746
LAHORE DISTRICT,48,0,98283,98283
LAHORE DISTRICT,49,0,91515,91515
LAHORE DISTRICT,50,0,104125,104125
LAHORE DISTRICT,51,0,81750,81750
LAHORE DISTRICT,52,0,85634,85634
LAHORE DISTRICT,53,0,82020,82020
LAHORE DISTRICT,54,0,76085,76085
LAHORE DISTRICT,55,0,77209,77209
LAHORE DISTRICT,56,0,62758,62758
LAHORE DISTRICT,57,0,50138,50138
LAHORE DISTRICT,58,0,58890,58890
LAHORE DISTRICT,59,0,52959,52959
LAHORE DISTRICT,60,0,58450,58450
LAHORE DISTRICT,61,0,47390,47390
LAHORE DISTRICT,62,0,49595,49595
LAHORE DISTRICT,63,0,49221,49221
LAHORE DISTRICT,64,0,42182,42182
LAHORE DISTRICT,65,0,42521,42521
LAHORE DISTRICT,66,0,30064,30064
LAHORE DISTRICT,67,0,25089,25089
LAHORE DISTRICT,68,0,29655,29655
LAHORE DISTRICT,69,0,27178,27178
LAHORE DISTRICT,70,0,28937,28937
LAHORE DISTRICT,71,0,21999,21999
LAHORE DISTRICT,72,0,22962,22962
LAHORE DISTRICT,73,0,21457,21457
LAHORE DISTRICT,74,0,18655,18655
LAHORE DISTRICT,>=75,0,132608,132608
LAKKI MARWAT DISTRICT,<1,22538,2358,24896
LAKKI MARWAT DISTRICT,1,25864,2309,28173
LAKKI MARWAT DISTRICT,2,29288,2636,31924
LAKKI MARWAT DISTRICT,3,30622,2876,33498
LAKKI MARWAT DISTRICT,4,32321,2901,35222
LAKKI MARWAT DISTRICT,5,27110,2690,29800
LAKKI MARWAT DISTRICT,6,26078,2573,28651
LAKKI MARWAT DISTRICT,7,26997,2759,29756
LAKKI MARWAT DISTRICT,8,26336,2434,28770
LAKKI MARWAT DISTRICT,9,24637,2508,27145
LAKKI MARWAT DISTRICT,10,22365,2240,24605
LAKKI MARWAT DISTRICT,11,20146,2343,22489
LAKKI MARWAT DISTRICT,12,18590,2020,20610
LAKKI MARWAT DISTRICT,13,18468,2138,20606
LAKKI MARWAT DISTRICT,14,18519,2105,20624
LAKKI MARWAT DISTRICT,15,18061,2130,20191
LAKKI MARWAT DISTRICT,16,17415,2084,19499
LAKKI MARWAT DISTRICT,17,17379,2158,19537
LAKKI MARWAT DISTRICT,18,14953,1830,16783
LAKKI MARWAT DISTRICT,19,14419,1892,16311
LAKKI MARWAT DISTRICT,20,15409,1883,17292
LAKKI MARWAT DISTRICT,21,12790,1692,14482
LAKKI MARWAT DISTRICT,22,12721,1575,14296
LAKKI MARWAT DISTRICT,23,12289,1613,13902
LAKKI MARWAT DISTRICT,24,11287,1537,12824
LAKKI MARWAT DISTRICT,25,13072,1557,14629
LAKKI MARWAT DISTRICT,26,11889,1576,13465
LAKKI MARWAT DISTRICT,27,11028,1493,12521
LAKKI MARWAT DISTRICT,28,11183,1468,12651
LAKKI MARWAT DISTRICT,29,10393,1336,11729
LAKKI MARWAT DISTRICT,30,11062,1311,12373
LAKKI MARWAT DISTRICT,31,8959,1210,10169
LAKKI MARWAT DISTRICT,32,7919,1141,9060
LAKKI MARWAT DISTRICT,33,7918,1082,9000
LAKKI MARWAT DISTRICT,34,6958,928,7886
LAKKI MARWAT DISTRICT,35,7616,967,8583
LAKKI MARWAT DISTRICT,36,6581,894,7475
LAKKI MARWAT DISTRICT,37,5915,822,6737
LAKKI MARWAT DISTRICT,38,6453,890,7343
LAKKI MARWAT DISTRICT,39,6012,791,6803
LAKKI MARWAT DISTRICT,40,7742,857,8599
LAKKI MARWAT DISTRICT,41,5985,751,6736
LAKKI MARWAT DISTRICT,42,5542,753,6295
LAKKI MARWAT DISTRICT,43,5521,739,6260
LAKKI MARWAT DISTRICT,44,5043,704,5747
LAKKI MARWAT DISTRICT,45,5691,700,6391
LAKKI MARWAT DISTRICT,46,4866,619,5485
LAKKI MARWAT DISTRICT,47,4633,564,5197
LAKKI MARWAT DISTRICT,48,5055,676,5731
LAKKI MARWAT DISTRICT,49,4725,567,5292
LAKKI MARWAT DISTRICT,50,5899,739,6638
LAKKI MARWAT DISTRICT,51,4230,564,4794
LAKKI MARWAT DISTRICT,52,4020,558,4578
LAKKI MARWAT DISTRICT,53,4199,550,4749
LAKKI MARWAT DISTRICT,54,3742,503,4245
LAKKI MARWAT DISTRICT,55,4103,445,4548
LAKKI MARWAT DISTRICT,56,3288,420,3708
LAKKI MARWAT DISTRICT,57,3093,328,3421
LAKKI MARWAT DISTRICT,58,3843,464,4307
LAKKI MARWAT DISTRICT,59,3371,398,3769
LAKKI MARWAT DISTRICT,60,3860,393,4253
LAKKI MARWAT DISTRICT,61,3075,385,3460
LAKKI MARWAT DISTRICT,62,3031,378,3409
LAKKI MARWAT DISTRICT,63,3118,351,3469
LAKKI MARWAT DISTRICT,64,2836,339,3175
LAKKI MARWAT DISTRICT,65,2777,277,3054
LAKKI MARWAT DISTRICT,66,2072,234,2306
LAKKI MARWAT DISTRICT,67,1707,216,1923
LAKKI MARWAT DISTRICT,68,1977,212,2189
LAKKI MARWAT DISTRICT,69,1890,205,2095
LAKKI MARWAT DISTRICT,70,1816,157,1973
LAKKI MARWAT DISTRICT,71,1446,165,1611
LAKKI MARWAT DISTRICT,72,1171,138,1309
LAKKI MARWAT DISTRICT,73,1251,128,1379
LAKKI MARWAT DISTRICT,74,1197,138,1335
LAKKI MARWAT DISTRICT,>=75,9117,887,10004
LARKANA DISTRICT,<1,18176,15698,33874
LARKANA DISTRICT,1,20597,16332,36929
LARKANA DISTRICT,2,26549,19283,45832
LARKANA DISTRICT,3,29262,22094,51356
LARKANA DISTRICT,4,31292,22117,53409
LARKANA DISTRICT,5,30775,23010,53785
LARKANA DISTRICT,6,29151,20423,49574
LARKANA DISTRICT,7,27135,21368,48503
LARKANA DISTRICT,8,29978,20770,50748
LARKANA DISTRICT,9,23944,18761,42705
LARKANA DISTRICT,10,26581,18805,45386
LARKANA DISTRICT,11,19555,16339,35894
LARKANA DISTRICT,12,21800,16873,38673
LARKANA DISTRICT,13,18554,15618,34172
LARKANA DISTRICT,14,19454,15864,35318
LARKANA DISTRICT,15,19875,17032,36907
LARKANA DISTRICT,16,19293,16211,35504
LARKANA DISTRICT,17,18444,17308,35752
LARKANA DISTRICT,18,19521,17219,36740
LARKANA DISTRICT,19,15773,15636,31409
LARKANA DISTRICT,20,17118,15465,32583
LARKANA DISTRICT,21,12707,13114,25821
LARKANA DISTRICT,22,12774,13448,26222
LARKANA DISTRICT,23,11133,11993,23126
LARKANA DISTRICT,24,10429,11031,21460
LARKANA DISTRICT,25,13096,12321,25417
LARKANA DISTRICT,26,10369,10561,20930
LARKANA DISTRICT,27,11311,10953,22264
LARKANA DISTRICT,28,11860,11661,23521
LARKANA DISTRICT,29,11585,10341,21926
LARKANA DISTRICT,30,11534,11492,23026
LARKANA DISTRICT,31,11034,9991,21025
LARKANA DISTRICT,32,10545,9589,20134
LARKANA DISTRICT,33,9388,9025,18413
LARKANA DISTRICT,34,8366,7757,16123
LARKANA DISTRICT,35,9276,9111,18387
LARKANA DISTRICT,36,7453,6825,14278
LARKANA DISTRICT,37,9900,7439,17339
LARKANA DISTRICT,38,8163,8040,16203
LARKANA DISTRICT,39,8956,7448,16404
LARKANA DISTRICT,40,7745,8198,15943
LARKANA DISTRICT,41,6925,6199,13124
LARKANA DISTRICT,42,7465,6281,13746
LARKANA DISTRICT,43,5971,5974,11945
LARKANA DISTRICT,44,5748,5249,10997
LARKANA DISTRICT,45,6068,6082,12150
LARKANA DISTRICT,46,5221,4339,9560
LARKANA DISTRICT,47,6387,5014,11401
LARKANA DISTRICT,48,5347,5041,10388
LARKANA DISTRICT,49,5800,5025,10825
LARKANA DISTRICT,50,5239,5386,10625
LARKANA DISTRICT,51,4802,4089,8891
LARKANA DISTRICT,52,5170,4363,9533
LARKANA DISTRICT,53,3820,3739,7559
LARKANA DISTRICT,54,3469,3482,6951
LARKANA DISTRICT,55,3796,3806,7602
LARKANA DISTRICT,56,2995,2666,5661
LARKANA DISTRICT,57,3847,2914,6761
LARKANA DISTRICT,58,2817,2692,5509
LARKANA DISTRICT,59,2826,2524,5350
LARKANA DISTRICT,60,3105,2876,5981
LARKANA DISTRICT,61,2881,2300,5181
LARKANA DISTRICT,62,3573,2673,6246
LARKANA DISTRICT,63,2522,2341,4863
LARKANA DISTRICT,64,2491,2144,4635
LARKANA DISTRICT,65,2265,2006,4271
LARKANA DISTRICT,66,2007,1572,3579
LARKANA DISTRICT,67,2452,1576,4028
LARKANA DISTRICT,68,1600,1269,2869
LARKANA DISTRICT,69,1583,1271,2854
LARKANA DISTRICT,70,1512,1336,2848
LARKANA DISTRICT,71,1423,1032,2455
LARKANA DISTRICT,72,1574,1129,2703
LARKANA DISTRICT,73,1068,933,2001
LARKANA DISTRICT,74,942,770,1712
LARKANA DISTRICT,>=75,7726,6241,13967
LASBELA DISTRICT,<1,7533,7360,14893
LASBELA DISTRICT,1,8416,8245,16661
LASBELA DISTRICT,2,10200,8965,19165
LASBELA DISTRICT,3,9481,9398,18879
LASBELA DISTRICT,4,10850,9160,20010
LASBELA DISTRICT,5,8900,8762,17662
LASBELA DISTRICT,6,10438,8665,19103
LASBELA DISTRICT,7,8384,8910,17294
LASBELA DISTRICT,8,10236,8568,18804
LASBELA DISTRICT,9,7994,8166,16160
LASBELA DISTRICT,10,8856,7956,16812
LASBELA DISTRICT,11,6586,7117,13703
LASBELA DISTRICT,12,7174,6833,14007
LASBELA DISTRICT,13,5675,6334,12009
LASBELA DISTRICT,14,6045,6019,12064
LASBELA DISTRICT,15,5506,6026,11532
LASBELA DISTRICT,16,5456,5624,11080
LASBELA DISTRICT,17,5045,5735,10780
LASBELA DISTRICT,18,5755,6135,11890
LASBELA DISTRICT,19,5496,6128,11624
LASBELA DISTRICT,20,5803,5876,11679
LASBELA DISTRICT,21,5104,5805,10909
LASBELA DISTRICT,22,4408,4887,9295
LASBELA DISTRICT,23,3889,4678,8567
LASBELA DISTRICT,24,4220,4588,8808
LASBELA DISTRICT,25,4302,4739,9041
LASBELA DISTRICT,26,4482,4615,9097
LASBELA DISTRICT,27,4561,4876,9437
LASBELA DISTRICT,28,4604,4607,9211
LASBELA DISTRICT,29,4693,4690,9383
LASBELA DISTRICT,30,4144,4370,8514
LASBELA DISTRICT,31,4449,4368,8817
LASBELA DISTRICT,32,3900,3848,7748
LASBELA DISTRICT,33,3641,3585,7226
LASBELA DISTRICT,34,3611,3338,6949
LASBELA DISTRICT,35,3046,3177,6223
LASBELA DISTRICT,36,3446,3107,6553
LASBELA DISTRICT,37,3647,3099,6746
LASBELA DISTRICT,38,3364,3035,6399
LASBELA DISTRICT,39,3301,3036,6337
LASBELA DISTRICT,40,2834,2726,5560
LASBELA DISTRICT,41,2858,2662,5520
LASBELA DISTRICT,42,2603,2197,4800
LASBELA DISTRICT,43,2516,2260,4776
LASBELA DISTRICT,44,2497,2062,4559
LASBELA DISTRICT,45,2048,1951,3999
LASBELA DISTRICT,46,2375,2138,4513
LASBELA DISTRICT,47,2288,1902,4190
LASBELA DISTRICT,48,2212,1932,4144
LASBELA DISTRICT,49,2369,1899,4268
LASBELA DISTRICT,50,1878,1781,3659
LASBELA DISTRICT,51,2242,1864,4106
LASBELA DISTRICT,52,1670,1370,3040
LASBELA DISTRICT,53,1765,1468,3233
LASBELA DISTRICT,54,1424,1295,2719
LASBELA DISTRICT,55,1155,1099,2254
LASBELA DISTRICT,56,1228,1138,2366
LASBELA DISTRICT,57,1172,1070,2242
LASBELA DISTRICT,58,1286,1062,2348
LASBELA DISTRICT,59,1296,1119,2415
LASBELA DISTRICT,60,1299,1046,2345
LASBELA DISTRICT,61,1447,1018,2465
LASBELA DISTRICT,62,1091,922,2013
LASBELA DISTRICT,63,1183,955,2138
LASBELA DISTRICT,64,1128,869,1997
LASBELA DISTRICT,65,940,705,1645
LASBELA DISTRICT,66,1169,736,1905
LASBELA DISTRICT,67,722,523,1245
LASBELA DISTRICT,68,936,644,1580
LASBELA DISTRICT,69,930,551,1481
LASBELA DISTRICT,70,757,429,1186
LASBELA DISTRICT,71,896,462,1358
LASBELA DISTRICT,72,456,359,815
LASBELA DISTRICT,73,597,392,989
LASBELA DISTRICT,74,526,288,814
LASBELA DISTRICT,>=75,3939,2574,6513
LAYYAH DISTRICT,<1,42160,7806,49966
LAYYAH DISTRICT,1,44250,8173,52423
LAYYAH DISTRICT,2,44666,8047,52713
LAYYAH DISTRICT,3,46542,8623,55165
LAYYAH DISTRICT,4,48481,8359,56840
LAYYAH DISTRICT,5,46346,8510,54856
LAYYAH DISTRICT,6,44796,8129,52925
LAYYAH DISTRICT,7,47643,8741,56384
LAYYAH DISTRICT,8,44629,7974,52603
LAYYAH DISTRICT,9,46240,8771,55011
LAYYAH DISTRICT,10,40700,7138,47838
LAYYAH DISTRICT,11,40880,8510,49390
LAYYAH DISTRICT,12,36375,6841,43216
LAYYAH DISTRICT,13,35178,7548,42726
LAYYAH DISTRICT,14,33808,7018,40826
LAYYAH DISTRICT,15,32711,6928,39639
LAYYAH DISTRICT,16,32031,7201,39232
LAYYAH DISTRICT,17,31559,7274,38833
LAYYAH DISTRICT,18,29465,6368,35833
LAYYAH DISTRICT,19,29630,7291,36921
LAYYAH DISTRICT,20,27442,5778,33220
LAYYAH DISTRICT,21,27679,6747,34426
LAYYAH DISTRICT,22,25073,5704,30777
LAYYAH DISTRICT,23,25382,5969,31351
