district,age,sex,rural,urban,total
ABBOTTABAD DISTRICT,47,Female,3852,951,4803
ABBOTTABAD DISTRICT,47,Transgender,1,0,1
ABBOTTABAD DISTRICT,48,Male,4589,1307,5896
ABBOTTABAD DISTRICT,48,Female,4952,1271,6223
ABBOTTABAD DISTRICT,48,Transgender,0,0,0
ABBOTTABAD DISTRICT,49,Male,4139,1136,5275
ABBOTTABAD DISTRICT,49,Female,4545,1192,5737
ABBOTTABAD DISTRICT,49,Transgender,0,0,0
ABBOTTABAD DISTRICT,50,Male,4013,1381,5394
ABBOTTABAD DISTRICT,50,Female,4382,1258,5640
ABBOTTABAD DISTRICT,50,Transgender,1,1,2
ABBOTTABAD DISTRICT,51,Male,3840,1086,4926
ABBOTTABAD DISTRICT,51,Female,4092,1049,5141
ABBOTTABAD DISTRICT,51,Transgender,0,0,0
ABBOTTABAD DISTRICT,52,Male,4003,1186,5189
ABBOTTABAD DISTRICT,52,Female,3966,1122,5088
ABBOTTABAD DISTRICT,52,Transgender,0,1,1
ABBOTTABAD DISTRICT,53,Male,3947,1089,5036
ABBOTTABAD DISTRICT,53,Female,4043,1066,5109
ABBOTTABAD DISTRICT,53,Transgender,0,0,0
ABBOTTABAD DISTRICT,54,Male,3773,1075,4848
ABBOTTABAD DISTRICT,54,Female,3759,999,4758
ABBOTTABAD DISTRICT,54,Transgender,0,0,0
ABBOTTABAD DISTRICT,55,Male,3506,1087,4593
ABBOTTABAD DISTRICT,55,Female,3355,928,4283
ABBOTTABAD DISTRICT,55,Transgender,0,0,0
ABBOTTABAD DISTRICT,56,Male,3349,931,4280
ABBOTTABAD DISTRICT,56,Female,2860,750,3610
ABBOTTABAD DISTRICT,56,Transgender,0,0,0
ABBOTTABAD DISTRICT,57,Male,2881,799,3680
ABBOTTABAD DISTRICT,57,Female,2163,537,2700
ABBOTTABAD DISTRICT,57,Transgender,0,0,0
ABBOTTABAD DISTRICT,58,Male,3159,853,4012
ABBOTTABAD DISTRICT,58,Female,2727,728,3455
ABBOTTABAD DISTRICT,58,Transgender,0,0,0
