district,group,relationship,sex,total_pop,never_married,married,widowed,divorced
MUZAFFARGARH DISTRICT,OVERALL,Other Relative,Male,32320,12865,17611,1687,157
MUZAFFARGARH DISTRICT,OVERALL,Other Relative,Female,62719,9219,45114,7937,449
MUZAFFARGARH DISTRICT,OVERALL,Other Relative,Transgender,148,148,,,
MUZAFFARGARH DISTRICT,OVERALL,Non-Relative,Overall,34433,12850,20358,1104,121
MUZAFFARGARH DISTRICT,OVERALL,Non-Relative,Male,21002,9635,11022,293,52
MUZAFFARGARH DISTRICT,OVERALL,Non-Relative,Female,13385,3169,9336,811,69
MUZAFFARGARH DISTRICT,OVERALL,Non-Relative,Transgender,46,46,,,
MUZAFFARGARH DISTRICT,RURAL,Head,Overall,550363,8457,511372,29191,1343
MUZAFFARGARH DISTRICT,RURAL,Head,Male,500758,7969,479737,12294,758
MUZAFFARGARH DISTRICT,RURAL,Head,Female,49577,460,31635,16897,585
MUZAFFARGARH DISTRICT,RURAL,Head,Transgender,28,28,,,
MUZAFFARGARH DISTRICT,RURAL,Spouse,Overall,506346,,506346,,
MUZAFFARGARH DISTRICT,RURAL,Spouse,Male,17380,,17380,,
MUZAFFARGARH DISTRICT,RURAL,Spouse,Female,488966,,488966,,
MUZAFFARGARH DISTRICT,RURAL,Son/Daughter,Overall,512761,389210,117463,3053,3035
MUZAFFARGARH DISTRICT,RURAL,Son/Daughter,Male,350595,239474,109103,1321,697
MUZAFFARGARH DISTRICT,RURAL,Son/Daughter,Female,162145,149715,8360,1732,2338
MUZAFFARGARH DISTRICT,RURAL,Son/Daughter,Transgender,21,21,,,
MUZAFFARGARH DISTRICT,RURAL,Daughter / Son In Law,Overall,123540,,122443,1051,46
MUZAFFARGARH DISTRICT,RURAL,Daughter / Son In Law,Male,2702,,2672,30,
MUZAFFARGARH DISTRICT,RURAL,Daughter / Son In Law,Female,120838,,119771,1021,46
MUZAFFARGARH DISTRICT,RURAL,Grand Son / Grand Daughter,Overall,16175,13370,2730,41,34
MUZAFFARGARH DISTRICT,RURAL,Grand Son / Grand Daughter,Male,9501,7640,1842,14,5
MUZAFFARGARH DISTRICT,RURAL,Grand Son / Grand Daughter,Female,6672,5728,888,27,29
MUZAFFARGARH DISTRICT,RURAL,Grand Son / Grand Daughter,Transgender,2,2,,,
MUZAFFARGARH DISTRICT,RURAL,Father/Mother,Overall,69622,,28649,40529,444
MUZAFFARGARH DISTRICT,RURAL,Father/Mother,Male,17416,,12419,4951,46
MUZAFFARGARH DISTRICT,RURAL,Father/Mother,Female,52206,,16230,35578,398
MUZAFFARGARH DISTRICT,RURAL,Brother / Sister,Overall,71640,39673,27711,2733,1523
MUZAFFARGARH DISTRICT,RURAL,Brother / Sister,Male,50914,24943,24783,919,269
MUZAFFARGARH DISTRICT,RURAL,Brother / Sister,Female,20684,14688,2928,1814,1254
MUZAFFARGARH DISTRICT,RURAL,Brother / Sister,Transgender,42,42,,,
MUZAFFARGARH DISTRICT,RURAL,Other Relative,Overall,77490,17204,51779,8014,493
MUZAFFARGARH DISTRICT,RURAL,Other Relative,Male,26100,10037,14525,1416,122
MUZAFFARGARH DISTRICT,RURAL,Other Relative,Female,51264,7041,37254,6598,371
MUZAFFARGARH DISTRICT,RURAL,Other Relative,Transgender,126,126,,,
MUZAFFARGARH DISTRICT,RURAL,Non-Relative,Overall,24066,9084,14088,809,85
MUZAFFARGARH DISTRICT,RURAL,Non-Relative,Male,14361,7034,7097,201,29
MUZAFFARGARH DISTRICT,RURAL,Non-Relative,Female,9690,2035,6991,608,56
MUZAFFARGARH DISTRICT,RURAL,Non-Relative,Transgender,15,15,,,
MUZAFFARGARH DISTRICT,URBAN,Head,Overall,108822,3099,98569,6734,420
MUZAFFARGARH DISTRICT,URBAN,Head,Male,98037,2899,92392,2523,223
MUZAFFARGARH DISTRICT,URBAN,Head,Female,10770,185,6177,4211,197
MUZAFFARGARH DISTRICT,URBAN,Head,Transgender,15,15,,,
MUZAFFARGARH DISTRICT,URBAN,Spouse,Overall,95586,,95586,,
MUZAFFARGARH DISTRICT,URBAN,Spouse,Male,2916,,2916,,
MUZAFFARGARH DISTRICT,URBAN,Spouse,Female,92670,,92670,,
MUZAFFARGARH DISTRICT,URBAN,Son/Daughter,Overall,125148,100876,23000,579,693
MUZAFFARGARH DISTRICT,URBAN,Son/Daughter,Male,79899,58752,20729,245,173
MUZAFFARGARH DISTRICT,URBAN,Son/Daughter,Female,45245,42120,2271,334,520
MUZAFFARGARH DISTRICT,URBAN,Son/Daughter,Transgender,4,4,,,
MUZAFFARGARH DISTRICT,URBAN,Daughter / Son In Law,Overall,23112,,22922,182,8
MUZAFFARGARH DISTRICT,URBAN,Daughter / Son In Law,Male,641,,634,6,1
MUZAFFARGARH DISTRICT,URBAN,Daughter / Son In Law,Female,22471,,22288,176,7
MUZAFFARGARH DISTRICT,URBAN,Grand Son / Grand Daughter,Overall,3589,3156,418,9,6
MUZAFFARGARH DISTRICT,URBAN,Grand Son / Grand Daughter,Male,2031,1739,288,2,2
MUZAFFARGARH DISTRICT,URBAN,Grand Son / Grand Daughter,Female,1558,1417,130,7,4
MUZAFFARGARH DISTRICT,URBAN,Grand Son / Grand Daughter,Transgender,,,,,
MUZAFFARGARH DISTRICT,URBAN,Father/Mother,Overall,14340,,5581,8671,88
MUZAFFARGARH DISTRICT,URBAN,Father/Mother,Male,3090,,2198,879,13
MUZAFFARGARH DISTRICT,URBAN,Father/Mother,Female,11250,,3383,7792,75
MUZAFFARGARH DISTRICT,URBAN,Brother / Sister,Overall,19328,11961,6422,608,337
MUZAFFARGARH DISTRICT,URBAN,Brother / Sister,Male,13004,7131,5607,187,79
MUZAFFARGARH DISTRICT,URBAN,Brother / Sister,Female,6311,4817,815,421,258
MUZAFFARGARH DISTRICT,URBAN,Brother / Sister,Transgender,13,13,,,
MUZAFFARGARH DISTRICT,URBAN,Other Relative,Overall,17697,5028,10946,1610,113
MUZAFFARGARH DISTRICT,URBAN,Other Relative,Male,6220,2828,3086,271,35
MUZAFFARGARH DISTRICT,URBAN,Other Relative,Female,11455,2178,7860,1339,78
MUZAFFARGARH DISTRICT,URBAN,Other Relative,Transgender,22,22,,,
MUZAFFARGARH DISTRICT,URBAN,Non-Relative,Overall,10367,3766,6270,295,36
MUZAFFARGARH DISTRICT,URBAN,Non-Relative,Male,6641,2601,3925,92,23
MUZAFFARGARH DISTRICT,URBAN,Non-Relative,Female,3695,1134,2345,203,13
MUZAFFARGARH DISTRICT,URBAN,Non-Relative,Transgender,31,31,,,
MULTAN DISTRICT,OVERALL,Head,Overall,759041,23320,673301,59041,3379
MULTAN DISTRICT,OVERALL,Head,Male,663192,21518,616525,23345,1804
MULTAN DISTRICT,OVERALL,Head,Female,95782,1735,56776,35696,1575
MULTAN DISTRICT,OVERALL,Head,Transgender,67,67,,,
MULTAN DISTRICT,OVERALL,Spouse,Overall,650165,,650165,,
MULTAN DISTRICT,OVERALL,Spouse,Male,35499,,35499,,
MULTAN DISTRICT,OVERALL,Spouse,Female,614666,,614666,,
MULTAN DISTRICT,OVERALL,Son/Daughter,Overall,834475,648465,175537,4781,5692
MULTAN DISTRICT,OVERALL,Son/Daughter,Male,545101,381435,159759,2185,1722
MULTAN DISTRICT,OVERALL,Son/Daughter,Female,289318,266974,15778,2596,3970
MULTAN DISTRICT,OVERALL,Son/Daughter,Transgender,56,56,,,
MULTAN DISTRICT,OVERALL,Daughter / Son In Law,Overall,178548,,177060,1420,68
MULTAN DISTRICT,OVERALL,Daughter / Son In Law,Male,5110,,5062,45,3
MULTAN DISTRICT,OVERALL,Daughter / Son In Law,Female,173438,,171998,1375,65
MULTAN DISTRICT,OVERALL,Grand Son / Grand Daughter,Overall,27531,24328,3081,57,65
MULTAN DISTRICT,OVERALL,Grand Son / Grand Daughter,Male,15447,13392,2025,15,15
MULTAN DISTRICT,OVERALL,Grand Son / Grand Daughter,Female,12072,10924,1056,42,50
MULTAN DISTRICT,OVERALL,Grand Son / Grand Daughter,Transgender,12,12,,,
MULTAN DISTRICT,OVERALL,Father/Mother,Overall,109996,,46441,62902,653
MULTAN DISTRICT,OVERALL,Father/Mother,Male,28965,,20528,8360,77
MULTAN DISTRICT,OVERALL,Father/Mother,Female,81031,,25913,54542,576
MULTAN DISTRICT,OVERALL,Brother / Sister,Overall,145803,84807,52567,5213,3216
MULTAN DISTRICT,OVERALL,Brother / Sister,Male,99740,51273,45740,1860,867
MULTAN DISTRICT,OVERALL,Brother / Sister,Female,45991,33462,6827,3353,2349
MULTAN DISTRICT,OVERALL,Brother / Sister,Transgender,72,72,,,
MULTAN DISTRICT,OVERALL,Other Relative,Overall,135758,39678,81721,13215,1144
MULTAN DISTRICT,OVERALL,Other Relative,Male,43726,22669,17950,2729,378
MULTAN DISTRICT,OVERALL,Other Relative,Female,91754,16731,63771,10486,766
MULTAN DISTRICT,OVERALL,Other Relative,Transgender,278,278,,,
MULTAN DISTRICT,OVERALL,Non-Relative,Overall,58939,26223,30864,1631,221
MULTAN DISTRICT,OVERALL,Non-Relative,Male,41243,19488,21136,522,97
MULTAN DISTRICT,OVERALL,Non-Relative,Female,17618,6657,9728,1109,124
MULTAN DISTRICT,OVERALL,Non-Relative,Transgender,78,78,,,
MULTAN DISTRICT,RURAL,Head,Overall,429266,10025,385785,31581,1875
MULTAN DISTRICT,RURAL,Head,Male,374868,9253,351818,12744,1053
MULTAN DISTRICT,RURAL,Head,Female,54359,733,33967,18837,822
MULTAN DISTRICT,RURAL,Head,Transgender,39,39,,,
MULTAN DISTRICT,RURAL,Spouse,Overall,372780,,372780,,
MULTAN DISTRICT,RURAL,Spouse,Male,20844,,20844,,
MULTAN DISTRICT,RURAL,Spouse,Female,351936,,351936,,
MULTAN DISTRICT,RURAL,Son/Daughter,Overall,431659,326583,99192,2746,3138
MULTAN DISTRICT,RURAL,Son/Daughter,Male,290351,197104,90985,1341,921
MULTAN DISTRICT,RURAL,Son/Daughter,Female,141276,129447,8207,1405,2217
MULTAN DISTRICT,RURAL,Son/Daughter,Transgender,32,32,,,
MULTAN DISTRICT,RURAL,Daughter / Son In Law,Overall,103994,,103101,849,44
MULTAN DISTRICT,RURAL,Daughter / Son In Law,Male,2605,,2584,19,2
MULTAN DISTRICT,RURAL,Daughter / Son In Law,Female,101389,,100517,830,42
MULTAN DISTRICT,RURAL,Grand Son / Grand Daughter,Overall,14126,12150,1907,31,38
MULTAN DISTRICT,RURAL,Grand Son / Grand Daughter,Male,8116,6796,1301,8,11
MULTAN DISTRICT,RURAL,Grand Son / Grand Daughter,Female,6007,5351,606,23,27
MULTAN DISTRICT,RURAL,Grand Son / Grand Daughter,Transgender,3,3,,,
MULTAN DISTRICT,RURAL,Father/Mother,Overall,61397,,25787,35226,384
MULTAN DISTRICT,RURAL,Father/Mother,Male,16431,,11526,4850,55
MULTAN DISTRICT,RURAL,Father/Mother,Female,44966,,14261,30376,329
MULTAN DISTRICT,RURAL,Brother / Sister,Overall,66661,37421,24755,2688,1797
MULTAN DISTRICT,RURAL,Brother / Sister,Male,46152,23313,21392,998,449
MULTAN DISTRICT,RURAL,Brother / Sister,Female,20483,14082,3363,1690,1348
MULTAN DISTRICT,RURAL,Brother / Sister,Transgender,26,26,,,
MULTAN DISTRICT,RURAL,Other Relative,Overall,66200,16737,41300,7515,648
MULTAN DISTRICT,RURAL,Other Relative,Male,20580,9541,9240,1601,198
MULTAN DISTRICT,RURAL,Other Relative,Female,45453,7029,32060,5914,450
MULTAN DISTRICT,RURAL,Other Relative,Transgender,167,167,,,
MULTAN DISTRICT,RURAL,Non-Relative,Overall,20341,9647,9849,763,82
MULTAN DISTRICT,RURAL,Non-Relative,Male,12244,6591,5358,267,28
MULTAN DISTRICT,RURAL,Non-Relative,Female,8066,3025,4491,496,54
MULTAN DISTRICT,RURAL,Non-Relative,Transgender,31,31,,,
MULTAN DISTRICT,URBAN,Head,Overall,329775,13295,287516,27460,1504
MULTAN DISTRICT,URBAN,Head,Male,288324,12265,264707,10601,751
MULTAN DISTRICT,URBAN,Head,Female,41423,1002,22809,16859,753
MULTAN DISTRICT,URBAN,Head,Transgender,28,28,,,
MULTAN DISTRICT,URBAN,Spouse,Overall,277385,,277385,,
MULTAN DISTRICT,URBAN,Spouse,Male,14655,,14655,,
MULTAN DISTRICT,URBAN,Spouse,Female,262730,,262730,,
MULTAN DISTRICT,URBAN,Son/Daughter,Overall,402816,321882,76345,2035,2554
MULTAN DISTRICT,URBAN,Son/Daughter,Male,254750,184331,68774,844,801
MULTAN DISTRICT,URBAN,Son/Daughter,Female,148042,137527,7571,1191,1753
MULTAN DISTRICT,URBAN,Son/Daughter,Transgender,24,24,,,
MULTAN DISTRICT,URBAN,Daughter / Son In Law,Overall,74554,,73959,571,24
MULTAN DISTRICT,URBAN,Daughter / Son In Law,Male,2505,,2478,26,1
MULTAN DISTRICT,URBAN,Daughter / Son In Law,Female,72049,,71481,545,23
MULTAN DISTRICT,URBAN,Grand Son / Grand Daughter,Overall,13405,12178,1174,26,27
MULTAN DISTRICT,URBAN,Grand Son / Grand Daughter,Male,7331,6596,724,7,4
MULTAN DISTRICT,URBAN,Grand Son / Grand Daughter,Female,6065,5573,450,19,23
MULTAN DISTRICT,URBAN,Grand Son / Grand Daughter,Transgender,9,9,,,
MULTAN DISTRICT,URBAN,Father/Mother,Overall,48599,,20654,27676,269
MULTAN DISTRICT,URBAN,Father/Mother,Male,12534,,9002,3510,22
MULTAN DISTRICT,URBAN,Father/Mother,Female,36065,,11652,24166,247
MULTAN DISTRICT,URBAN,Brother / Sister,Overall,79142,47386,27812,2525,1419
MULTAN DISTRICT,URBAN,Brother / Sister,Male,53588,27960,24348,862,418
MULTAN DISTRICT,URBAN,Brother / Sister,Female,25508,19380,3464,1663,1001
MULTAN DISTRICT,URBAN,Brother / Sister,Transgender,46,46,,,
MULTAN DISTRICT,URBAN,Other Relative,Overall,69558,22941,40421,5700,496
MULTAN DISTRICT,URBAN,Other Relative,Male,23146,13128,8710,1128,180
MULTAN DISTRICT,URBAN,Other Relative,Female,46301,9702,31711,4572,316
MULTAN DISTRICT,URBAN,Other Relative,Transgender,111,111,,,
MULTAN DISTRICT,URBAN,Non-Relative,Overall,38598,16576,21015,868,139
MULTAN DISTRICT,URBAN,Non-Relative,Male,28999,12897,15778,255,69
MULTAN DISTRICT,URBAN,Non-Relative,Female,9552,3632,5237,613,70
MULTAN DISTRICT,URBAN,Non-Relative,Transgender,47,47,,,
KHANEWAL DISTRICT,OVERALL,Head,Overall,466076,13177,409948,40626,2325
KHANEWAL DISTRICT,OVERALL,Head,Male,410803,12212,379145,18076,1370
KHANEWAL DISTRICT,OVERALL,Head,Female,55220,912,30803,22550,955
KHANEWAL DISTRICT,OVERALL,Head,Transgender,53,53,,,
KHANEWAL DISTRICT,OVERALL,Spouse,Overall,394530,,394530,,
KHANEWAL DISTRICT,OVERALL,Spouse,Male,16544,,16544,,
KHANEWAL DISTRICT,OVERALL,Spouse,Female,377986,,377986,,
KHANEWAL DISTRICT,OVERALL,Son/Daughter,Overall,529878,415652,107000,2998,4228
KHANEWAL DISTRICT,OVERALL,Son/Daughter,Male,340216,239794,97749,1413,1260
KHANEWAL DISTRICT,OVERALL,Son/Daughter,Female,189635,175831,9251,1585,2968
KHANEWAL DISTRICT,OVERALL,Son/Daughter,Transgender,27,27,,,
KHANEWAL DISTRICT,OVERALL,Daughter / Son In Law,Overall,112243,,111209,984,50
KHANEWAL DISTRICT,OVERALL,Daughter / Son In Law,Male,2390,,2361,26,3
KHANEWAL DISTRICT,OVERALL,Daughter / Son In Law,Female,109853,,108848,958,47
KHANEWAL DISTRICT,OVERALL,Grand Son / Grand Daughter,Overall,16058,14152,1841,28,37
KHANEWAL DISTRICT,OVERALL,Grand Son / Grand Daughter,Male,8684,7491,1177,6,10
KHANEWAL DISTRICT,OVERALL,Grand Son / Grand Daughter,Female,7371,6658,664,22,27
KHANEWAL DISTRICT,OVERALL,Grand Son / Grand Daughter,Transgender,3,3,,,
KHANEWAL DISTRICT,OVERALL,Father/Mother,Overall,68515,,25943,42245,327
KHANEWAL DISTRICT,OVERALL,Father/Mother,Male,17460,,11468,5950,42
KHANEWAL DISTRICT,OVERALL,Father/Mother,Female,51055,,14475,36295,285
KHANEWAL DISTRICT,OVERALL,Brother / Sister,Overall,93222,54073,32455,3860,2834
KHANEWAL DISTRICT,OVERALL,Brother / Sister,Male,62180,31705,28279,1484,712
KHANEWAL DISTRICT,OVERALL,Brother / Sister,Female,30995,22321,4176,2376,2122
KHANEWAL DISTRICT,OVERALL,Brother / Sister,Transgender,47,47,,,
KHANEWAL DISTRICT,OVERALL,Other Relative,Overall,83993,23610,50553,9021,809
KHANEWAL DISTRICT,OVERALL,Other Relative,Male,25304,13060,10045,1965,234
KHANEWAL DISTRICT,OVERALL,Other Relative,Female,58553,10414,40508,7056,575
KHANEWAL DISTRICT,OVERALL,Other Relative,Transgender,136,136,,,
KHANEWAL DISTRICT,OVERALL,Non-Relative,Overall,15605,6523,8300,682,100
KHANEWAL DISTRICT,OVERALL,Non-Relative,Male,9306,4338,4719,213,36
KHANEWAL DISTRICT,OVERALL,Non-Relative,Female,6272,2158,3581,469,64
KHANEWAL DISTRICT,OVERALL,Non-Relative,Transgender,27,27,,,
KHANEWAL DISTRICT,RURAL,Head,Overall,371659,9997,328501,31337,1824
KHANEWAL DISTRICT,RURAL,Head,Male,328872,9307,303944,14509,1112
KHANEWAL DISTRICT,RURAL,Head,Female,42765,668,24557,16828,712
KHANEWAL DISTRICT,RURAL,Head,Transgender,22,22,,,
KHANEWAL DISTRICT,RURAL,Spouse,Overall,316913,,316913,,
KHANEWAL DISTRICT,RURAL,Spouse,Male,13460,,13460,,
KHANEWAL DISTRICT,RURAL,Spouse,Female,303453,,303453,,
KHANEWAL DISTRICT,RURAL,Son/Daughter,Overall,407774,316898,85142,2410,3324
KHANEWAL DISTRICT,RURAL,Son/Daughter,Male,264217,184117,77918,1170,1012
KHANEWAL DISTRICT,RURAL,Son/Daughter,Female,143538,132762,7224,1240,2312
KHANEWAL DISTRICT,RURAL,Son/Daughter,Transgender,19,19,,,
KHANEWAL DISTRICT,RURAL,Daughter / Son In Law,Overall,90162,,89314,803,45
KHANEWAL DISTRICT,RURAL,Daughter / Son In Law,Male,1835,,1814,19,2
KHANEWAL DISTRICT,RURAL,Daughter / Son In Law,Female,88327,,87500,784,43
KHANEWAL DISTRICT,RURAL,Grand Son / Grand Daughter,Overall,12519,10943,1520,25,31
KHANEWAL DISTRICT,RURAL,Grand Son / Grand Daughter,Male,6768,5776,981,5,6
KHANEWAL DISTRICT,RURAL,Grand Son / Grand Daughter,Female,5749,5165,539,20,25
KHANEWAL DISTRICT,RURAL,Grand Son / Grand Daughter,Transgender,2,2,,,
KHANEWAL DISTRICT,RURAL,Father/Mother,Overall,55699,,21219,34216,264
KHANEWAL DISTRICT,RURAL,Father/Mother,Male,14400,,9459,4907,34
KHANEWAL DISTRICT,RURAL,Father/Mother,Female,41299,,11760,29309,230
KHANEWAL DISTRICT,RURAL,Brother / Sister,Overall,73384,41948,25950,3159,2327
KHANEWAL DISTRICT,RURAL,Brother / Sister,Male,48998,24610,22595,1211,582
KHANEWAL DISTRICT,RURAL,Brother / Sister,Female,24343,17295,3355,1948,1745
KHANEWAL DISTRICT,RURAL,Brother / Sister,Transgender,43,43,,,
KHANEWAL DISTRICT,RURAL,Other Relative,Overall,67293,18283,40901,7425,684
KHANEWAL DISTRICT,RURAL,Other Relative,Male,20150,10144,8175,1641,190
KHANEWAL DISTRICT,RURAL,Other Relative,Female,47039,8035,32726,5784,494
KHANEWAL DISTRICT,RURAL,Other Relative,Transgender,104,104,,,
KHANEWAL DISTRICT,RURAL,Non-Relative,Overall,10760,4109,6080,507,64
KHANEWAL DISTRICT,RURAL,Non-Relative,Male,6312,2739,3372,174,27
KHANEWAL DISTRICT,RURAL,Non-Relative,Female,4432,1354,2708,333,37
KHANEWAL DISTRICT,RURAL,Non-Relative,Transgender,16,16,,,
KHANEWAL DISTRICT,URBAN,Head,Overall,94417,3180,81447,9289,501
KHANEWAL DISTRICT,URBAN,Head,Male,81931,2905,75201,3567,258
KHANEWAL DISTRICT,URBAN,Head,Female,12455,244,6246,5722,243
KHANEWAL DISTRICT,URBAN,Head,Transgender,31,31,,,
KHANEWAL DISTRICT,URBAN,Spouse,Overall,77617,,77617,,
KHANEWAL DISTRICT,URBAN,Spouse,Male,3084,,3084,,
KHANEWAL DISTRICT,URBAN,Spouse,Female,74533,,74533,,
KHANEWAL DISTRICT,URBAN,Son/Daughter,Overall,122104,98754,21858,588,904
KHANEWAL DISTRICT,URBAN,Son/Daughter,Male,75999,55677,19831,243,248
KHANEWAL DISTRICT,URBAN,Son/Daughter,Female,46097,43069,2027,345,656
KHANEWAL DISTRICT,URBAN,Son/Daughter,Transgender,8,8,,,
KHANEWAL DISTRICT,URBAN,Daughter / Son In Law,Overall,22081,,21895,181,5
KHANEWAL DISTRICT,URBAN,Daughter / Son In Law,Male,555,,547,7,1
KHANEWAL DISTRICT,URBAN,Daughter / Son In Law,Female,21526,,21348,174,4
KHANEWAL DISTRICT,URBAN,Grand Son / Grand Daughter,Overall,3539,3209,321,3,6
KHANEWAL DISTRICT,URBAN,Grand Son / Grand Daughter,Male,1916,1715,196,1,4
KHANEWAL DISTRICT,URBAN,Grand Son / Grand Daughter,Female,1622,1493,125,2,2
KHANEWAL DISTRICT,URBAN,Grand Son / Grand Daughter,Transgender,1,1,,,
KHANEWAL DISTRICT,URBAN,Father/Mother,Overall,12816,,4724,8029,63
KHANEWAL DISTRICT,URBAN,Father/Mother,Male,3060,,2009,1043,8
KHANEWAL DISTRICT,URBAN,Father/Mother,Female,9756,,2715,6986,55
KHANEWAL DISTRICT,URBAN,Brother / Sister,Overall,19838,12125,6505,701,507
KHANEWAL DISTRICT,URBAN,Brother / Sister,Male,13182,7095,5684,273,130
KHANEWAL DISTRICT,URBAN,Brother / Sister,Female,6652,5026,821,428,377
KHANEWAL DISTRICT,URBAN,Brother / Sister,Transgender,4,4,,,
KHANEWAL DISTRICT,URBAN,Other Relative,Overall,16700,5327,9652,1596,125
KHANEWAL DISTRICT,URBAN,Other Relative,Male,5154,2916,1870,324,44
KHANEWAL DISTRICT,URBAN,Other Relative,Female,11514,2379,7782,1272,81
KHANEWAL DISTRICT,URBAN,Other Relative,Transgender,32,32,,,
KHANEWAL DISTRICT,URBAN,Non-Relative,Overall,4845,2414,2220,175,36
KHANEWAL DISTRICT,URBAN,Non-Relative,Male,2994,1599,1347,39,9
KHANEWAL DISTRICT,URBAN,Non-Relative,Female,1840,804,873,136,27
KHANEWAL DISTRICT,URBAN,Non-Relative,Transgender,11,11,,,
LODHRAN DISTRICT,OVERALL,Head,Overall,262661,6597,234650,20257,1157
LODHRAN DISTRICT,OVERALL,Head,Male,226178,6115,211222,8238,603
LODHRAN DISTRICT,OVERALL,Head,Female,36449,448,23428,12019,554
LODHRAN DISTRICT,OVERALL,Head,Transgender,34,34,,,
LODHRAN DISTRICT,OVERALL,Spouse,Overall,224455,,224455,,
LODHRAN DISTRICT,OVERALL,Spouse,Male,13606,,13606,,
LODHRAN DISTRICT,OVERALL,Spouse,Female,210849,,210849,,
LODHRAN DISTRICT,OVERALL,Son/Daughter,Overall,277258,207662,65535,1832,2229
LODHRAN DISTRICT,OVERALL,Son/Daughter,Male,183908,122070,60311,908,619
LODHRAN DISTRICT,OVERALL,Son/Daughter,Female,93337,85579,5224,924,1610
LODHRAN DISTRICT,OVERALL,Son/Daughter,Transgender,13,13,,,
LODHRAN DISTRICT,OVERALL,Daughter / Son In Law,Overall,71497,,70887,585,25
LODHRAN DISTRICT,OVERALL,Daughter / Son In Law,Male,1358,,1338,18,2
LODHRAN DISTRICT,OVERALL,Daughter / Son In Law,Female,70139,,69549,567,23
LODHRAN DISTRICT,OVERALL,Grand Son / Grand Daughter,Overall,9382,8115,1235,14,18
LODHRAN DISTRICT,OVERALL,Grand Son / Grand Daughter,Male,5261,4433,819,5,4
LODHRAN DISTRICT,OVERALL,Grand Son / Grand Daughter,Female,4119,3680,416,9,14
LODHRAN DISTRICT,OVERALL,Grand Son / Grand Daughter,Transgender,2,2,,,
LODHRAN DISTRICT,OVERALL,Father/Mother,Overall,42549,,18228,24071,250
LODHRAN DISTRICT,OVERALL,Father/Mother,Male,11523,,8201,3292,30
LODHRAN DISTRICT,OVERALL,Father/Mother,Female,31026,,10027,20779,220
LODHRAN DISTRICT,OVERALL,Brother / Sister,Overall,45733,25603,16957,1860,1313
LODHRAN DISTRICT,OVERALL,Brother / Sister,Male,30733,14992,14772,660,309
LODHRAN DISTRICT,OVERALL,Brother / Sister,Female,14982,10593,2185,1200,1004
LODHRAN DISTRICT,OVERALL,Brother / Sister,Transgender,18,18,,,
LODHRAN DISTRICT,OVERALL,Other Relative,Overall,45644,11306,28810,5055,473
LODHRAN DISTRICT,OVERALL,Other Relative,Male,13304,6345,5828,973,158
LODHRAN DISTRICT,OVERALL,Other Relative,Female,32284,4905,22982,4082,315
LODHRAN DISTRICT,OVERALL,Other Relative,Transgender,56,56,,,
LODHRAN DISTRICT,OVERALL,Non-Relative,Overall,7525,3112,4013,364,36
LODHRAN DISTRICT,OVERALL,Non-Relative,Male,4086,2041,1908,120,17
LODHRAN DISTRICT,OVERALL,Non-Relative,Female,3419,1051,2105,244,19
LODHRAN DISTRICT,OVERALL,Non-Relative,Transgender,20,20,,,
LODHRAN DISTRICT,RURAL,Head,Overall,220417,5112,197695,16680,930
LODHRAN DISTRICT,RURAL,Head,Male,190469,4743,178255,6989,482
LODHRAN DISTRICT,RURAL,Head,Female,29929,350,19440,9691,448
LODHRAN DISTRICT,RURAL,Head,Transgender,19,19,,,
LODHRAN DISTRICT,RURAL,Spouse,Overall,189639,,189639,,
LODHRAN DISTRICT,RURAL,Spouse,Male,11424,,11424,,
LODHRAN DISTRICT,RURAL,Spouse,Female,178215,,178215,,
LODHRAN DISTRICT,RURAL,Son/Daughter,Overall,229688,169804,56439,1575,1870
LODHRAN DISTRICT,RURAL,Son/Daughter,Male,153843,100443,52083,798,519
LODHRAN DISTRICT,RURAL,Son/Daughter,Female,75835,69351,4356,777,1351
LODHRAN DISTRICT,RURAL,Son/Daughter,Transgender,10,10,,,
LODHRAN DISTRICT,RURAL,Daughter / Son In Law,Overall,61865,,61339,506,20
LODHRAN DISTRICT,RURAL,Daughter / Son In Law,Male,1146,,1127,17,2
LODHRAN DISTRICT,RURAL,Daughter / Son In Law,Female,60719,,60212,489,18
LODHRAN DISTRICT,RURAL,Grand Son / Grand Daughter,Overall,7871,6794,1049,11,17
LODHRAN DISTRICT,RURAL,Grand Son / Grand Daughter,Male,4445,3723,715,3,4
LODHRAN DISTRICT,RURAL,Grand Son / Grand Daughter,Female,3424,3069,334,8,13
LODHRAN DISTRICT,RURAL,Grand Son / Grand Daughter,Transgender,2,2,,,
LODHRAN DISTRICT,RURAL,Father/Mother,Overall,36093,,15572,20310,211
LODHRAN DISTRICT,RURAL,Father/Mother,Male,9881,,7022,2832,27
LODHRAN DISTRICT,RURAL,Father/Mother,Female,26212,,8550,17478,184
LODHRAN DISTRICT,RURAL,Brother / Sister,Overall,37076,20218,14179,1574,1105
LODHRAN DISTRICT,RURAL,Brother / Sister,Male,24977,11795,12375,562,245
LODHRAN DISTRICT,RURAL,Brother / Sister,Female,12082,8406,1804,1012,860
LODHRAN DISTRICT,RURAL,Brother / Sister,Transgender,17,17,,,
LODHRAN DISTRICT,RURAL,Other Relative,Overall,38180,9178,24322,4283,397
LODHRAN DISTRICT,RURAL,Other Relative,Male,11090,5156,4965,841,128
