district,group,relationship,sex,total_pop,never_married,married,widowed,divorced
LAKKI MARWAT DISTRICT,OVERALL,Non-Relative,Transgender,,,,,
LAKKI MARWAT DISTRICT,RURAL,Head,Overall,86987,2687,79734,4508,58
LAKKI MARWAT DISTRICT,RURAL,Head,Male,76889,2481,72559,1819,30
LAKKI MARWAT DISTRICT,RURAL,Head,Female,10098,206,7175,2689,28
LAKKI MARWAT DISTRICT,RURAL,Head,Transgender,,,,,
LAKKI MARWAT DISTRICT,RURAL,Spouse,Overall,76758,,76758,,
LAKKI MARWAT DISTRICT,RURAL,Spouse,Male,2480,,2480,,
LAKKI MARWAT DISTRICT,RURAL,Spouse,Female,74278,,74278,,
LAKKI MARWAT DISTRICT,RURAL,Son/Daughter,Overall,123162,91045,31582,310,225
LAKKI MARWAT DISTRICT,RURAL,Son/Daughter,Male,82383,52095,30115,133,40
LAKKI MARWAT DISTRICT,RURAL,Son/Daughter,Female,40778,38949,1467,177,185
LAKKI MARWAT DISTRICT,RURAL,Son/Daughter,Transgender,1,1,,,
LAKKI MARWAT DISTRICT,RURAL,Daughter / Son In Law,Overall,40399,,40073,320,6
LAKKI MARWAT DISTRICT,RURAL,Daughter / Son In Law,Male,425,,421,4,
LAKKI MARWAT DISTRICT,RURAL,Daughter / Son In Law,Female,39974,,39652,316,6
LAKKI MARWAT DISTRICT,RURAL,Grand Son / Grand Daughter,Overall,6380,5560,812,8,
LAKKI MARWAT DISTRICT,RURAL,Grand Son / Grand Daughter,Male,3533,2990,541,2,
LAKKI MARWAT DISTRICT,RURAL,Grand Son / Grand Daughter,Female,2847,2570,271,6,
LAKKI MARWAT DISTRICT,RURAL,Grand Son / Grand Daughter,Transgender,,,,,
LAKKI MARWAT DISTRICT,RURAL,Father/Mother,Overall,16611,,9196,7398,17
LAKKI MARWAT DISTRICT,RURAL,Father/Mother,Male,4485,,3737,747,1
LAKKI MARWAT DISTRICT,RURAL,Father/Mother,Female,12126,,5459,6651,16
LAKKI MARWAT DISTRICT,RURAL,Brother / Sister,Overall,27307,15092,11540,496,179
LAKKI MARWAT DISTRICT,RURAL,Brother / Sister,Male,19273,8204,10902,142,25
LAKKI MARWAT DISTRICT,RURAL,Brother / Sister,Female,8031,6885,638,354,154
LAKKI MARWAT DISTRICT,RURAL,Brother / Sister,Transgender,3,3,,,
LAKKI MARWAT DISTRICT,RURAL,Other Relative,Overall,29975,7947,20304,1673,51
LAKKI MARWAT DISTRICT,RURAL,Other Relative,Male,7421,4094,3136,186,5
LAKKI MARWAT DISTRICT,RURAL,Other Relative,Female,22554,3853,17168,1487,46
LAKKI MARWAT DISTRICT,RURAL,Other Relative,Transgender,,,,,
LAKKI MARWAT DISTRICT,RURAL,Non-Relative,Overall,9034,3616,5237,170,11
LAKKI MARWAT DISTRICT,RURAL,Non-Relative,Male,5100,2407,2662,25,6
LAKKI MARWAT DISTRICT,RURAL,Non-Relative,Female,3934,1209,2575,145,5
LAKKI MARWAT DISTRICT,RURAL,Non-Relative,Transgender,,,,,
LAKKI MARWAT DISTRICT,URBAN,Head,Overall,10960,377,9857,712,14
LAKKI MARWAT DISTRICT,URBAN,Head,Male,10022,351,9359,307,5
LAKKI MARWAT DISTRICT,URBAN,Head,Female,938,26,498,405,9
LAKKI MARWAT DISTRICT,URBAN,Head,Transgender,,,,,
LAKKI MARWAT DISTRICT,URBAN,Spouse,Overall,9668,,9668,,
LAKKI MARWAT DISTRICT,URBAN,Spouse,Male,277,,277,,
LAKKI MARWAT DISTRICT,URBAN,Spouse,Female,9391,,9391,,
LAKKI MARWAT DISTRICT,URBAN,Son/Daughter,Overall,16209,12149,3973,50,37
LAKKI MARWAT DISTRICT,URBAN,Son/Daughter,Male,10851,7073,3754,14,10
LAKKI MARWAT DISTRICT,URBAN,Son/Daughter,Female,5358,5076,219,36,27
LAKKI MARWAT DISTRICT,URBAN,Son/Daughter,Transgender,,,,,
LAKKI MARWAT DISTRICT,URBAN,Daughter / Son In Law,Overall,4148,,4119,28,1
LAKKI MARWAT DISTRICT,URBAN,Daughter / Son In Law,Male,76,,76,,
LAKKI MARWAT DISTRICT,URBAN,Daughter / Son In Law,Female,4072,,4043,28,1
LAKKI MARWAT DISTRICT,URBAN,Grand Son / Grand Daughter,Overall,894,763,131,,
LAKKI MARWAT DISTRICT,URBAN,Grand Son / Grand Daughter,Male,496,417,79,,
LAKKI MARWAT DISTRICT,URBAN,Grand Son / Grand Daughter,Female,398,346,52,,
LAKKI MARWAT DISTRICT,URBAN,Grand Son / Grand Daughter,Transgender,,,,,
LAKKI MARWAT DISTRICT,URBAN,Father/Mother,Overall,1679,,748,925,6
LAKKI MARWAT DISTRICT,URBAN,Father/Mother,Male,381,,313,68,
LAKKI MARWAT DISTRICT,URBAN,Father/Mother,Female,1298,,435,857,6
LAKKI MARWAT DISTRICT,URBAN,Brother / Sister,Overall,3319,1962,1240,88,29
LAKKI MARWAT DISTRICT,URBAN,Brother / Sister,Male,2262,1064,1169,22,7
LAKKI MARWAT DISTRICT,URBAN,Brother / Sister,Female,1057,898,71,66,22
LAKKI MARWAT DISTRICT,URBAN,Brother / Sister,Transgender,,,,,
LAKKI MARWAT DISTRICT,URBAN,Other Relative,Overall,3056,932,1933,181,10
LAKKI MARWAT DISTRICT,URBAN,Other Relative,Male,916,526,372,18,
LAKKI MARWAT DISTRICT,URBAN,Other Relative,Female,2140,406,1561,163,10
LAKKI MARWAT DISTRICT,URBAN,Other Relative,Transgender,,,,,
LAKKI MARWAT DISTRICT,URBAN,Non-Relative,Overall,2429,1572,839,17,1
LAKKI MARWAT DISTRICT,URBAN,Non-Relative,Male,1451,992,456,3,
LAKKI MARWAT DISTRICT,URBAN,Non-Relative,Female,978,580,383,14,1
LAKKI MARWAT DISTRICT,URBAN,Non-Relative,Transgender,,,,,
DERA ISMAIL KHAN DISTRICT,OVERALL,Head,Overall,198605,6507,179911,11924,263
DERA ISMAIL KHAN DISTRICT,OVERALL,Head,Male,184002,6161,171977,5729,135
DERA ISMAIL KHAN DISTRICT,OVERALL,Head,Female,14594,337,7934,6195,128
DERA ISMAIL KHAN DISTRICT,OVERALL,Head,Transgender,9,9,,,
DERA ISMAIL KHAN DISTRICT,OVERALL,Spouse,Overall,177779,,177779,,
DERA ISMAIL KHAN DISTRICT,OVERALL,Spouse,Male,3961,,3961,,
DERA ISMAIL KHAN DISTRICT,OVERALL,Spouse,Female,173818,,173818,,
DERA ISMAIL KHAN DISTRICT,OVERALL,Son/Daughter,Overall,264778,193477,69431,1104,766
