district,group,relationship,total_pop,never_married,married,widowed,divorced
LAYYAH DISTRICT,URBAN,Father/Mother,7415,,2841,4544,30
LAYYAH DISTRICT,URBAN,Brother / Sister,10836,6509,3795,331,201
LAYYAH DISTRICT,URBAN,Other Relative,9302,2893,5506,836,67
LAYYAH DISTRICT,URBAN,Non-Relative,4352,3244,1046,51,11
MUZAFFARGARH DISTRICT,OVERALL,Head,659185,11556,609941,35925,1763
MUZAFFARGARH DISTRICT,OVERALL,Spouse,601932,,601932,,
MUZAFFARGARH DISTRICT,OVERALL,Son/Daughter,637909,490086,140463,3632,3728
MUZAFFARGARH DISTRICT,OVERALL,Daughter / Son In Law,146652,,145365,1233,54
MUZAFFARGARH DISTRICT,OVERALL,Grand Son / Grand Daughter,19764,16526,3148,50,40
MUZAFFARGARH DISTRICT,OVERALL,Father/Mother,83962,,34230,49200,532
MUZAFFARGARH DISTRICT,OVERALL,Brother / Sister,90968,51634,34133,3341,1860
MUZAFFARGARH DISTRICT,OVERALL,Other Relative,95187,22232,62725,9624,606
MUZAFFARGARH DISTRICT,OVERALL,Non-Relative,34433,12850,20358,1104,121
MUZAFFARGARH DISTRICT,RURAL,Head,550363,8457,511372,29191,1343
MUZAFFARGARH DISTRICT,RURAL,Spouse,506346,,506346,,
MUZAFFARGARH DISTRICT,RURAL,Son/Daughter,512761,389210,117463,3053,3035
MUZAFFARGARH DISTRICT,RURAL,Daughter / Son In Law,123540,,122443,1051,46
MUZAFFARGARH DISTRICT,RURAL,Grand Son / Grand Daughter,16175,13370,2730,41,34
MUZAFFARGARH DISTRICT,RURAL,Father/Mother,69622,,28649,40529,444
MUZAFFARGARH DISTRICT,RURAL,Brother / Sister,71640,39673,27711,2733,1523
MUZAFFARGARH DISTRICT,RURAL,Other Relative,77490,17204,51779,8014,493
MUZAFFARGARH DISTRICT,RURAL,Non-Relative,24066,9084,14088,809,85
MUZAFFARGARH DISTRICT,URBAN,Head,108822,3099,98569,6734,420
MUZAFFARGARH DISTRICT,URBAN,Spouse,95586,,95586,,
MUZAFFARGARH DISTRICT,URBAN,Son/Daughter,125148,100876,23000,579,693
MUZAFFARGARH DISTRICT,URBAN,Daughter / Son In Law,23112,,22922,182,8
MUZAFFARGARH DISTRICT,URBAN,Grand Son / Grand Daughter,3589,3156,418,9,6
MUZAFFARGARH DISTRICT,URBAN,Father/Mother,14340,,5581,8671,88
MUZAFFARGARH DISTRICT,URBAN,Brother / Sister,19328,11961,6422,608,337
MUZAFFARGARH DISTRICT,URBAN,Other Relative,17697,5028,10946,1610,113
MUZAFFARGARH DISTRICT,URBAN,Non-Relative,10367,3766,6270,295,36
MULTAN DISTRICT,OVERALL,Head,759041,23320,673301,59041,3379
MULTAN DISTRICT,OVERALL,Spouse,650165,,650165,,
MULTAN DISTRICT,OVERALL,Son/Daughter,834475,648465,175537,4781,5692
MULTAN DISTRICT,OVERALL,Daughter / Son In Law,178548,,177060,1420,68
MULTAN DISTRICT,OVERALL,Grand Son / Grand Daughter,27531,24328,3081,57,65
MULTAN DISTRICT,OVERALL,Father/Mother,109996,,46441,62902,653
MULTAN DISTRICT,OVERALL,Brother / Sister,145803,84807,52567,5213,3216
MULTAN DISTRICT,OVERALL,Other Relative,135758,39678,81721,13215,1144
MULTAN DISTRICT,OVERALL,Non-Relative,58939,26223,30864,1631,221
MULTAN DISTRICT,RURAL,Head,429266,10025,385785,31581,1875
MULTAN DISTRICT,RURAL,Spouse,372780,,372780,,
MULTAN DISTRICT,RURAL,Son/Daughter,431659,326583,99192,2746,3138
MULTAN DISTRICT,RURAL,Daughter / Son In Law,103994,,103101,849,44
MULTAN DISTRICT,RURAL,Grand Son / Grand Daughter,14126,12150,1907,31,38
MULTAN DISTRICT,RURAL,Father/Mother,61397,,25787,35226,384
MULTAN DISTRICT,RURAL,Brother / Sister,66661,37421,24755,2688,1797
MULTAN DISTRICT,RURAL,Other Relative,66200,16737,41300,7515,648
MULTAN DISTRICT,RURAL,Non-Relative,20341,9647,9849,763,82
MULTAN DISTRICT,URBAN,Head,329775,13295,287516,27460,1504
MULTAN DISTRICT,URBAN,Spouse,277385,,277385,,
MULTAN DISTRICT,URBAN,Son/Daughter,402816,321882,76345,2035,2554
MULTAN DISTRICT,URBAN,Daughter / Son In Law,74554,,73959,571,24
MULTAN DISTRICT,URBAN,Grand Son / Grand Daughter,13405,12178,1174,26,27
MULTAN DISTRICT,URBAN,Father/Mother,48599,,20654,27676,269
MULTAN DISTRICT,URBAN,Brother / Sister,79142,47386,27812,2525,1419
MULTAN DISTRICT,URBAN,Other Relative,69558,22941,40421,5700,496
MULTAN DISTRICT,URBAN,Non-Relative,38598,16576,21015,868,139
KHANEWAL DISTRICT,OVERALL,Head,466076,13177,409948,40626,2325
KHANEWAL DISTRICT,OVERALL,Spouse,394530,,394530,,
KHANEWAL DISTRICT,OVERALL,Son/Daughter,529878,415652,107000,2998,4228
KHANEWAL DISTRICT,OVERALL,Daughter / Son In Law,112243,,111209,984,50
KHANEWAL DISTRICT,OVERALL,Grand Son / Grand Daughter,16058,14152,1841,28,37
KHANEWAL DISTRICT,OVERALL,Father/Mother,68515,,25943,42245,327
KHANEWAL DISTRICT,OVERALL,Brother / Sister,93222,54073,32455,3860,2834
KHANEWAL DISTRICT,OVERALL,Other Relative,83993,23610,50553,9021,809
KHANEWAL DISTRICT,OVERALL,Non-Relative,15605,6523,8300,682,100
KHANEWAL DISTRICT,RURAL,Head,371659,9997,328501,31337,1824
KHANEWAL DISTRICT,RURAL,Spouse,316913,,316913,,
KHANEWAL DISTRICT,RURAL,Son/Daughter,407774,316898,85142,2410,3324
KHANEWAL DISTRICT,RURAL,Daughter / Son In Law,90162,,89314,803,45
KHANEWAL DISTRICT,RURAL,Grand Son / Grand Daughter,12519,10943,1520,25,31
KHANEWAL DISTRICT,RURAL,Father/Mother,55699,,21219,34216,264
KHANEWAL DISTRICT,RURAL,Brother / Sister,73384,41948,25950,3159,2327
KHANEWAL DISTRICT,RURAL,Other Relative,67293,18283,40901,7425,684
KHANEWAL DISTRICT,RURAL,Non-Relative,10760,4109,6080,507,64
KHANEWAL DISTRICT,URBAN,Head,94417,3180,81447,9289,501
KHANEWAL DISTRICT,URBAN,Spouse,77617,,77617,,
KHANEWAL DISTRICT,URBAN,Son/Daughter,122104,98754,21858,588,904
KHANEWAL DISTRICT,URBAN,Daughter / Son In Law,22081,,21895,181,5
KHANEWAL DISTRICT,URBAN,Grand Son / Grand Daughter,3539,3209,321,3,6
KHANEWAL DISTRICT,URBAN,Father/Mother,12816,,4724,8029,63
KHANEWAL DISTRICT,URBAN,Brother / Sister,19838,12125,6505,701,507
KHANEWAL DISTRICT,URBAN,Other Relative,16700,5327,9652,1596,125
KHANEWAL DISTRICT,URBAN,Non-Relative,4845,2414,2220,175,36
LODHRAN DISTRICT,OVERALL,Head,262661,6597,234650,20257,1157
LODHRAN DISTRICT,OVERALL,Spouse,224455,,224455,,
LODHRAN DISTRICT,OVERALL,Son/Daughter,277258,207662,65535,1832,2229
LODHRAN DISTRICT,OVERALL,Daughter / Son In Law,71497,,70887,585,25
LODHRAN DISTRICT,OVERALL,Grand Son / Grand Daughter,9382,8115,1235,14,18
LODHRAN DISTRICT,OVERALL,Father/Mother,42549,,18228,24071,250
LODHRAN DISTRICT,OVERALL,Brother / Sister,45733,25603,16957,1860,1313
LODHRAN DISTRICT,OVERALL,Other Relative,45644,11306,28810,5055,473
LODHRAN DISTRICT,OVERALL,Non-Relative,7525,3112,4013,364,36
LODHRAN DISTRICT,RURAL,Head,220417,5112,197695,16680,930
LODHRAN DISTRICT,RURAL,Spouse,189639,,189639,,
LODHRAN DISTRICT,RURAL,Son/Daughter,229688,169804,56439,1575,1870
LODHRAN DISTRICT,RURAL,Daughter / Son In Law,61865,,61339,506,20
LODHRAN DISTRICT,RURAL,Grand Son / Grand Daughter,7871,6794,1049,11,17
LODHRAN DISTRICT,RURAL,Father/Mother,36093,,15572,20310,211
LODHRAN DISTRICT,RURAL,Brother / Sister,37076,20218,14179,1574,1105
LODHRAN DISTRICT,RURAL,Other Relative,38180,9178,24322,4283,397
LODHRAN DISTRICT,RURAL,Non-Relative,5526,1733,3446,317,30
LODHRAN DISTRICT,URBAN,Head,42244,1485,36955,3577,227
LODHRAN DISTRICT,URBAN,Spouse,34816,,34816,,
LODHRAN DISTRICT,URBAN,Son/Daughter,47570,37858,9096,257,359
LODHRAN DISTRICT,URBAN,Daughter / Son In Law,9632,,9548,79,5
LODHRAN DISTRICT,URBAN,Grand Son / Grand Daughter,1511,1321,186,3,1
LODHRAN DISTRICT,URBAN,Father/Mother,6456,,2656,3761,39
LODHRAN DISTRICT,URBAN,Brother / Sister,8657,5385,2778,286,208
LODHRAN DISTRICT,URBAN,Other Relative,7464,2128,4488,772,76
LODHRAN DISTRICT,URBAN,Non-Relative,1999,1379,567,47,6
VEHARI DISTRICT,OVERALL,Head,459074,13272,399642,43230,2930
VEHARI DISTRICT,OVERALL,Spouse,377645,,377645,,
VEHARI DISTRICT,OVERALL,Son/Daughter,537620,405663,122785,3599,5573
VEHARI DISTRICT,OVERALL,Daughter / Son In Law,131952,,130832,1091,29
VEHARI DISTRICT,OVERALL,Grand Son / Grand Daughter,19400,17221,2093,32,54
VEHARI DISTRICT,OVERALL,Father/Mother,69329,,26913,41929,487
VEHARI DISTRICT,OVERALL,Brother / Sister,85190,47802,30323,3747,3318
VEHARI DISTRICT,OVERALL,Other Relative,77977,21402,46929,8681,965
VEHARI DISTRICT,OVERALL,Non-Relative,15178,7229,7174,631,144
VEHARI DISTRICT,RURAL,Head,378148,10509,330671,34553,2415
VEHARI DISTRICT,RURAL,Spouse,313364,,313364,,
VEHARI DISTRICT,RURAL,Son/Daughter,431112,322188,101274,2980,4670
VEHARI DISTRICT,RURAL,Daughter / Son In Law,109544,,108638,885,21
VEHARI DISTRICT,RURAL,Grand Son / Grand Daughter,15715,13868,1776,26,45
VEHARI DISTRICT,RURAL,Father/Mother,58673,,23219,35025,429
VEHARI DISTRICT,RURAL,Brother / Sister,69281,38272,24960,3172,2877
VEHARI DISTRICT,RURAL,Other Relative,64528,17176,39249,7291,812
VEHARI DISTRICT,RURAL,Non-Relative,10350,4360,5329,540,121
VEHARI DISTRICT,URBAN,Head,80926,2763,68971,8677,515
VEHARI DISTRICT,URBAN,Spouse,64281,,64281,,
VEHARI DISTRICT,URBAN,Son/Daughter,106508,83475,21511,619,903
VEHARI DISTRICT,URBAN,Daughter / Son In Law,22408,,22194,206,8
VEHARI DISTRICT,URBAN,Grand Son / Grand Daughter,3685,3353,317,6,9
VEHARI DISTRICT,URBAN,Father/Mother,10656,,3694,6904,58
VEHARI DISTRICT,URBAN,Brother / Sister,15909,9530,5363,575,441
VEHARI DISTRICT,URBAN,Other Relative,13449,4226,7680,1390,153
VEHARI DISTRICT,URBAN,Non-Relative,4828,2869,1845,91,23
JACOBABAD DISTRICT,OVERALL,Head,176435,3371,161358,11555,151
JACOBABAD DISTRICT,OVERALL,Spouse,165431,,165431,,
JACOBABAD DISTRICT,OVERALL,Son/Daughter,108833,95553,12480,634,166
JACOBABAD DISTRICT,OVERALL,Daughter / Son In Law,11817,,11568,245,4
JACOBABAD DISTRICT,OVERALL,Grand Son / Grand Daughter,1896,1485,401,6,4
JACOBABAD DISTRICT,OVERALL,Father/Mother,13255,,3827,9390,38
JACOBABAD DISTRICT,OVERALL,Brother / Sister,15924,10023,4878,932,91
JACOBABAD DISTRICT,OVERALL,Other Relative,16101,4589,8963,2511,38
JACOBABAD DISTRICT,OVERALL,Non-Relative,8676,2361,5821,477,17
JACOBABAD DISTRICT,RURAL,Head,124088,2129,114014,7873,72
JACOBABAD DISTRICT,RURAL,Spouse,117844,,117844,,
JACOBABAD DISTRICT,RURAL,Son/Daughter,65769,56387,8898,409,75
JACOBABAD DISTRICT,RURAL,Daughter / Son In Law,8521,,8348,171,2
JACOBABAD DISTRICT,RURAL,Grand Son / Grand Daughter,1186,874,305,5,2
JACOBABAD DISTRICT,RURAL,Father/Mother,8598,,2635,5937,26
JACOBABAD DISTRICT,RURAL,Brother / Sister,8799,5105,3114,541,39
JACOBABAD DISTRICT,RURAL,Other Relative,10237,2626,5966,1622,23
JACOBABAD DISTRICT,RURAL,Non-Relative,6787,1644,4761,373,9
JACOBABAD DISTRICT,URBAN,Head,52347,1242,47344,3682,79
JACOBABAD DISTRICT,URBAN,Spouse,47587,,47587,,
JACOBABAD DISTRICT,URBAN,Son/Daughter,43064,39166,3582,225,91
JACOBABAD DISTRICT,URBAN,Daughter / Son In Law,3296,,3220,74,2
JACOBABAD DISTRICT,URBAN,Grand Son / Grand Daughter,710,611,96,1,2
JACOBABAD DISTRICT,URBAN,Father/Mother,4657,,1192,3453,12
JACOBABAD DISTRICT,URBAN,Brother / Sister,7125,4918,1764,391,52
JACOBABAD DISTRICT,URBAN,Other Relative,5864,1963,2997,889,15
JACOBABAD DISTRICT,URBAN,Non-Relative,1889,717,1060,104,8
KASHMOR DISTRICT,OVERALL,Head,183061,3251,172942,6777,91
KASHMOR DISTRICT,OVERALL,Spouse,182349,,182349,,
KASHMOR DISTRICT,OVERALL,Son/Daughter,97956,81525,15801,488,142
KASHMOR DISTRICT,OVERALL,Daughter / Son In Law,16906,,16685,210,11
KASHMOR DISTRICT,OVERALL,Grand Son / Grand Daughter,1914,1443,467,3,1
KASHMOR DISTRICT,OVERALL,Father/Mother,13897,,4959,8907,31
KASHMOR DISTRICT,OVERALL,Brother / Sister,15948,8608,6613,658,69
KASHMOR DISTRICT,OVERALL,Other Relative,19534,4494,13021,1995,24
KASHMOR DISTRICT,OVERALL,Non-Relative,11214,2588,8207,412,7
KASHMOR DISTRICT,RURAL,Head,139324,2364,131975,4923,62
KASHMOR DISTRICT,RURAL,Spouse,140705,,140705,,
KASHMOR DISTRICT,RURAL,Son/Daughter,65859,53278,12173,320,88
KASHMOR DISTRICT,RURAL,Daughter / Son In Law,13290,,13122,160,8
KASHMOR DISTRICT,RURAL,Grand Son / Grand Daughter,1361,985,373,3,
KASHMOR DISTRICT,RURAL,Father/Mother,10108,,3972,6112,24
KASHMOR DISTRICT,RURAL,Brother / Sister,11053,5383,5187,443,40
KASHMOR DISTRICT,RURAL,Other Relative,15222,3237,10465,1501,19
KASHMOR DISTRICT,RURAL,Non-Relative,8661,1866,6483,310,2
KASHMOR DISTRICT,URBAN,Head,43737,887,40967,1854,29
KASHMOR DISTRICT,URBAN,Spouse,41644,,41644,,
KASHMOR DISTRICT,URBAN,Son/Daughter,32097,28247,3628,168,54
KASHMOR DISTRICT,URBAN,Daughter / Son In Law,3616,,3563,50,3
KASHMOR DISTRICT,URBAN,Grand Son / Grand Daughter,553,458,94,,1
KASHMOR DISTRICT,URBAN,Father/Mother,3789,,987,2795,7
KASHMOR DISTRICT,URBAN,Brother / Sister,4895,3225,1426,215,29
KASHMOR DISTRICT,URBAN,Other Relative,4312,1257,2556,494,5
KASHMOR DISTRICT,URBAN,Non-Relative,2553,722,1724,102,5
KAMBAR SHAHDAD KOT DISTRICT,OVERALL,Head,218166,4534,201654,11813,165
KAMBAR SHAHDAD KOT DISTRICT,OVERALL,Spouse,205620,,205620,,
KAMBAR SHAHDAD KOT DISTRICT,OVERALL,Son/Daughter,172348,151205,20140,751,252
KAMBAR SHAHDAD KOT DISTRICT,OVERALL,Daughter / Son In Law,20472,,20126,338,8
KAMBAR SHAHDAD KOT DISTRICT,OVERALL,Grand Son / Grand Daughter,3704,3067,621,14,2
KAMBAR SHAHDAD KOT DISTRICT,OVERALL,Father/Mother,19420,,7010,12371,39
KAMBAR SHAHDAD KOT DISTRICT,OVERALL,Brother / Sister,23641,15619,6999,875,148
KAMBAR SHAHDAD KOT DISTRICT,OVERALL,Other Relative,28791,7665,18031,3050,45
KAMBAR SHAHDAD KOT DISTRICT,OVERALL,Non-Relative,11240,3547,7213,465,15
KAMBAR SHAHDAD KOT DISTRICT,RURAL,Head,151404,3065,140666,7585,88
KAMBAR SHAHDAD KOT DISTRICT,RURAL,Spouse,144114,,144114,,
KAMBAR SHAHDAD KOT DISTRICT,RURAL,Son/Daughter,114890,99651,14577,509,153
KAMBAR SHAHDAD KOT DISTRICT,RURAL,Daughter / Son In Law,15050,,14796,246,8
KAMBAR SHAHDAD KOT DISTRICT,RURAL,Grand Son / Grand Daughter,2523,2064,448,11,
KAMBAR SHAHDAD KOT DISTRICT,RURAL,Father/Mother,13488,,5114,8348,26
KAMBAR SHAHDAD KOT DISTRICT,RURAL,Brother / Sister,15555,9954,4936,579,86
KAMBAR SHAHDAD KOT DISTRICT,RURAL,Other Relative,20146,5114,12914,2093,25
KAMBAR SHAHDAD KOT DISTRICT,RURAL,Non-Relative,7867,2274,5242,340,11
KAMBAR SHAHDAD KOT DISTRICT,URBAN,Head,66762,1469,60988,4228,77
KAMBAR SHAHDAD KOT DISTRICT,URBAN,Spouse,61506,,61506,,
KAMBAR SHAHDAD KOT DISTRICT,URBAN,Son/Daughter,57458,51554,5563,242,99
KAMBAR SHAHDAD KOT DISTRICT,URBAN,Daughter / Son In Law,5422,,5330,92,
KAMBAR SHAHDAD KOT DISTRICT,URBAN,Grand Son / Grand Daughter,1181,1003,173,3,2
KAMBAR SHAHDAD KOT DISTRICT,URBAN,Father/Mother,5932,,1896,4023,13
KAMBAR SHAHDAD KOT DISTRICT,URBAN,Brother / Sister,8086,5665,2063,296,62
KAMBAR SHAHDAD KOT DISTRICT,URBAN,Other Relative,8645,2551,5117,957,20
KAMBAR SHAHDAD KOT DISTRICT,URBAN,Non-Relative,3373,1273,1971,125,4
LARKANA DISTRICT,OVERALL,Head,259471,6994,236445,15796,236
LARKANA DISTRICT,OVERALL,Spouse,234487,,234487,,
LARKANA DISTRICT,OVERALL,Son/Daughter,241108,215032,24634,1039,403
LARKANA DISTRICT,OVERALL,Daughter / Son In Law,23760,,23400,349,11
LARKANA DISTRICT,OVERALL,Grand Son / Grand Daughter,4217,3628,569,19,1
LARKANA DISTRICT,OVERALL,Father/Mother,24231,,7832,16344,55
LARKANA DISTRICT,OVERALL,Brother / Sister,36668,26047,9023,1353,245
LARKANA DISTRICT,OVERALL,Other Relative,28379,9173,15754,3375,77
LARKANA DISTRICT,OVERALL,Non-Relative,13307,5556,7205,530,16
LARKANA DISTRICT,RURAL,Head,139871,3246,127822,8701,102
LARKANA DISTRICT,RURAL,Spouse,127075,,127075,,
LARKANA DISTRICT,RURAL,Son/Daughter,119570,106217,12639,513,201
LARKANA DISTRICT,RURAL,Daughter / Son In Law,12522,,12310,208,4
LARKANA DISTRICT,RURAL,Grand Son / Grand Daughter,2207,1873,324,10,
LARKANA DISTRICT,RURAL,Father/Mother,11951,,3664,8263,24
LARKANA DISTRICT,RURAL,Brother / Sister,16368,11343,4229,684,112
LARKANA DISTRICT,RURAL,Other Relative,14191,4401,8046,1706,38
LARKANA DISTRICT,RURAL,Non-Relative,6330,2363,3636,319,12
LARKANA DISTRICT,URBAN,Head,119600,3748,108623,7095,134
LARKANA DISTRICT,URBAN,Spouse,107412,,107412,,
LARKANA DISTRICT,URBAN,Son/Daughter,121538,108815,11995,526,202
LARKANA DISTRICT,URBAN,Daughter / Son In Law,11238,,11090,141,7
LARKANA DISTRICT,URBAN,Grand Son / Grand Daughter,2010,1755,245,9,1
LARKANA DISTRICT,URBAN,Father/Mother,12280,,4168,8081,31
LARKANA DISTRICT,URBAN,Brother / Sister,20300,14704,4794,669,133
LARKANA DISTRICT,URBAN,Other Relative,14188,4772,7708,1669,39
LARKANA DISTRICT,URBAN,Non-Relative,6977,3193,3569,211,4
SHIKARPUR DISTRICT,OVERALL,Head,202480,4346,185007,12966,161
SHIKARPUR DISTRICT,OVERALL,Spouse,192316,,192316,,
SHIKARPUR DISTRICT,OVERALL,Son/Daughter,155807,137254,17465,833,255
SHIKARPUR DISTRICT,OVERALL,Daughter / Son In Law,16864,,16548,308,8
SHIKARPUR DISTRICT,OVERALL,Grand Son / Grand Daughter,2773,2335,423,12,3
SHIKARPUR DISTRICT,OVERALL,Father/Mother,16943,,4911,11989,43
SHIKARPUR DISTRICT,OVERALL,Brother / Sister,23128,15900,5983,1089,156
SHIKARPUR DISTRICT,OVERALL,Other Relative,22784,6422,13536,2781,45
SHIKARPUR DISTRICT,OVERALL,Non-Relative,16341,5034,10516,764,27
SHIKARPUR DISTRICT,RURAL,Head,152160,2721,139918,9422,99
SHIKARPUR DISTRICT,RURAL,Spouse,147251,,147251,,
SHIKARPUR DISTRICT,RURAL,Son/Daughter,102566,90538,11323,562,143
SHIKARPUR DISTRICT,RURAL,Daughter / Son In Law,11028,,10792,230,6
SHIKARPUR DISTRICT,RURAL,Grand Son / Grand Daughter,1705,1388,303,12,2
SHIKARPUR DISTRICT,RURAL,Father/Mother,11357,,3193,8129,35
SHIKARPUR DISTRICT,RURAL,Brother / Sister,13530,9030,3712,711,77
SHIKARPUR DISTRICT,RURAL,Other Relative,15267,3828,9429,1984,26
SHIKARPUR DISTRICT,RURAL,Non-Relative,11843,3424,7874,526,19
SHIKARPUR DISTRICT,URBAN,Head,50320,1625,45089,3544,62
SHIKARPUR DISTRICT,URBAN,Spouse,45065,,45065,,
SHIKARPUR DISTRICT,URBAN,Son/Daughter,53241,46716,6142,271,112
SHIKARPUR DISTRICT,URBAN,Daughter / Son In Law,5836,,5756,78,2
SHIKARPUR DISTRICT,URBAN,Grand Son / Grand Daughter,1068,947,120,,1
SHIKARPUR DISTRICT,URBAN,Father/Mother,5586,,1718,3860,8
SHIKARPUR DISTRICT,URBAN,Brother / Sister,9598,6870,2271,378,79
SHIKARPUR DISTRICT,URBAN,Other Relative,7517,2594,4107,797,19
SHIKARPUR DISTRICT,URBAN,Non-Relative,4498,1610,2642,238,8
GHOTKI DISTRICT,OVERALL,Head,288029,7187,264044,16535,263
GHOTKI DISTRICT,OVERALL,Spouse,266928,,266928,,
GHOTKI DISTRICT,OVERALL,Son/Daughter,198973,175978,21517,1052,426
GHOTKI DISTRICT,OVERALL,Daughter / Son In Law,21788,,21419,365,4
GHOTKI DISTRICT,OVERALL,Grand Son / Grand Daughter,3081,2518,549,10,4
GHOTKI DISTRICT,OVERALL,Father/Mother,22792,,5841,16896,55
GHOTKI DISTRICT,OVERALL,Brother / Sister,26276,18165,6784,1102,225
GHOTKI DISTRICT,OVERALL,Other Relative,24180,6057,15108,2952,63
GHOTKI DISTRICT,OVERALL,Non-Relative,26550,7582,17674,1253,41
GHOTKI DISTRICT,RURAL,Head,225768,5549,206879,13162,178
GHOTKI DISTRICT,RURAL,Spouse,210145,,210145,,
GHOTKI DISTRICT,RURAL,Son/Daughter,143681,126277,16280,833,291
GHOTKI DISTRICT,RURAL,Daughter / Son In Law,16759,,16457,299,3
GHOTKI DISTRICT,RURAL,Grand Son / Grand Daughter,2290,1836,443,9,2
GHOTKI DISTRICT,RURAL,Father/Mother,16945,,4216,12696,33
GHOTKI DISTRICT,RURAL,Brother / Sister,18320,12432,4905,836,147
GHOTKI DISTRICT,RURAL,Other Relative,18177,4222,11620,2289,46
GHOTKI DISTRICT,RURAL,Non-Relative,18295,4837,12476,949,33
GHOTKI DISTRICT,URBAN,Head,62261,1638,57165,3373,85
GHOTKI DISTRICT,URBAN,Spouse,56783,,56783,,
GHOTKI DISTRICT,URBAN,Son/Daughter,55292,49701,5237,219,135
GHOTKI DISTRICT,URBAN,Daughter / Son In Law,5029,,4962,66,1
GHOTKI DISTRICT,URBAN,Grand Son / Grand Daughter,791,682,106,1,2
GHOTKI DISTRICT,URBAN,Father/Mother,5847,,1625,4200,22
GHOTKI DISTRICT,URBAN,Brother / Sister,7956,5733,1879,266,78
GHOTKI DISTRICT,URBAN,Other Relative,6003,1835,3488,663,17
GHOTKI DISTRICT,URBAN,Non-Relative,8255,2745,5198,304,8
KHAIRPUR DISTRICT,OVERALL,Head,405808,12836,364036,28231,705
KHAIRPUR DISTRICT,OVERALL,Spouse,363446,,363446,,
KHAIRPUR DISTRICT,OVERALL,Son/Daughter,331611,285843,43069,1751,948
KHAIRPUR DISTRICT,OVERALL,Daughter / Son In Law,42840,,42192,627,21
KHAIRPUR DISTRICT,OVERALL,Grand Son / Grand Daughter,6431,5234,1166,21,10
KHAIRPUR DISTRICT,OVERALL,Father/Mother,39046,,11520,27420,106
KHAIRPUR DISTRICT,OVERALL,Brother / Sister,55506,38251,14483,2209,563
KHAIRPUR DISTRICT,OVERALL,Other Relative,47852,12823,29162,5674,193
KHAIRPUR DISTRICT,OVERALL,Non-Relative,23098,7819,14026,1158,95
KHAIRPUR DISTRICT,RURAL,Head,275458,8037,247985,18999,437
KHAIRPUR DISTRICT,RURAL,Spouse,248728,,248728,,
KHAIRPUR DISTRICT,RURAL,Son/Daughter,209974,180527,27761,1141,545
KHAIRPUR DISTRICT,RURAL,Daughter / Son In Law,27755,,27324,417,14
KHAIRPUR DISTRICT,RURAL,Grand Son / Grand Daughter,4050,3215,813,15,7
KHAIRPUR DISTRICT,RURAL,Father/Mother,25021,,7209,17750,62
KHAIRPUR DISTRICT,RURAL,Brother / Sister,33539,22602,9196,1425,316
KHAIRPUR DISTRICT,RURAL,Other Relative,31198,7876,19382,3829,111
KHAIRPUR DISTRICT,RURAL,Non-Relative,12591,3914,8021,631,25
KHAIRPUR DISTRICT,URBAN,Head,130350,4799,116051,9232,268
KHAIRPUR DISTRICT,URBAN,Spouse,114718,,114718,,
KHAIRPUR DISTRICT,URBAN,Son/Daughter,121637,105316,15308,610,403
KHAIRPUR DISTRICT,URBAN,Daughter / Son In Law,15085,,14868,210,7
KHAIRPUR DISTRICT,URBAN,Grand Son / Grand Daughter,2381,2019,353,6,3
KHAIRPUR DISTRICT,URBAN,Father/Mother,14025,,4311,9670,44
KHAIRPUR DISTRICT,URBAN,Brother / Sister,21967,15649,5287,784,247
KHAIRPUR DISTRICT,URBAN,Other Relative,16654,4947,9780,1845,82
KHAIRPUR DISTRICT,URBAN,Non-Relative,10507,3905,6005,527,70
SUKKUR DISTRICT,OVERALL,Head,257124,5774,234829,16148,373
SUKKUR DISTRICT,OVERALL,Spouse,237725,,237725,,
SUKKUR DISTRICT,OVERALL,Son/Daughter,215129,191412,22097,1071,549
SUKKUR DISTRICT,OVERALL,Daughter / Son In Law,20973,,20658,300,15
SUKKUR DISTRICT,OVERALL,Grand Son / Grand Daughter,3375,2891,458,22,4
SUKKUR DISTRICT,OVERALL,Father/Mother,21297,,6056,15182,59
SUKKUR DISTRICT,OVERALL,Brother / Sister,31019,21666,7796,1259,298
SUKKUR DISTRICT,OVERALL,Other Relative,27197,8040,16159,2927,71
SUKKUR DISTRICT,OVERALL,Non-Relative,27805,7957,19145,678,25
SUKKUR DISTRICT,RURAL,Head,132910,2512,122299,7972,127
SUKKUR DISTRICT,RURAL,Spouse,124696,,124696,,
SUKKUR DISTRICT,RURAL,Son/Daughter,91967,81739,9606,462,160
SUKKUR DISTRICT,RURAL,Daughter / Son In Law,9316,,9168,138,10
SUKKUR DISTRICT,RURAL,Grand Son / Grand Daughter,1334,1066,253,13,2
SUKKUR DISTRICT,RURAL,Father/Mother,9696,,2600,7073,23
SUKKUR DISTRICT,RURAL,Brother / Sister,11729,8011,3079,545,94
SUKKUR DISTRICT,RURAL,Other Relative,12205,3207,7536,1432,30
SUKKUR DISTRICT,RURAL,Non-Relative,8068,2378,5385,298,7
SUKKUR DISTRICT,URBAN,Head,124214,3262,112530,8176,246
SUKKUR DISTRICT,URBAN,Spouse,113029,,113029,,
SUKKUR DISTRICT,URBAN,Son/Daughter,123162,109673,12491,609,389
SUKKUR DISTRICT,URBAN,Daughter / Son In Law,11657,,11490,162,5
SUKKUR DISTRICT,URBAN,Grand Son / Grand Daughter,2041,1825,205,9,2
