district,group,relationship,total_pop,never_married,married,widowed,divorced
DERA ISMAIL KHAN DISTRICT,RURAL,Daughter / Son In Law,17706,,17535,167,4
DERA ISMAIL KHAN DISTRICT,RURAL,Grand Son / Grand Daughter,2374,2003,362,4,5
DERA ISMAIL KHAN DISTRICT,RURAL,Father/Mother,7518,,4233,3274,11
DERA ISMAIL KHAN DISTRICT,RURAL,Brother / Sister,12029,5754,6040,175,60
DERA ISMAIL KHAN DISTRICT,RURAL,Other Relative,14876,3465,10628,763,20
DERA ISMAIL KHAN DISTRICT,RURAL,Non-Relative,5439,1716,3635,85,3
DERA ISMAIL KHAN DISTRICT,URBAN,Head,5724,254,5161,303,6
DERA ISMAIL KHAN DISTRICT,URBAN,Spouse,5062,,5062,,
DERA ISMAIL KHAN DISTRICT,URBAN,Son/Daughter,7845,5978,1831,23,13
DERA ISMAIL KHAN DISTRICT,URBAN,Daughter / Son In Law,1948,,1933,14,1
DERA ISMAIL KHAN DISTRICT,URBAN,Grand Son / Grand Daughter,404,361,42,,1
DERA ISMAIL KHAN DISTRICT,URBAN,Father/Mother,1156,,594,559,3
DERA ISMAIL KHAN DISTRICT,URBAN,Brother / Sister,2366,1312,1005,41,8
DERA ISMAIL KHAN DISTRICT,URBAN,Other Relative,2066,620,1345,96,5
DERA ISMAIL KHAN DISTRICT,URBAN,Non-Relative,875,168,703,3,1
ABBOTTABAD DISTRICT,OVERALL,Head,214186,7344,186651,19517,674
ABBOTTABAD DISTRICT,OVERALL,Spouse,172140,,172140,,
ABBOTTABAD DISTRICT,OVERALL,Son/Daughter,259670,204872,52094,1068,1636
ABBOTTABAD DISTRICT,OVERALL,Daughter / Son In Law,61488,,60898,573,17
ABBOTTABAD DISTRICT,OVERALL,Grand Son / Grand Daughter,10327,9387,921,6,13
ABBOTTABAD DISTRICT,OVERALL,Father/Mother,31701,,13854,17742,105
ABBOTTABAD DISTRICT,OVERALL,Brother / Sister,38822,23309,13700,1029,784
ABBOTTABAD DISTRICT,OVERALL,Other Relative,40158,11707,24185,4019,247
ABBOTTABAD DISTRICT,OVERALL,Non-Relative,28476,16725,11390,314,47
ABBOTTABAD DISTRICT,RURAL,Head,169867,5197,147957,16188,525
ABBOTTABAD DISTRICT,RURAL,Spouse,136599,,136599,,
ABBOTTABAD DISTRICT,RURAL,Son/Daughter,204068,160757,41071,880,1360
ABBOTTABAD DISTRICT,RURAL,Daughter / Son In Law,49490,,48976,501,13
ABBOTTABAD DISTRICT,RURAL,Grand Son / Grand Daughter,8204,7460,730,4,10
ABBOTTABAD DISTRICT,RURAL,Father/Mother,25006,,10642,14281,83
ABBOTTABAD DISTRICT,RURAL,Brother / Sister,29693,17853,10399,777,664
