district,type,total_pop,head,spouse,son_daughter,daughter_son_inlaw,grandson_daughter,father_mother,brother_sister,other_relative,nonrelative
NAROWAL DISTRICT, TRANSGENDER,169,32,,11,,5,,17,78,26
SIALKOT DISTRICT, MALE,1921289,451045,30024,952131,4049,230774,25901,75784,101977,49604
SIALKOT DISTRICT, FEMALE,1973150,122497,402710,746766,215624,220988,57587,39781,146728,20469
SIALKOT DISTRICT, TRANSGENDER,499,81,,38,,7,,52,214,107
LAHORE DISTRICT, MALE,5813987,1519960,73249,2728750,18386,498001,70478,275042,314425,315696
LAHORE DISTRICT, FEMALE,5303982,225941,1342097,1996262,477678,469193,168415,132867,374872,116657
LAHORE DISTRICT, TRANSGENDER,2016,439,,148,,35,,243,705,446
KASUR DISTRICT, MALE,1788617,463968,24587,965049,3017,132055,26983,74012,71379,27567
KASUR DISTRICT, FEMALE,1666044,56399,431567,730751,126180,124628,54104,35174,92028,15213
KASUR DISTRICT, TRANSGENDER,220,52,,14,,2,,28,83,41
NANKANA SAHIB DISTRICT, MALE,690274,187379,10928,357085,1334,53555,11361,31643,31439,5550
NANKANA SAHIB DISTRICT, FEMALE,664558,28437,169399,274091,52845,51229,23257,16732,44351,4217
NANKANA SAHIB DISTRICT, TRANSGENDER,154,26,,11,,3,,28,65,21
SHEIKHUPURA DISTRICT, MALE,1786383,448308,30022,899819,3862,151727,30757,87627,91159,43102
SHEIKHUPURA DISTRICT, FEMALE,1673242,68068,405302,673753,143017,143322,55526,41512,122776,19966
SHEIKHUPURA DISTRICT, TRANSGENDER,379,64,,40,,9,,50,162,54
FAISALABAD DISTRICT, MALE,4038932,1063684,40523,2036791,9756,351012,49866,190944,203616,92740
FAISALABAD DISTRICT, FEMALE,3842684,146606,958544,1515409,344010,332916,126998,94330,273659,50212
FAISALABAD DISTRICT, TRANSGENDER,828,210,,32,,10,,106,324,146
CHINIOT DISTRICT, MALE,699606,192150,7534,346541,1405,54477,10329,36796,39071,11303
CHINIOT DISTRICT, FEMALE,668914,25994,171513,256206,53382,50523,27918,21373,55090,6915
CHINIOT DISTRICT, TRANSGENDER,139,18,,13,,1,,23,62,22
JHANG DISTRICT, MALE,1394928,383647,9641,708209,2091,114609,16553,65638,69457,25083
JHANG DISTRICT, FEMALE,1347444,43460,351021,532082,110953,107396,51011,35799,100663,15059
