district,localities,gender,age_group,working,seeking_work,students,housekeeping,other
LAKKI MARWAT DISTRICT,All,Male,75 AND ABOVE,16,,,14,33
LAKKI MARWAT DISTRICT,All,Female,10-14,15,2,33,89,97
LAKKI MARWAT DISTRICT,All,Female,15-19,22,8,22,112,79
LAKKI MARWAT DISTRICT,All,Female,20-24,9,8,8,91,58
LAKKI MARWAT DISTRICT,All,Female,25-29,8,2,1,72,47
LAKKI MARWAT DISTRICT,All,Female,30-34,6,,,51,28
LAKKI MARWAT DISTRICT,All,Female,35-39,,1,1,45,21
LAKKI MARWAT DISTRICT,All,Female,40-44,,,,31,18
LAKKI MARWAT DISTRICT,All,Female,45-49,1,,,18,9
LAKKI MARWAT DISTRICT,All,Female,50-54,2,,,29,17
LAKKI MARWAT DISTRICT,All,Female,55-59,3,,,32,7
LAKKI MARWAT DISTRICT,All,Female,60-64,,,,26,23
LAKKI MARWAT DISTRICT,All,Female,65-69,1,,,21,11
LAKKI MARWAT DISTRICT,All,Female,70-74,2,,,10,14
LAKKI MARWAT DISTRICT,All,Female,75 AND ABOVE,2,1,,27,22
LAKKI MARWAT DISTRICT,All,Transgender,10-14,,,,,
LAKKI MARWAT DISTRICT,All,Transgender,15-19,,,,,1
LAKKI MARWAT DISTRICT,All,Transgender,20-24,,,,,
LAKKI MARWAT DISTRICT,All,Transgender,25-29,,,,,
LAKKI MARWAT DISTRICT,All,Transgender,30-34,,,,,
LAKKI MARWAT DISTRICT,All,Transgender,35-39,,,,,
LAKKI MARWAT DISTRICT,All,Transgender,40-44,,,,,
LAKKI MARWAT DISTRICT,All,Transgender,45-49,,,,,
LAKKI MARWAT DISTRICT,All,Transgender,50-54,,,,,
LAKKI MARWAT DISTRICT,All,Transgender,55-59,,,,,
LAKKI MARWAT DISTRICT,All,Transgender,60-64,,,,,
LAKKI MARWAT DISTRICT,All,Transgender,65-69,,,,,
LAKKI MARWAT DISTRICT,All,Transgender,70-74,,,,,
LAKKI MARWAT DISTRICT,All,Transgender,75 AND ABOVE,,,,,
LAKKI MARWAT DISTRICT,Rural,Overall,10-14,48,15,146,135,254
LAKKI MARWAT DISTRICT,Rural,Overall,15-19,75,39,115,174,238
LAKKI MARWAT DISTRICT,Rural,Overall,20-24,83,33,39,148,206
LAKKI MARWAT DISTRICT,Rural,Overall,25-29,76,25,9,108,140
LAKKI MARWAT DISTRICT,Rural,Overall,30-34,51,14,3,72,87
LAKKI MARWAT DISTRICT,Rural,Overall,35-39,51,10,1,57,63
LAKKI MARWAT DISTRICT,Rural,Overall,40-44,46,7,1,56,58
LAKKI MARWAT DISTRICT,Rural,Overall,45-49,42,6,,45,39
LAKKI MARWAT DISTRICT,Rural,Overall,50-54,37,2,,44,52
LAKKI MARWAT DISTRICT,Rural,Overall,55-59,33,3,,54,41
LAKKI MARWAT DISTRICT,Rural,Overall,60-64,27,2,,36,62
LAKKI MARWAT DISTRICT,Rural,Overall,65-69,15,2,,42,41
LAKKI MARWAT DISTRICT,Rural,Overall,70-74,15,2,,25,38
LAKKI MARWAT DISTRICT,Rural,Overall,75 AND ABOVE,18,1,,39,50
LAKKI MARWAT DISTRICT,Rural,Male,10-14,33,13,120,52,173
LAKKI MARWAT DISTRICT,Rural,Male,15-19,54,31,96,70,171
LAKKI MARWAT DISTRICT,Rural,Male,20-24,74,27,32,61,152
LAKKI MARWAT DISTRICT,Rural,Male,25-29,69,23,9,45,101
LAKKI MARWAT DISTRICT,Rural,Male,30-34,45,14,3,26,60
LAKKI MARWAT DISTRICT,Rural,Male,35-39,51,9,1,15,43
LAKKI MARWAT DISTRICT,Rural,Male,40-44,46,7,1,28,41
