district,localities,gender,age_group,working,seeking_work,students,housekeeping,other
JAMSHORO DISTRICT,Rural,Overall,50-54,13,5,,12,17
JAMSHORO DISTRICT,Rural,Overall,55-59,12,2,,6,9
JAMSHORO DISTRICT,Rural,Overall,60-64,11,4,,8,10
JAMSHORO DISTRICT,Rural,Overall,65-69,4,2,,8,11
JAMSHORO DISTRICT,Rural,Overall,70-74,3,,,5,9
JAMSHORO DISTRICT,Rural,Overall,75 AND ABOVE,8,,,17,3
JAMSHORO DISTRICT,Rural,Male,10-14,14,14,19,26,41
JAMSHORO DISTRICT,Rural,Male,15-19,29,12,5,14,36
JAMSHORO DISTRICT,Rural,Male,20-24,20,8,10,19,41
JAMSHORO DISTRICT,Rural,Male,25-29,21,19,1,17,24
JAMSHORO DISTRICT,Rural,Male,30-34,11,9,,9,25
JAMSHORO DISTRICT,Rural,Male,35-39,23,13,1,7,26
JAMSHORO DISTRICT,Rural,Male,40-44,23,8,,4,16
JAMSHORO DISTRICT,Rural,Male,45-49,15,7,,3,11
JAMSHORO DISTRICT,Rural,Male,50-54,13,5,,7,17
JAMSHORO DISTRICT,Rural,Male,55-59,10,2,,3,8
JAMSHORO DISTRICT,Rural,Male,60-64,10,4,,3,8
JAMSHORO DISTRICT,Rural,Male,65-69,3,2,,2,9
JAMSHORO DISTRICT,Rural,Male,70-74,2,,,4,4
JAMSHORO DISTRICT,Rural,Male,75 AND ABOVE,8,,,5,2
JAMSHORO DISTRICT,Rural,Female,10-14,9,6,17,36,19
JAMSHORO DISTRICT,Rural,Female,15-19,7,9,11,29,17
JAMSHORO DISTRICT,Rural,Female,20-24,2,2,4,25,20
JAMSHORO DISTRICT,Rural,Female,25-29,7,1,1,23,13
JAMSHORO DISTRICT,Rural,Female,30-34,6,4,1,20,15
JAMSHORO DISTRICT,Rural,Female,35-39,3,1,,14,10
JAMSHORO DISTRICT,Rural,Female,40-44,3,2,,9,4
JAMSHORO DISTRICT,Rural,Female,45-49,2,,,7,5
JAMSHORO DISTRICT,Rural,Female,50-54,,,,5,
JAMSHORO DISTRICT,Rural,Female,55-59,1,,,3,1
JAMSHORO DISTRICT,Rural,Female,60-64,1,,,5,2
JAMSHORO DISTRICT,Rural,Female,65-69,1,,,5,2
JAMSHORO DISTRICT,Rural,Female,70-74,,,,1,5
JAMSHORO DISTRICT,Rural,Female,75 AND ABOVE,,,,12,1
JAMSHORO DISTRICT,Rural,Transgender,10-14,,,,,
JAMSHORO DISTRICT,Rural,Transgender,15-19,,,,,
JAMSHORO DISTRICT,Rural,Transgender,20-24,,1,,,
JAMSHORO DISTRICT,Rural,Transgender,25-29,,,1,,
JAMSHORO DISTRICT,Rural,Transgender,30-34,,,,,
JAMSHORO DISTRICT,Rural,Transgender,35-39,,,,,
JAMSHORO DISTRICT,Rural,Transgender,40-44,,,,1,
JAMSHORO DISTRICT,Rural,Transgender,45-49,,,,,1
JAMSHORO DISTRICT,Rural,Transgender,50-54,,,,,
JAMSHORO DISTRICT,Rural,Transgender,55-59,1,,,,
JAMSHORO DISTRICT,Rural,Transgender,60-64,,,,,
JAMSHORO DISTRICT,Rural,Transgender,65-69,,,,1,
JAMSHORO DISTRICT,Rural,Transgender,70-74,1,,,,
JAMSHORO DISTRICT,Rural,Transgender,75 AND ABOVE,,,,,
JAMSHORO DISTRICT,Urban,Overall,10-14,11,8,29,18,36
JAMSHORO DISTRICT,Urban,Overall,15-19,18,13,32,33,30
JAMSHORO DISTRICT,Urban,Overall,20-24,18,5,8,27,23
JAMSHORO DISTRICT,Urban,Overall,25-29,19,11,6,15,26
JAMSHORO DISTRICT,Urban,Overall,30-34,13,5,1,10,18
JAMSHORO DISTRICT,Urban,Overall,35-39,8,5,,11,15
JAMSHORO DISTRICT,Urban,Overall,40-44,10,6,,9,14
JAMSHORO DISTRICT,Urban,Overall,45-49,6,4,,6,9
JAMSHORO DISTRICT,Urban,Overall,50-54,8,2,,2,9
JAMSHORO DISTRICT,Urban,Overall,55-59,4,2,,3,1
JAMSHORO DISTRICT,Urban,Overall,60-64,6,1,,1,10
JAMSHORO DISTRICT,Urban,Overall,65-69,3,1,,2,3
JAMSHORO DISTRICT,Urban,Overall,70-74,4,,,3,2
JAMSHORO DISTRICT,Urban,Overall,75 AND ABOVE,,,,4,1
JAMSHORO DISTRICT,Urban,Male,10-14,6,5,17,8,28
JAMSHORO DISTRICT,Urban,Male,15-19,14,7,15,20,22
JAMSHORO DISTRICT,Urban,Male,20-24,15,5,4,14,19
JAMSHORO DISTRICT,Urban,Male,25-29,16,9,3,8,16
JAMSHORO DISTRICT,Urban,Male,30-34,10,4,1,5,15
JAMSHORO DISTRICT,Urban,Male,35-39,8,5,,6,12
JAMSHORO DISTRICT,Urban,Male,40-44,8,6,,4,13
JAMSHORO DISTRICT,Urban,Male,45-49,6,4,,4,7
JAMSHORO DISTRICT,Urban,Male,50-54,5,2,,2,6
JAMSHORO DISTRICT,Urban,Male,55-59,1,2,,1,1
JAMSHORO DISTRICT,Urban,Male,60-64,4,1,,1,8
JAMSHORO DISTRICT,Urban,Male,65-69,2,1,,1,1
JAMSHORO DISTRICT,Urban,Male,70-74,4,,,2,1
JAMSHORO DISTRICT,Urban,Male,75 AND ABOVE,,,,1,1
JAMSHORO DISTRICT,Urban,Female,10-14,5,3,12,10,8
JAMSHORO DISTRICT,Urban,Female,15-19,3,6,15,13,7
JAMSHORO DISTRICT,Urban,Female,20-24,3,,3,13,4
JAMSHORO DISTRICT,Urban,Female,25-29,3,2,2,7,9
JAMSHORO DISTRICT,Urban,Female,30-34,3,1,,5,3
JAMSHORO DISTRICT,Urban,Female,35-39,,,,5,3
JAMSHORO DISTRICT,Urban,Female,40-44,2,,,5,1
JAMSHORO DISTRICT,Urban,Female,45-49,,,,2,2
JAMSHORO DISTRICT,Urban,Female,50-54,3,,,,2
JAMSHORO DISTRICT,Urban,Female,55-59,2,,,2,
JAMSHORO DISTRICT,Urban,Female,60-64,2,,,,2
JAMSHORO DISTRICT,Urban,Female,65-69,1,,,1,2
JAMSHORO DISTRICT,Urban,Female,70-74,,,,1,1
JAMSHORO DISTRICT,Urban,Female,75 AND ABOVE,,,,3,
JAMSHORO DISTRICT,Urban,Transgender,10-14,,,,,
JAMSHORO DISTRICT,Urban,Transgender,15-19,1,,2,,1
JAMSHORO DISTRICT,Urban,Transgender,20-24,,,1,,
JAMSHORO DISTRICT,Urban,Transgender,25-29,,,1,,1
JAMSHORO DISTRICT,Urban,Transgender,30-34,,,,,
JAMSHORO DISTRICT,Urban,Transgender,35-39,,,,,
JAMSHORO DISTRICT,Urban,Transgender,40-44,,,,,
JAMSHORO DISTRICT,Urban,Transgender,45-49,,,,,
JAMSHORO DISTRICT,Urban,Transgender,50-54,,,,,1
JAMSHORO DISTRICT,Urban,Transgender,55-59,1,,,,
JAMSHORO DISTRICT,Urban,Transgender,60-64,,,,,
JAMSHORO DISTRICT,Urban,Transgender,65-69,,,,,
JAMSHORO DISTRICT,Urban,Transgender,70-74,,,,,
JAMSHORO DISTRICT,Urban,Transgender,75 AND ABOVE,,,,,
MATIARI DISTRICT,All,Overall,10-14,24,23,59,94,109
MATIARI DISTRICT,All,Overall,15-19,46,18,34,96,103
MATIARI DISTRICT,All,Overall,20-24,53,18,8,69,66
MATIARI DISTRICT,All,Overall,25-29,46,11,7,63,51
MATIARI DISTRICT,All,Overall,30-34,41,10,,36,57
MATIARI DISTRICT,All,Overall,35-39,54,3,1,47,42
MATIARI DISTRICT,All,Overall,40-44,21,8,,32,43
MATIARI DISTRICT,All,Overall,45-49,35,1,,14,20
MATIARI DISTRICT,All,Overall,50-54,21,3,,16,24
MATIARI DISTRICT,All,Overall,55-59,9,3,,11,21
MATIARI DISTRICT,All,Overall,60-64,15,1,,13,17
MATIARI DISTRICT,All,Overall,65-69,8,2,,14,13
MATIARI DISTRICT,All,Overall,70-74,10,1,,10,13
MATIARI DISTRICT,All,Overall,75 AND ABOVE,9,,,10,9
MATIARI DISTRICT,All,Male,10-14,16,12,36,46,69
MATIARI DISTRICT,All,Male,15-19,34,12,22,43,72
MATIARI DISTRICT,All,Male,20-24,41,13,5,18,42
MATIARI DISTRICT,All,Male,25-29,44,9,5,19,40
MATIARI DISTRICT,All,Male,30-34,38,7,,12,40
MATIARI DISTRICT,All,Male,35-39,48,2,1,12,23
MATIARI DISTRICT,All,Male,40-44,17,8,,10,28
MATIARI DISTRICT,All,Male,45-49,33,1,,6,14
MATIARI DISTRICT,All,Male,50-54,21,3,,6,19
MATIARI DISTRICT,All,Male,55-59,8,2,,3,16
MATIARI DISTRICT,All,Male,60-64,13,1,,3,12
MATIARI DISTRICT,All,Male,65-69,7,2,,7,11
MATIARI DISTRICT,All,Male,70-74,9,1,,6,7
MATIARI DISTRICT,All,Male,75 AND ABOVE,8,,,,5
MATIARI DISTRICT,All,Female,10-14,8,11,23,48,40
MATIARI DISTRICT,All,Female,15-19,12,5,10,52,30
MATIARI DISTRICT,All,Female,20-24,10,4,2,50,23
MATIARI DISTRICT,All,Female,25-29,2,2,2,44,11
MATIARI DISTRICT,All,Female,30-34,3,3,,23,17
MATIARI DISTRICT,All,Female,35-39,6,1,,34,18
MATIARI DISTRICT,All,Female,40-44,4,,,22,15
MATIARI DISTRICT,All,Female,45-49,2,,,8,6
MATIARI DISTRICT,All,Female,50-54,,,,10,5
MATIARI DISTRICT,All,Female,55-59,1,1,,8,5
MATIARI DISTRICT,All,Female,60-64,2,,,10,5
MATIARI DISTRICT,All,Female,65-69,1,,,6,1
MATIARI DISTRICT,All,Female,70-74,1,,,4,6
MATIARI DISTRICT,All,Female,75 AND ABOVE,1,,,10,4
MATIARI DISTRICT,All,Transgender,10-14,,,,,
MATIARI DISTRICT,All,Transgender,15-19,,1,2,1,1
MATIARI DISTRICT,All,Transgender,20-24,2,1,1,1,1
MATIARI DISTRICT,All,Transgender,25-29,,,,,
MATIARI DISTRICT,All,Transgender,30-34,,,,1,
MATIARI DISTRICT,All,Transgender,35-39,,,,1,1
MATIARI DISTRICT,All,Transgender,40-44,,,,,
MATIARI DISTRICT,All,Transgender,45-49,,,,,
MATIARI DISTRICT,All,Transgender,50-54,,,,,
MATIARI DISTRICT,All,Transgender,55-59,,,,,
MATIARI DISTRICT,All,Transgender,60-64,,,,,
MATIARI DISTRICT,All,Transgender,65-69,,,,1,1
MATIARI DISTRICT,All,Transgender,70-74,,,,,
MATIARI DISTRICT,All,Transgender,75 AND ABOVE,,,,,
MATIARI DISTRICT,Rural,Overall,10-14,20,15,41,71,88
MATIARI DISTRICT,Rural,Overall,15-19,37,17,20,64,76
MATIARI DISTRICT,Rural,Overall,20-24,39,14,5,49,47
MATIARI DISTRICT,Rural,Overall,25-29,40,10,4,45,32
MATIARI DISTRICT,Rural,Overall,30-34,30,7,,24,35
MATIARI DISTRICT,Rural,Overall,35-39,41,3,1,32,29
MATIARI DISTRICT,Rural,Overall,40-44,13,6,,18,24
MATIARI DISTRICT,Rural,Overall,45-49,27,1,,11,11
MATIARI DISTRICT,Rural,Overall,50-54,12,3,,11,18
MATIARI DISTRICT,Rural,Overall,55-59,7,2,,8,17
MATIARI DISTRICT,Rural,Overall,60-64,9,,,8,10
MATIARI DISTRICT,Rural,Overall,65-69,6,1,,9,6
MATIARI DISTRICT,Rural,Overall,70-74,8,1,,6,9
MATIARI DISTRICT,Rural,Overall,75 AND ABOVE,5,,,7,8
MATIARI DISTRICT,Rural,Male,10-14,13,7,22,31,58
MATIARI DISTRICT,Rural,Male,15-19,27,12,14,30,49
MATIARI DISTRICT,Rural,Male,20-24,31,10,3,11,27
MATIARI DISTRICT,Rural,Male,25-29,39,8,2,14,25
MATIARI DISTRICT,Rural,Male,30-34,29,5,,10,25
MATIARI DISTRICT,Rural,Male,35-39,37,2,1,8,15
MATIARI DISTRICT,Rural,Male,40-44,10,6,,4,17
MATIARI DISTRICT,Rural,Male,45-49,25,1,,4,5
MATIARI DISTRICT,Rural,Male,50-54,12,3,,5,14
MATIARI DISTRICT,Rural,Male,55-59,6,2,,2,13
MATIARI DISTRICT,Rural,Male,60-64,7,,,2,7
MATIARI DISTRICT,Rural,Male,65-69,5,1,,4,6
MATIARI DISTRICT,Rural,Male,70-74,7,1,,3,4
MATIARI DISTRICT,Rural,Male,75 AND ABOVE,5,,,,5
MATIARI DISTRICT,Rural,Female,10-14,7,8,19,40,30
MATIARI DISTRICT,Rural,Female,15-19,10,4,4,33,26
MATIARI DISTRICT,Rural,Female,20-24,7,3,2,37,20
MATIARI DISTRICT,Rural,Female,25-29,1,2,2,31,7
MATIARI DISTRICT,Rural,Female,30-34,1,2,,13,10
MATIARI DISTRICT,Rural,Female,35-39,4,1,,23,14
MATIARI DISTRICT,Rural,Female,40-44,3,,,14,7
MATIARI DISTRICT,Rural,Female,45-49,2,,,7,6
MATIARI DISTRICT,Rural,Female,50-54,,,,6,4
MATIARI DISTRICT,Rural,Female,55-59,1,,,6,4
MATIARI DISTRICT,Rural,Female,60-64,2,,,6,3
MATIARI DISTRICT,Rural,Female,65-69,1,,,4,
MATIARI DISTRICT,Rural,Female,70-74,1,,,3,5
MATIARI DISTRICT,Rural,Female,75 AND ABOVE,,,,7,3
MATIARI DISTRICT,Rural,Transgender,10-14,,,,,
MATIARI DISTRICT,Rural,Transgender,15-19,,1,2,1,1
MATIARI DISTRICT,Rural,Transgender,20-24,1,1,,1,
MATIARI DISTRICT,Rural,Transgender,25-29,,,,,
MATIARI DISTRICT,Rural,Transgender,30-34,,,,1,
MATIARI DISTRICT,Rural,Transgender,35-39,,,,1,
MATIARI DISTRICT,Rural,Transgender,40-44,,,,,
MATIARI DISTRICT,Rural,Transgender,45-49,,,,,
MATIARI DISTRICT,Rural,Transgender,50-54,,,,,
MATIARI DISTRICT,Rural,Transgender,55-59,,,,,
MATIARI DISTRICT,Rural,Transgender,60-64,,,,,
MATIARI DISTRICT,Rural,Transgender,65-69,,,,1,
MATIARI DISTRICT,Rural,Transgender,70-74,,,,,
MATIARI DISTRICT,Rural,Transgender,75 AND ABOVE,,,,,
MATIARI DISTRICT,Urban,Overall,10-14,4,8,18,23,21
MATIARI DISTRICT,Urban,Overall,15-19,9,1,14,32,27
MATIARI DISTRICT,Urban,Overall,20-24,14,4,3,20,19
MATIARI DISTRICT,Urban,Overall,25-29,6,1,3,18,19
MATIARI DISTRICT,Urban,Overall,30-34,11,3,,12,22
MATIARI DISTRICT,Urban,Overall,35-39,13,,,15,13
MATIARI DISTRICT,Urban,Overall,40-44,8,2,,14,19
MATIARI DISTRICT,Urban,Overall,45-49,8,,,3,9
MATIARI DISTRICT,Urban,Overall,50-54,9,,,5,6
MATIARI DISTRICT,Urban,Overall,55-59,2,1,,3,4
MATIARI DISTRICT,Urban,Overall,60-64,6,1,,5,7
MATIARI DISTRICT,Urban,Overall,65-69,2,1,,5,7
MATIARI DISTRICT,Urban,Overall,70-74,2,,,4,4
MATIARI DISTRICT,Urban,Overall,75 AND ABOVE,4,,,3,1
MATIARI DISTRICT,Urban,Male,10-14,3,5,14,15,11
MATIARI DISTRICT,Urban,Male,15-19,7,,8,13,23
MATIARI DISTRICT,Urban,Male,20-24,10,3,2,7,15
MATIARI DISTRICT,Urban,Male,25-29,5,1,3,5,15
MATIARI DISTRICT,Urban,Male,30-34,9,2,,2,15
MATIARI DISTRICT,Urban,Male,35-39,11,,,4,8
MATIARI DISTRICT,Urban,Male,40-44,7,2,,6,11
MATIARI DISTRICT,Urban,Male,45-49,8,,,2,9
MATIARI DISTRICT,Urban,Male,50-54,9,,,1,5
MATIARI DISTRICT,Urban,Male,55-59,2,,,1,3
MATIARI DISTRICT,Urban,Male,60-64,6,1,,1,5
MATIARI DISTRICT,Urban,Male,65-69,2,1,,3,5
MATIARI DISTRICT,Urban,Male,70-74,2,,,3,3
MATIARI DISTRICT,Urban,Male,75 AND ABOVE,3,,,,
MATIARI DISTRICT,Urban,Female,10-14,1,3,4,8,10
MATIARI DISTRICT,Urban,Female,15-19,2,1,6,19,4
MATIARI DISTRICT,Urban,Female,20-24,3,1,,13,3
MATIARI DISTRICT,Urban,Female,25-29,1,,,13,4
MATIARI DISTRICT,Urban,Female,30-34,2,1,,10,7
MATIARI DISTRICT,Urban,Female,35-39,2,,,11,4
MATIARI DISTRICT,Urban,Female,40-44,1,,,8,8
MATIARI DISTRICT,Urban,Female,45-49,,,,1,
MATIARI DISTRICT,Urban,Female,50-54,,,,4,1
MATIARI DISTRICT,Urban,Female,55-59,,1,,2,1
MATIARI DISTRICT,Urban,Female,60-64,,,,4,2
MATIARI DISTRICT,Urban,Female,65-69,,,,2,1
MATIARI DISTRICT,Urban,Female,70-74,,,,1,1
MATIARI DISTRICT,Urban,Female,75 AND ABOVE,1,,,3,1
MATIARI DISTRICT,Urban,Transgender,10-14,,,,,
MATIARI DISTRICT,Urban,Transgender,15-19,,,,,
MATIARI DISTRICT,Urban,Transgender,20-24,1,,1,,1
MATIARI DISTRICT,Urban,Transgender,25-29,,,,,
MATIARI DISTRICT,Urban,Transgender,30-34,,,,,
MATIARI DISTRICT,Urban,Transgender,35-39,,,,,1
MATIARI DISTRICT,Urban,Transgender,40-44,,,,,
MATIARI DISTRICT,Urban,Transgender,45-49,,,,,
MATIARI DISTRICT,Urban,Transgender,50-54,,,,,
MATIARI DISTRICT,Urban,Transgender,55-59,,,,,
MATIARI DISTRICT,Urban,Transgender,60-64,,,,,
MATIARI DISTRICT,Urban,Transgender,65-69,,,,,1
MATIARI DISTRICT,Urban,Transgender,70-74,,,,,
MATIARI DISTRICT,Urban,Transgender,75 AND ABOVE,,,,,
SUJAWAL DISTRICT,All,Overall,10-14,42,18,36,93,99
SUJAWAL DISTRICT,All,Overall,15-19,49,21,16,83,107
SUJAWAL DISTRICT,All,Overall,20-24,45,26,10,56,95
SUJAWAL DISTRICT,All,Overall,25-29,56,13,,60,77
SUJAWAL DISTRICT,All,Overall,30-34,40,16,1,44,55
SUJAWAL DISTRICT,All,Overall,35-39,43,11,,32,53
SUJAWAL DISTRICT,All,Overall,40-44,47,9,1,31,49
SUJAWAL DISTRICT,All,Overall,45-49,32,7,,23,23
SUJAWAL DISTRICT,All,Overall,50-54,21,4,,23,29
SUJAWAL DISTRICT,All,Overall,55-59,21,3,,21,20
SUJAWAL DISTRICT,All,Overall,60-64,16,2,,20,30
SUJAWAL DISTRICT,All,Overall,65-69,18,2,,22,27
SUJAWAL DISTRICT,All,Overall,70-74,16,1,,12,16
SUJAWAL DISTRICT,All,Overall,75 AND ABOVE,29,2,,17,33
SUJAWAL DISTRICT,All,Male,10-14,31,13,25,46,51
SUJAWAL DISTRICT,All,Male,15-19,39,11,7,30,62
SUJAWAL DISTRICT,All,Male,20-24,33,19,6,18,59
SUJAWAL DISTRICT,All,Male,25-29,49,13,,12,44
SUJAWAL DISTRICT,All,Male,30-34,37,14,1,12,39
SUJAWAL DISTRICT,All,Male,35-39,41,9,,7,36
SUJAWAL DISTRICT,All,Male,40-44,42,6,1,8,37
SUJAWAL DISTRICT,All,Male,45-49,28,7,,6,15
SUJAWAL DISTRICT,All,Male,50-54,19,4,,6,22
SUJAWAL DISTRICT,All,Male,55-59,20,3,,4,14
SUJAWAL DISTRICT,All,Male,60-64,16,2,,3,24
SUJAWAL DISTRICT,All,Male,65-69,17,1,,2,20
SUJAWAL DISTRICT,All,Male,70-74,15,1,,5,9
SUJAWAL DISTRICT,All,Male,75 AND ABOVE,28,1,,4,14
SUJAWAL DISTRICT,All,Female,10-14,11,5,11,47,48
SUJAWAL DISTRICT,All,Female,15-19,9,10,9,53,42
SUJAWAL DISTRICT,All,Female,20-24,12,7,4,37,35
SUJAWAL DISTRICT,All,Female,25-29,7,,,47,33
SUJAWAL DISTRICT,All,Female,30-34,3,1,,32,16
SUJAWAL DISTRICT,All,Female,35-39,2,2,,25,17
SUJAWAL DISTRICT,All,Female,40-44,5,3,,23,12
SUJAWAL DISTRICT,All,Female,45-49,4,,,17,8
SUJAWAL DISTRICT,All,Female,50-54,2,,,17,7
SUJAWAL DISTRICT,All,Female,55-59,1,,,16,6
SUJAWAL DISTRICT,All,Female,60-64,,,,17,6
SUJAWAL DISTRICT,All,Female,65-69,1,1,,20,7
SUJAWAL DISTRICT,All,Female,70-74,1,,,7,7
SUJAWAL DISTRICT,All,Female,75 AND ABOVE,1,1,,13,19
SUJAWAL DISTRICT,All,Transgender,10-14,,,,,
SUJAWAL DISTRICT,All,Transgender,15-19,1,,,,3
SUJAWAL DISTRICT,All,Transgender,20-24,,,,1,1
SUJAWAL DISTRICT,All,Transgender,25-29,,,,1,
SUJAWAL DISTRICT,All,Transgender,30-34,,1,,,
SUJAWAL DISTRICT,All,Transgender,35-39,,,,,
SUJAWAL DISTRICT,All,Transgender,40-44,,,,,
SUJAWAL DISTRICT,All,Transgender,45-49,,,,,
SUJAWAL DISTRICT,All,Transgender,50-54,,,,,
SUJAWAL DISTRICT,All,Transgender,55-59,,,,1,
SUJAWAL DISTRICT,All,Transgender,60-64,,,,,
SUJAWAL DISTRICT,All,Transgender,65-69,,,,,
SUJAWAL DISTRICT,All,Transgender,70-74,,,,,
SUJAWAL DISTRICT,All,Transgender,75 AND ABOVE,,,,,
SUJAWAL DISTRICT,Rural,Overall,10-14,33,12,25,88,92
SUJAWAL DISTRICT,Rural,Overall,15-19,44,16,11,79,91
SUJAWAL DISTRICT,Rural,Overall,20-24,43,25,5,49,82
SUJAWAL DISTRICT,Rural,Overall,25-29,48,11,,48,68
SUJAWAL DISTRICT,Rural,Overall,30-34,34,15,1,38,47
SUJAWAL DISTRICT,Rural,Overall,35-39,39,9,,29,43
SUJAWAL DISTRICT,Rural,Overall,40-44,41,7,1,22,43
SUJAWAL DISTRICT,Rural,Overall,45-49,28,7,,22,19
SUJAWAL DISTRICT,Rural,Overall,50-54,20,3,,20,23
SUJAWAL DISTRICT,Rural,Overall,55-59,17,2,,20,17
SUJAWAL DISTRICT,Rural,Overall,60-64,15,2,,20,27
SUJAWAL DISTRICT,Rural,Overall,65-69,17,2,,19,21
SUJAWAL DISTRICT,Rural,Overall,70-74,15,1,,12,13
SUJAWAL DISTRICT,Rural,Overall,75 AND ABOVE,28,2,,17,30
SUJAWAL DISTRICT,Rural,Male,10-14,23,9,19,45,48
SUJAWAL DISTRICT,Rural,Male,15-19,34,8,7,28,52
SUJAWAL DISTRICT,Rural,Male,20-24,31,18,3,16,50
SUJAWAL DISTRICT,Rural,Male,25-29,42,11,,8,39
SUJAWAL DISTRICT,Rural,Male,30-34,32,13,1,9,34
SUJAWAL DISTRICT,Rural,Male,35-39,38,7,,6,28
SUJAWAL DISTRICT,Rural,Male,40-44,36,4,1,6,33
SUJAWAL DISTRICT,Rural,Male,45-49,24,7,,5,13
SUJAWAL DISTRICT,Rural,Male,50-54,19,3,,5,17
SUJAWAL DISTRICT,Rural,Male,55-59,17,2,,4,11
SUJAWAL DISTRICT,Rural,Male,60-64,15,2,,3,22
SUJAWAL DISTRICT,Rural,Male,65-69,16,1,,2,15
SUJAWAL DISTRICT,Rural,Male,70-74,14,1,,5,8
SUJAWAL DISTRICT,Rural,Male,75 AND ABOVE,27,1,,4,13
SUJAWAL DISTRICT,Rural,Female,10-14,10,3,6,43,44
SUJAWAL DISTRICT,Rural,Female,15-19,9,8,4,51,36
SUJAWAL DISTRICT,Rural,Female,20-24,12,7,2,32,31
SUJAWAL DISTRICT,Rural,Female,25-29,6,,,40,29
SUJAWAL DISTRICT,Rural,Female,30-34,2,1,,29,13
SUJAWAL DISTRICT,Rural,Female,35-39,1,2,,23,15
SUJAWAL DISTRICT,Rural,Female,40-44,5,3,,16,10
SUJAWAL DISTRICT,Rural,Female,45-49,4,,,17,6
SUJAWAL DISTRICT,Rural,Female,50-54,1,,,15,6
SUJAWAL DISTRICT,Rural,Female,55-59,,,,15,6
SUJAWAL DISTRICT,Rural,Female,60-64,,,,17,5
SUJAWAL DISTRICT,Rural,Female,65-69,1,1,,17,6
SUJAWAL DISTRICT,Rural,Female,70-74,1,,,7,5
SUJAWAL DISTRICT,Rural,Female,75 AND ABOVE,1,1,,13,17
SUJAWAL DISTRICT,Rural,Transgender,10-14,,,,,
SUJAWAL DISTRICT,Rural,Transgender,15-19,1,,,,3
SUJAWAL DISTRICT,Rural,Transgender,20-24,,,,1,1
SUJAWAL DISTRICT,Rural,Transgender,25-29,,,,,
SUJAWAL DISTRICT,Rural,Transgender,30-34,,1,,,
SUJAWAL DISTRICT,Rural,Transgender,35-39,,,,,
SUJAWAL DISTRICT,Rural,Transgender,40-44,,,,,
SUJAWAL DISTRICT,Rural,Transgender,45-49,,,,,
SUJAWAL DISTRICT,Rural,Transgender,50-54,,,,,
SUJAWAL DISTRICT,Rural,Transgender,55-59,,,,1,
SUJAWAL DISTRICT,Rural,Transgender,60-64,,,,,
SUJAWAL DISTRICT,Rural,Transgender,65-69,,,,,
SUJAWAL DISTRICT,Rural,Transgender,70-74,,,,,
SUJAWAL DISTRICT,Rural,Transgender,75 AND ABOVE,,,,,
SUJAWAL DISTRICT,Urban,Overall,10-14,9,6,11,5,7
SUJAWAL DISTRICT,Urban,Overall,15-19,5,5,5,4,16
SUJAWAL DISTRICT,Urban,Overall,20-24,2,1,5,7,13
SUJAWAL DISTRICT,Urban,Overall,25-29,8,2,,12,9
SUJAWAL DISTRICT,Urban,Overall,30-34,6,1,,6,8
SUJAWAL DISTRICT,Urban,Overall,35-39,4,2,,3,10
SUJAWAL DISTRICT,Urban,Overall,40-44,6,2,,9,6
SUJAWAL DISTRICT,Urban,Overall,45-49,4,,,1,4
SUJAWAL DISTRICT,Urban,Overall,50-54,1,1,,3,6
SUJAWAL DISTRICT,Urban,Overall,55-59,4,1,,1,3
SUJAWAL DISTRICT,Urban,Overall,60-64,1,,,,3
SUJAWAL DISTRICT,Urban,Overall,65-69,1,,,3,6
SUJAWAL DISTRICT,Urban,Overall,70-74,1,,,,3
SUJAWAL DISTRICT,Urban,Overall,75 AND ABOVE,1,,,,3
SUJAWAL DISTRICT,Urban,Male,10-14,8,4,6,1,3
SUJAWAL DISTRICT,Urban,Male,15-19,5,3,,2,10
SUJAWAL DISTRICT,Urban,Male,20-24,2,1,3,2,9
SUJAWAL DISTRICT,Urban,Male,25-29,7,2,,4,5
SUJAWAL DISTRICT,Urban,Male,30-34,5,1,,3,5
SUJAWAL DISTRICT,Urban,Male,35-39,3,2,,1,8
SUJAWAL DISTRICT,Urban,Male,40-44,6,2,,2,4
SUJAWAL DISTRICT,Urban,Male,45-49,4,,,1,2
SUJAWAL DISTRICT,Urban,Male,50-54,,1,,1,5
SUJAWAL DISTRICT,Urban,Male,55-59,3,1,,,3
SUJAWAL DISTRICT,Urban,Male,60-64,1,,,,2
SUJAWAL DISTRICT,Urban,Male,65-69,1,,,,5
SUJAWAL DISTRICT,Urban,Male,70-74,1,,,,1
SUJAWAL DISTRICT,Urban,Male,75 AND ABOVE,1,,,,1
SUJAWAL DISTRICT,Urban,Female,10-14,1,2,5,4,4
SUJAWAL DISTRICT,Urban,Female,15-19,,2,5,2,6
SUJAWAL DISTRICT,Urban,Female,20-24,,,2,5,4
SUJAWAL DISTRICT,Urban,Female,25-29,1,,,7,4
SUJAWAL DISTRICT,Urban,Female,30-34,1,,,3,3
SUJAWAL DISTRICT,Urban,Female,35-39,1,,,2,2
SUJAWAL DISTRICT,Urban,Female,40-44,,,,7,2
SUJAWAL DISTRICT,Urban,Female,45-49,,,,,2
SUJAWAL DISTRICT,Urban,Female,50-54,1,,,2,1
SUJAWAL DISTRICT,Urban,Female,55-59,1,,,1,
SUJAWAL DISTRICT,Urban,Female,60-64,,,,,1
SUJAWAL DISTRICT,Urban,Female,65-69,,,,3,1
