district,localities,hh_anysource,radio,tv,newspaper,telephone,mobile,computerinternet
SAHIWAL DISTRICT,Rural,292897,8509,205771,14796,3788,287232,20635
SAHIWAL DISTRICT,Urban,81591,4359,74778,12851,8846,80541,19509
OKARA DISTRICT,Rural,331995,4711,201251,10623,3159,325796,16017
OKARA DISTRICT,Urban,129925,3471,108781,13168,8137,128218,20781
PAKPATTAN DISTRICT,Rural,238358,9074,149643,12859,2191,232649,12437
PAKPATTAN DISTRICT,Urban,47637,4812,41956,9043,3172,46910,10668
BAHAWALNAGAR DISTRICT,Rural,353167,4740,161289,4605,2088,349247,14060
BAHAWALNAGAR DISTRICT,Urban,99587,2378,74125,4202,4462,98485,14069
BAHAWALPUR DISTRICT,Rural,356995,9118,134928,7800,2109,352715,13556
BAHAWALPUR DISTRICT,Urban,183337,6747,134875,13854,10845,180646,32018
RAHIM YAR KHAN DISTRICT,Rural,502188,9150,243438,8166,3807,495149,20488
RAHIM YAR KHAN DISTRICT,Urban,161058,3704,128701,8665,8302,159014,27799
DERA GHAZI KHAN DISTRICT,Rural,247995,21314,65419,9818,3378,245356,9770
DERA GHAZI KHAN DISTRICT,Urban,70579,2320,51972,7089,3044,69722,11486
RAJANPUR DISTRICT,Rural,187413,8034,41072,4056,1071,185368,4880
RAJANPUR DISTRICT,Urban,44142,737,32359,1899,801,43265,4326
LAYYAH DISTRICT,Rural,218678,8066,87936,9623,1377,216265,9322
LAYYAH DISTRICT,Urban,48381,3103,32974,4178,2148,47909,7412
MUZAFFARGARH DISTRICT,Rural,500185,21754,182337,24240,4529,491811,14154
MUZAFFARGARH DISTRICT,Urban,104398,3145,70325,9391,3117,102911,11251
MULTAN DISTRICT,Rural,401590,10694,214064,15067,4966,395510,18981
MULTAN DISTRICT,Urban,325941,16493,281421,37769,23963,321340,60383
KHANEWAL DISTRICT,Rural,352316,8731,150439,17069,3328,348992,17074
KHANEWAL DISTRICT,Urban,92583,2501,69545,8797,4667,91538,15200
LODHRAN DISTRICT,Rural,206933,6570,92940,6860,909,204555,8108
LODHRAN DISTRICT,Urban,41301,671,30055,4110,816,40846,5512
VEHARI DISTRICT,Rural,355259,17020,194617,24622,4354,349967,23629
VEHARI DISTRICT,Urban,79526,4830,63363,15286,5666,78673,15501
JACOBABAD DISTRICT,Rural,87253,1811,12620,4019,1352,85795,2349
JACOBABAD DISTRICT,Urban,48069,870,33307,2915,1192,46396,2805
KASHMORE DISTRICT,Rural,112955,4606,13094,3923,1251,111542,2851
KASHMORE DISTRICT,Urban,39854,1275,26303,3024,1875,38659,3833
KAMBAR SHAHDAD KOT DISTRICT,Rural,118849,4693,31178,4747,1494,116349,3110
KAMBAR SHAHDAD KOT DISTRICT,Urban,60273,1008,37824,4017,1318,58454,3806
LARKANA DISTRICT,Rural,113441,6155,54331,6984,1743,108326,3658
LARKANA DISTRICT,Urban,112467,5154,89791,10155,4725,108380,11938
SHIKARPUR DISTRICT,Rural,113097,3047,23412,4132,1369,110824,2288
SHIKARPUR DISTRICT,Urban,45804,1290,32488,3563,1950,43816,4829
GHOTKI DISTRICT,Rural,177187,5677,43449,12387,1476,173072,4132
GHOTKI DISTRICT,Urban,56754,1211,39622,5911,3606,54922,6196
KHAIRPUR DISTRICT,Rural,212067,4396,69403,9777,2066,206287,4653
KHAIRPUR DISTRICT,Urban,115811,2951,71952,8641,3167,112570,9965
SUKKUR DISTRICT,Rural,106494,2292,31408,3834,1188,103678,2420
SUKKUR DISTRICT,Urban,116589,2248,87818,7955,6897,113337,12815
BADIN DISTRICT,Rural,179784,14395,29598,9360,3114,174474,5189
BADIN DISTRICT,Urban,61264,4229,35949,9672,1770,58989,6167
DADU DISTRICT,Rural,160219,7361,70191,7211,2524,153715,3820
DADU DISTRICT,Urban,64323,1336,52908,4638,1772,61257,6131
HYDERABAD DISTRICT,Rural,52359,7703,29477,6790,3363,48756,3875
HYDERABAD DISTRICT,Urban,345735,14216,307951,34715,26398,334536,68735
JAMSHORO DISTRICT,Rural,74694,6354,37478,5560,2920,71137,5038
JAMSHORO DISTRICT,Urban,70982,1890,54062,4346,1925,68218,6755
MATIARI DISTRICT,Rural,80153,3640,32942,4049,615,76216,1901
MATIARI DISTRICT,Urban,29408,1233,21581,2178,871,28390,2995
SUJAWAL DISTRICT,Rural,77218,4473,6438,3078,481,75651,1408
SUJAWAL DISTRICT,Urban,13585,791,8728,2625,783,12973,1371
TANDO ALLAHYAR DISTRICT,Rural,76846,1689,27357,3484,835,73088,2344
TANDO ALLAHYAR DISTRICT,Urban,44725,941,30898,2518,1313,42915,3868
TANDO MUHAMMAD KHAN DISTRICT,Rural,60687,5040,13176,2339,433,58012,1588
TANDO MUHAMMAD KHAN DISTRICT,Urban,22224,1054,14276,1655,774,21354,1924
THATTA DISTRICT,Rural,102959,7511,15384,3886,681,100542,2104
THATTA DISTRICT,Urban,27261,726,14444,2643,1038,26455,2778
KARACHI CENTRAL DISTRICT,Rural,,,,,,,
KARACHI CENTRAL DISTRICT,Urban,530263,39623,465330,77133,73986,522912,184736
KARACHI EAST DISTRICT,Rural,,,,,,,
KARACHI EAST DISTRICT,Urban,493059,28521,404810,79385,97159,486105,203824
KARACHI SOUTH DISTRICT,Rural,,,,,,,
KARACHI SOUTH DISTRICT,Urban,315711,22802,276917,49658,48011,310422,94014
KARACHI WEST DISTRICT,Rural,40900,1819,21658,1862,531,40228,2931
KARACHI WEST DISTRICT,Urban,571723,33386,416402,34001,13725,562607,77343
KORANGI DISTRICT,Rural,,,,,,,
KORANGI DISTRICT,Urban,434040,30091,371006,38358,28609,427557,95395
MALIR DISTRICT,Rural,135262,7380,82178,12214,5510,132041,16177
MALIR DISTRICT,Urban,167703,7793,122826,19929,10675,165230,32594
MIRPUR KHAS DISTRICT,Rural,153509,5905,38499,7105,1201,149974,3764
MIRPUR KHAS DISTRICT,Urban,73088,1829,53561,5728,3468,71654,8027
THARPARKAR DISTRICT,Rural,185332,6312,3903,4903,1347,183507,2344
THARPARKAR DISTRICT,Urban,22362,474,8064,1704,671,22030,1967
UMER KOT DISTRICT,Rural,115985,4864,19090,3639,1192,114014,2624
UMER KOT DISTRICT,Urban,39882,1170,18556,4742,1352,38887,3796
SANGHAR DISTRICT,Rural,207161,6968,56076,8991,1815,202213,5087
SANGHAR DISTRICT,Urban,91626,4797,65187,5947,3281,89334,8436
NAUSHAHRO FEROZE DISTRICT,Rural,173366,6581,85826,6620,2674,165713,4787
NAUSHAHRO FEROZE DISTRICT,Urban,59870,1035,46222,3712,1879,58158,6265
SHAHEED BENAZIRABAD DISTRICT,Rural,161290,5985,63500,6074,1567,154739,3947
SHAHEED BENAZIRABAD DISTRICT,Urban,79902,1791,63815,5501,3646,77630,9162
AWARAN DISTRICT,Rural,5470,2205,324,60,144,3371,46
AWARAN DISTRICT,Urban,3699,256,488,63,32,3680,58
KALAT DISTRICT,Rural,34737,5342,3253,2143,488,33300,1231
KALAT DISTRICT,Urban,8927,887,4272,1341,437,8756,1078
KHARAN DISTRICT,Rural,12083,2021,926,463,396,11025,168
KHARAN DISTRICT,Urban,5970,727,3302,860,594,5857,696
KHUZDAR DISTRICT,Rural,50794,14239,3651,2419,2096,45115,964
KHUZDAR DISTRICT,Urban,35293,5106,17927,6876,3017,34424,3703
LASBELA DISTRICT,Rural,35967,4035,4571,1273,615,33580,848
LASBELA DISTRICT,Urban,34741,1316,15674,2559,577,33843,2005
MASTUNG DISTRICT,Rural,28797,3362,6020,1206,765,27929,1062
MASTUNG DISTRICT,Urban,4891,513,2597,491,143,4842,956
WASHUK DISTRICT,Rural,11909,4616,2724,1321,2896,6980,585
WASHUK DISTRICT,Urban,2105,335,112,51,98,1989,54
GWADAR DISTRICT,Rural,14900,2115,4510,136,90,14617,306
GWADAR DISTRICT,Urban,21519,3521,15666,2449,1178,21133,2149
KECH DISTRICT,Rural,80296,26536,35567,9598,8101,73912,5701
KECH DISTRICT,Urban,42826,11298,29484,9998,6891,40577,6510
PANJGUR DISTRICT,Rural,24779,8748,15707,4657,3040,23721,2206
PANJGUR DISTRICT,Urban,10247,3306,7029,2043,2151,9903,1736
JAFFARABAD DISTRICT,Rural,46822,2061,13688,685,421,46128,842
JAFFARABAD DISTRICT,Urban,20503,186,12630,493,350,19842,753
JHAL MAGSI DISTRICT,Rural,20127,1456,3046,342,412,19879,416
JHAL MAGSI DISTRICT,Urban,1185,91,528,29,30,1175,35
KACHHI DISTRICT,Rural,31400,3313,7815,681,363,30962,493
KACHHI DISTRICT,Urban,6465,161,4347,451,253,6317,535
NASIRABAD DISTRICT,Rural,45562,2572,12805,1185,1091,44705,831
NASIRABAD DISTRICT,Urban,12016,269,7356,414,229,11820,432
SOHBATPUR DISTRICT,Rural,23768,395,6857,361,216,23482,456
SOHBATPUR DISTRICT,Urban,1741,5,875,27,26,1693,32
CHAGAI DISTRICT,Rural,21006,3552,2159,493,908,20450,436
CHAGAI DISTRICT,Urban,1935,199,1024,286,299,1922,313
KILLA ABDULLAH DISTRICT,Rural,72959,36062,9274,8088,6355,66517,4461
KILLA ABDULLAH DISTRICT,Urban,18489,9297,6204,3646,1046,18086,1891
NUSHKI DISTRICT,Rural,14602,2218,4166,1671,638,14028,1638
NUSHKI DISTRICT,Urban,5367,1096,3020,933,382,5304,1746
PISHIN DISTRICT,Rural,92744,36897,14427,14080,5513,87480,6262
PISHIN DISTRICT,Urban,23899,10487,6895,5945,1921,23094,4367
QUETTA DISTRICT,Rural,141844,17984,63152,10032,6738,140104,22204
QUETTA DISTRICT,Urban,124106,7838,91600,13928,16949,122874,34941
DERA BUGTI DISTRICT,Rural,14886,8812,557,106,793,8553,296
DERA BUGTI DISTRICT,Urban,9474,693,7419,357,2686,4588,1315
HARNAI DISTRICT,Rural,9549,1492,1124,295,116,9235,196
HARNAI DISTRICT,Urban,4021,369,1321,353,241,3977,210
KOHLU DISTRICT,Rural,13127,6450,2895,522,880,10001,368
KOHLU DISTRICT,Urban,2034,156,1161,220,271,2004,168
SIBI DISTRICT,Rural,15398,958,7211,259,337,14829,614
SIBI DISTRICT,Urban,8526,151,7380,348,445,8289,1165
ZIARAT DISTRICT,Rural,22967,6385,3064,2779,511,21265,949
ZIARAT DISTRICT,Urban,654,221,361,194,23,630,76
BARKHAN DISTRICT,Rural,20448,5027,3404,1043,1585,20004,865
BARKHAN DISTRICT,Urban,1526,52,822,73,34,1495,100
KILLA SAIFULLAH DISTRICT,Rural,38251,7412,1620,1195,352,37618,614
KILLA SAIFULLAH DISTRICT,Urban,9519,1959,4140,1623,301,9404,1232
LORALAI DISTRICT,Rural,41535,7211,6759,1937,952,41095,1489
LORALAI DISTRICT,Urban,8201,756,4959,988,469,8085,1078
MUSAKHEL DISTRICT,Rural,19991,4048,1293,67,298,19580,279
MUSAKHEL DISTRICT,Urban,1898,211,611,157,133,1886,221
SHERANI DISTRICT,Rural,17710,6392,326,394,1100,17182,717
SHERANI DISTRICT,Urban,,,,,,,
ZHOB DISTRICT,Rural,29013,6345,4443,1695,848,27118,1011
ZHOB DISTRICT,Urban,6508,399,3241,742,297,6459,591
ISLAMABAD DISTRICT,Rural,163600,11944,138093,22211,22454,162153,55252
ISLAMABAD DISTRICT,Urban,166772,23130,138071,46788,49628,165407,79342
