district,tehsil,hh_anysource,radio,tv,newspaper,telephone,mobile,computerinternet
RAWALPINDI DISTRICT,KAHUTA TEHSIL,36944,2267,30272,930,1873,36231,4245
RAWALPINDI DISTRICT,KALLAR SAYADDAN TEHSIL,35207,1952,30549,2018,1947,34787,4548
RAWALPINDI DISTRICT,KOTLI SATTIAN TEHSIL,23439,2377,10252,342,289,23191,796
RAWALPINDI DISTRICT,MURREE TEHSIL,39809,3164,24461,2990,1252,39428,3805
RAWALPINDI DISTRICT,RAWALPINDI TEHSIL,521720,45281,466576,60361,80226,515828,168983
RAWALPINDI DISTRICT,TAXILA TEHSIL,108363,5392,94143,7754,14777,107206,31967
BHAKKAR DISTRICT,BHAKKAR TEHSIL,102747,1408,56664,2645,1602,101328,5954
BHAKKAR DISTRICT,DARYA KHAN TEHSIL,57245,954,26843,1253,572,56437,2115
BHAKKAR DISTRICT,KALUR KOT TEHSIL,52475,1043,25295,1558,465,51716,2870
BHAKKAR DISTRICT,MANKERA TEHSIL,40185,587,14561,524,256,39720,1366
KHUSHAB DISTRICT,KHUSHAB TEHSIL,108710,3049,73897,2920,2919,107432,10899
KHUSHAB DISTRICT,NOORPUR TEHSIL,38796,1003,17245,1448,230,38431,1532
KHUSHAB DISTRICT,NOWSHERA TEHSIL,19288,1105,14595,1715,439,18955,2707
KHUSHAB DISTRICT,QUAIDABAD TEHSIL,34874,980,20851,1171,405,34414,1881
SARGODHA DISTRICT,BHALWAL TEHSIL,62271,2419,48716,3862,1820,61389,7525
SARGODHA DISTRICT,BHERA TEHSIL,50550,817,35033,898,795,49807,3946
SARGODHA DISTRICT,KOT MOMIN TEHSIL,66664,841,34067,1845,538,65929,4238
SARGODHA DISTRICT,SAHIWAL TEHSIL,51503,2222,34349,5495,907,50901,3983
SARGODHA DISTRICT,SARGODHA TEHSIL,236314,7879,179778,11239,13648,233200,32636
SARGODHA DISTRICT,SHAHPUR TEHSIL,56565,770,37772,1159,600,55771,3705
SARGODHA DISTRICT,SILLANWALI TEHSIL,49545,641,31010,2639,808,48888,2798
MIANWALI DISTRICT,ISAKHEL TEHSIL,52601,3972,35517,926,989,51698,2113
MIANWALI DISTRICT,MIANWALI TEHSIL,117819,6700,81588,3561,2821,115803,9025
MIANWALI DISTRICT,PIPLAN TEHSIL,59928,1718,40691,2228,2254,59255,6782
GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,38115,318,30361,660,1114,37613,3862
GUJRANWALA DISTRICT,GUJRANWALA SADDAR TEHSIL,416834,8305,356807,23597,34909,411506,68343
GUJRANWALA DISTRICT,KAMOKE TEHSIL,81058,1745,64169,1681,1737,79841,7183
GUJRANWALA DISTRICT,NOWSHERA VIRKAN TEHSIL,73932,920,53057,3081,1636,72962,6098
GUJRANWALA DISTRICT,WAZIRABAD TEHSIL,126892,1935,103027,5968,7755,125562,17993
GUJRAT DISTRICT,GUJRAT TEHSIL,234395,5500,190316,10863,20420,231992,34574
GUJRAT DISTRICT,KHARIAN TEHSIL,156238,5075,127458,8143,15656,154223,24861
GUJRAT DISTRICT,SARAI ALAMGIR TEHSIL,40578,1499,35273,1905,5401,40110,6450
HAFIZABAD DISTRICT,HAFIZABAD TEHSIL,96952,1749,70402,5726,3672,95770,11144
HAFIZABAD DISTRICT,PINDI BHATTIAN TEHSIL,71999,781,43012,2131,864,71040,5361
MANDI BAHAUDDIN DISTRICT,MALAKWAL TEHSIL,58374,1663,40067,2035,1745,57738,5493
MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN TEHSIL,103483,5276,79177,4192,6069,102425,13092
MANDI BAHAUDDIN DISTRICT,PHALIA TEHSIL,85564,2793,57258,3329,2761,84910,10531
NAROWAL DISTRICT,NAROWAL TEHSIL,82779,2331,63556,5211,2285,81999,8435
NAROWAL DISTRICT,SHAKARGARH TEHSIL,92711,2546,62795,5619,1947,91870,7144
NAROWAL DISTRICT,ZAFARWAL TEHSIL,60293,1439,41626,3498,1457,59690,3960
SIALKOT DISTRICT,DASKA TEHSIL,121168,2446,99454,8450,5452,119796,16489
SIALKOT DISTRICT,PASRUR TEHSIL,117493,1973,91034,4756,4086,116103,11110
SIALKOT DISTRICT,SAMBRIAL TEHSIL,61233,872,50847,2548,3110,60592,8832
SIALKOT DISTRICT,SIALKOT TEHSIL,266425,23507,240411,26176,41019,262580,62881
LAHORE DISTRICT,LAHORE CANTT TEHSIL,256850,27769,231862,45101,48317,254143,89194
