district,hhsize,room_in_house_1,room_in_house_2,room_in_house_3,room_in_house_4,room_in_house_5,room_in_house_6,room_in_house_7,room_in_house_8,room_in_house_9
THARPARKAR DISTRICT,8 PERSONS,4045,8913,7417,3150,738,269,115,38,59
THARPARKAR DISTRICT,9 PERSONS,2206,5930,5514,2774,661,269,108,23,46
THARPARKAR DISTRICT,10 PERSONS AND ABOVE,2107,7476,9317,5256,1954,844,285,155,135
THATTA DISTRICT,1 PERSON,5570,404,116,56,19,6,30,4,22
THATTA DISTRICT,2 PERSONS,21524,1383,307,146,76,24,138,24,55
THATTA DISTRICT,3 PERSONS,21170,1919,456,147,94,22,116,26,62
THATTA DISTRICT,4 PERSONS,21495,2533,628,212,96,24,148,30,44
THATTA DISTRICT,5 PERSONS,19915,2853,778,271,104,37,145,36,58
THATTA DISTRICT,6 PERSONS,17434,3028,887,303,114,37,139,28,37
THATTA DISTRICT,7 PERSONS,14279,2601,822,273,96,27,111,32,41
THATTA DISTRICT,8 PERSONS,10179,2096,661,236,80,28,70,17,20
THATTA DISTRICT,9 PERSONS,6627,1514,548,211,65,24,49,14,15
THATTA DISTRICT,10 PERSONS AND ABOVE,9026,2936,1313,653,254,134,106,44,56
TOBA TEK SINGH DISTRICT,1 PERSON,2976,1939,893,503,244,129,80,39,48
TOBA TEK SINGH DISTRICT,2 PERSONS,6615,6133,3011,1475,628,316,160,81,111
TOBA TEK SINGH DISTRICT,3 PERSONS,7970,9115,5298,2545,1070,520,266,120,154
TOBA TEK SINGH DISTRICT,4 PERSONS,9867,13694,8394,4533,1964,950,484,191,221
TOBA TEK SINGH DISTRICT,5 PERSONS,11326,18240,12144,6515,3000,1370,621,338,328
TOBA TEK SINGH DISTRICT,6 PERSONS,9954,18169,12659,7131,3143,1638,671,320,411
TOBA TEK SINGH DISTRICT,7 PERSONS,6554,13790,10257,6187,2769,1415,679,350,379
TOBA TEK SINGH DISTRICT,8 PERSONS,3682,8891,7280,4650,2182,1194,533,318,293
TOBA TEK SINGH DISTRICT,9 PERSONS,1826,5434,5027,3525,1751,931,446,261,254
TOBA TEK SINGH DISTRICT,10 PERSONS AND ABOVE,1970,7714,10855,10391,6329,4135,2025,1449,1740
TORGHAR DISTRICT,1 PERSON,202,91,15,12,5,1,,,1
TORGHAR DISTRICT,2 PERSONS,1067,816,142,47,9,2,4,2,3
TORGHAR DISTRICT,3 PERSONS,1033,1047,248,91,15,9,4,3,3
TORGHAR DISTRICT,4 PERSONS,1010,1383,363,115,23,9,5,1,2
TORGHAR DISTRICT,5 PERSONS,948,1627,458,170,27,8,4,1,1
TORGHAR DISTRICT,6 PERSONS,829,1762,605,194,48,16,11,3,5
TORGHAR DISTRICT,7 PERSONS,624,1633,711,238,49,18,11,2,9
TORGHAR DISTRICT,8 PERSONS,434,1210,664,238,62,21,11,2,3
TORGHAR DISTRICT,9 PERSONS,256,799,530,208,56,20,11,4,4
TORGHAR DISTRICT,10 PERSONS AND ABOVE,257,1241,1223,703,273,154,43,28,31
UMER KOT DISTRICT,1 PERSON,5050,683,168,75,29,14,30,1,9
UMER KOT DISTRICT,2 PERSONS,24084,5762,992,315,101,28,134,24,60
UMER KOT DISTRICT,3 PERSONS,20653,5839,1110,340,88,26,120,22,61
UMER KOT DISTRICT,4 PERSONS,20146,7660,1596,489,115,32,136,27,48
UMER KOT DISTRICT,5 PERSONS,18664,8430,1963,576,158,53,109,31,57
UMER KOT DISTRICT,6 PERSONS,16976,8515,2326,700,167,66,109,27,58
UMER KOT DISTRICT,7 PERSONS,12195,6755,2014,741,163,46,109,23,47
UMER KOT DISTRICT,8 PERSONS,7314,4763,1624,696,121,58,66,17,28
UMER KOT DISTRICT,9 PERSONS,3634,2843,1160,527,138,52,49,11,12
UMER KOT DISTRICT,10 PERSONS AND ABOVE,3180,3190,1683,1003,310,158,88,42,50
UPPER DIR DISTRICT,1 PERSON,430,185,72,42,15,10,4,2,7
UPPER DIR DISTRICT,2 PERSONS,2864,1666,462,217,63,39,22,12,28
UPPER DIR DISTRICT,3 PERSONS,3484,2593,828,322,88,76,37,19,41
UPPER DIR DISTRICT,4 PERSONS,3949,3453,1376,605,202,123,50,29,47
UPPER DIR DISTRICT,5 PERSONS,3890,4749,2107,979,281,213,63,62,72
UPPER DIR DISTRICT,6 PERSONS,3391,5253,2723,1399,410,299,80,70,116
UPPER DIR DISTRICT,7 PERSONS,2669,5322,3212,1733,560,384,147,88,122
UPPER DIR DISTRICT,8 PERSONS,1937,4634,3192,1863,641,376,147,121,150
UPPER DIR DISTRICT,9 PERSONS,1127,3421,2826,1734,640,451,131,113,139
UPPER DIR DISTRICT,10 PERSONS AND ABOVE,1397,6206,7513,6899,3308,2707,1037,1079,1456
VEHARI DISTRICT,1 PERSON,5395,2677,1187,527,193,117,68,24,41
VEHARI DISTRICT,2 PERSONS,13226,8460,3187,1332,505,257,145,78,87
VEHARI DISTRICT,3 PERSONS,16032,12700,5826,2404,887,433,212,99,120
VEHARI DISTRICT,4 PERSONS,19806,19648,9340,4183,1621,772,313,183,171
VEHARI DISTRICT,5 PERSONS,21660,26099,13501,6320,2583,1132,520,293,309
VEHARI DISTRICT,6 PERSONS,18814,26595,14629,7014,2866,1385,624,322,309
VEHARI DISTRICT,7 PERSONS,12565,21052,12290,6245,2639,1275,569,298,288
VEHARI DISTRICT,8 PERSONS,7010,14338,9401,5110,2178,1099,517,257,271
VEHARI DISTRICT,9 PERSONS,3487,8841,6688,3923,1782,920,360,227,243
VEHARI DISTRICT,10 PERSONS AND ABOVE,3510,12244,14121,11924,6639,4194,1975,1437,1909
WASHUK DISTRICT,1 PERSON,1007,146,55,20,5,3,12,1,5
WASHUK DISTRICT,2 PERSONS,2281,739,236,89,15,5,13,2,14
WASHUK DISTRICT,3 PERSONS,2035,845,263,93,17,15,10,1,13
WASHUK DISTRICT,4 PERSONS,2155,1245,504,187,42,15,34,7,11
WASHUK DISTRICT,5 PERSONS,1772,1278,590,267,59,36,17,16,25
WASHUK DISTRICT,6 PERSONS,1476,1204,647,294,102,64,33,13,16
WASHUK DISTRICT,7 PERSONS,1125,930,564,357,118,60,11,6,22
WASHUK DISTRICT,8 PERSONS,970,731,573,310,112,49,24,9,25
WASHUK DISTRICT,9 PERSONS,646,452,399,224,87,45,21,4,19
WASHUK DISTRICT,10 PERSONS AND ABOVE,803,578,541,469,181,218,67,31,45
ZHOB DISTRICT,1 PERSON,196,121,96,31,25,14,14,6,15
ZHOB DISTRICT,2 PERSONS,1509,1431,614,273,168,101,72,22,109
ZHOB DISTRICT,3 PERSONS,1144,1458,682,344,182,106,75,41,104
ZHOB DISTRICT,4 PERSONS,1193,1728,977,451,215,141,114,34,91
ZHOB DISTRICT,5 PERSONS,1054,1763,1165,504,289,146,93,44,115
ZHOB DISTRICT,6 PERSONS,814,1709,1249,601,295,153,106,51,123
ZHOB DISTRICT,7 PERSONS,604,1495,1228,640,300,164,88,52,120
ZHOB DISTRICT,8 PERSONS,438,1304,1158,640,302,177,90,50,127
ZHOB DISTRICT,9 PERSONS,276,939,948,573,260,178,86,51,101
ZHOB DISTRICT,10 PERSONS AND ABOVE,410,1586,2132,1687,897,563,286,242,476
ZIARAT DISTRICT,1 PERSON,516,167,49,15,8,2,6,,
ZIARAT DISTRICT,2 PERSONS,2535,1559,460,157,42,17,26,7,7
ZIARAT DISTRICT,3 PERSONS,1370,1159,428,154,49,18,19,4,13
ZIARAT DISTRICT,4 PERSONS,1269,1323,559,186,79,21,33,7,16
ZIARAT DISTRICT,5 PERSONS,1062,1294,627,256,77,28,31,8,16
ZIARAT DISTRICT,6 PERSONS,835,1233,697,287,78,36,24,6,20
ZIARAT DISTRICT,7 PERSONS,561,1061,643,246,94,39,29,13,5
ZIARAT DISTRICT,8 PERSONS,374,799,549,314,97,39,25,22,29
ZIARAT DISTRICT,9 PERSONS,237,544,459,304,93,33,27,20,31
ZIARAT DISTRICT,10 PERSONS AND ABOVE,307,786,772,560,263,110,75,68,101
ISLAMABAD DISTRICT,1 PERSON,5193,3011,2506,1188,540,429,214,134,322
ISLAMABAD DISTRICT,2 PERSONS,5054,6617,5536,2278,889,664,283,176,320
ISLAMABAD DISTRICT,3 PERSONS,5133,9133,8986,3505,1449,901,379,261,458
ISLAMABAD DISTRICT,4 PERSONS,5848,14003,14978,6535,2511,1628,592,483,633
ISLAMABAD DISTRICT,5 PERSONS,5516,16573,19984,8635,3686,2322,957,659,875
ISLAMABAD DISTRICT,6 PERSONS,4047,13791,17791,8242,3357,2385,880,644,873
ISLAMABAD DISTRICT,7 PERSONS,2384,8994,11738,5888,2569,1910,738,523,749
ISLAMABAD DISTRICT,8 PERSONS,1230,5242,7210,3888,1767,1511,561,469,597
ISLAMABAD DISTRICT,9 PERSONS,653,3022,4597,2806,1347,1102,433,368,481
ISLAMABAD DISTRICT,10 PERSONS AND ABOVE,1064,4877,8908,6988,3911,4025,1655,1531,2422
