district,localities,hhsize,room_in_house_1,room_in_house_2,room_in_house_3,room_in_house_4,room_in_house_5,room_in_house_6,room_in_house_7,room_in_house_8,room_in_house_9
LAKKI MARWAT DISTRICT,URBAN,2 PERSONS,208,167,58,37,16,18,5,1,2
LAKKI MARWAT DISTRICT,URBAN,3 PERSONS,217,208,97,43,20,11,6,3,8
LAKKI MARWAT DISTRICT,URBAN,4 PERSONS,268,344,185,90,25,20,5,3,11
LAKKI MARWAT DISTRICT,URBAN,5 PERSONS,248,439,262,135,75,40,12,4,18
LAKKI MARWAT DISTRICT,URBAN,6 PERSONS,238,518,358,197,76,37,19,11,11
LAKKI MARWAT DISTRICT,URBAN,7 PERSONS,165,450,358,203,84,37,24,8,10
LAKKI MARWAT DISTRICT,URBAN,8 PERSONS,89,319,335,197,77,33,21,15,9
LAKKI MARWAT DISTRICT,URBAN,9 PERSONS,53,191,205,177,79,54,16,7,12
LAKKI MARWAT DISTRICT,URBAN,10 PERSONS AND ABOVE,65,304,576,686,433,274,141,103,142
LARKANA DISTRICT,RURAL,1 PERSON,2369,285,59,23,7,1,14,,15
LARKANA DISTRICT,RURAL,2 PERSONS,14349,2267,345,133,57,20,76,15,21
LARKANA DISTRICT,RURAL,3 PERSONS,12691,2727,417,198,49,17,104,13,25
LARKANA DISTRICT,RURAL,4 PERSONS,12680,3678,543,253,50,24,90,5,33
LARKANA DISTRICT,RURAL,5 PERSONS,12076,4458,743,243,82,29,111,11,30
LARKANA DISTRICT,RURAL,6 PERSONS,10796,4799,863,260,76,32,88,11,21
LARKANA DISTRICT,RURAL,7 PERSONS,8755,4717,838,302,63,35,99,12,30
LARKANA DISTRICT,RURAL,8 PERSONS,6635,4298,912,291,59,35,64,11,21
LARKANA DISTRICT,RURAL,9 PERSONS,4388,3296,758,268,54,33,68,9,23
LARKANA DISTRICT,RURAL,10 PERSONS AND ABOVE,5531,5952,2357,946,247,115,149,35,45
LARKANA DISTRICT,URBAN,1 PERSON,1577,599,211,93,36,15,30,7,18
LARKANA DISTRICT,URBAN,2 PERSONS,7956,3638,1106,480,236,119,104,47,77
LARKANA DISTRICT,URBAN,3 PERSONS,7334,4235,1292,550,240,137,134,49,50
LARKANA DISTRICT,URBAN,4 PERSONS,7471,5447,1814,689,292,147,146,48,73
LARKANA DISTRICT,URBAN,5 PERSONS,6362,5752,2215,859,337,139,172,53,65
LARKANA DISTRICT,URBAN,6 PERSONS,5499,5950,2329,849,316,133,147,55,70
LARKANA DISTRICT,URBAN,7 PERSONS,4087,5112,1992,776,278,128,130,36,51
LARKANA DISTRICT,URBAN,8 PERSONS,2939,4010,1689,698,249,93,109,31,37
LARKANA DISTRICT,URBAN,9 PERSONS,1708,2841,1304,527,184,79,71,17,17
LARKANA DISTRICT,URBAN,10 PERSONS AND ABOVE,2239,4946,2698,1533,550,279,178,78,85
LASBELA DISTRICT,RURAL,1 PERSON,1870,88,23,36,2,,5,,2
LASBELA DISTRICT,RURAL,2 PERSONS,6453,426,87,47,16,2,22,,3
LASBELA DISTRICT,RURAL,3 PERSONS,6201,544,109,50,11,,18,1,6
LASBELA DISTRICT,RURAL,4 PERSONS,6084,766,125,73,16,3,17,4,3
LASBELA DISTRICT,RURAL,5 PERSONS,5515,899,152,59,19,3,20,3,7
LASBELA DISTRICT,RURAL,6 PERSONS,5071,1000,169,68,13,1,21,3,3
LASBELA DISTRICT,RURAL,7 PERSONS,4103,976,180,78,13,,13,4,6
LASBELA DISTRICT,RURAL,8 PERSONS,2935,990,189,57,15,6,14,,2
LASBELA DISTRICT,RURAL,9 PERSONS,1920,761,178,43,14,4,10,1,1
LASBELA DISTRICT,RURAL,10 PERSONS AND ABOVE,2185,1494,655,282,93,44,20,7,13
LASBELA DISTRICT,URBAN,1 PERSON,573,150,59,19,6,3,5,2,3
LASBELA DISTRICT,URBAN,2 PERSONS,1847,537,153,38,16,12,9,2,4
LASBELA DISTRICT,URBAN,3 PERSONS,2056,832,224,63,35,13,13,4,8
LASBELA DISTRICT,URBAN,4 PERSONS,2191,1204,342,110,25,12,26,5,10
LASBELA DISTRICT,URBAN,5 PERSONS,1949,1539,514,141,68,31,33,10,13
LASBELA DISTRICT,URBAN,6 PERSONS,1726,1626,555,181,56,24,33,10,13
LASBELA DISTRICT,URBAN,7 PERSONS,1410,1501,562,244,64,29,24,6,10
LASBELA DISTRICT,URBAN,8 PERSONS,1082,1379,591,247,70,33,12,11,8
LASBELA DISTRICT,URBAN,9 PERSONS,706,998,519,242,72,48,23,5,12
LASBELA DISTRICT,URBAN,10 PERSONS AND ABOVE,1066,2467,2131,1482,674,381,180,114,108
LAYYAH DISTRICT,RURAL,1 PERSON,2349,741,194,114,38,16,12,6,9
LAYYAH DISTRICT,RURAL,2 PERSONS,10088,3764,771,306,101,38,50,11,15
LAYYAH DISTRICT,RURAL,3 PERSONS,11367,5783,1496,520,172,62,53,13,21
LAYYAH DISTRICT,RURAL,4 PERSONS,13521,9485,2521,1025,370,122,79,35,47
LAYYAH DISTRICT,RURAL,5 PERSONS,14034,12881,4205,1613,526,191,115,52,63
LAYYAH DISTRICT,RURAL,6 PERSONS,12334,14545,5216,2246,625,275,163,63,67
LAYYAH DISTRICT,RURAL,7 PERSONS,8725,12413,5064,2191,658,292,158,65,73
LAYYAH DISTRICT,RURAL,8 PERSONS,5297,9300,4267,1957,678,299,130,74,79
LAYYAH DISTRICT,RURAL,9 PERSONS,2726,6088,3307,1699,603,296,108,61,77
LAYYAH DISTRICT,RURAL,10 PERSONS AND ABOVE,2611,8347,7641,5900,2872,1768,772,540,643
LAYYAH DISTRICT,URBAN,1 PERSON,435,323,175,77,35,15,8,6,4
LAYYAH DISTRICT,URBAN,2 PERSONS,909,889,496,233,81,35,20,6,7
LAYYAH DISTRICT,URBAN,3 PERSONS,1132,1351,786,366,148,62,27,21,13
LAYYAH DISTRICT,URBAN,4 PERSONS,1390,2183,1337,679,281,118,57,26,24
LAYYAH DISTRICT,URBAN,5 PERSONS,1560,2732,1978,1034,446,182,79,48,53
LAYYAH DISTRICT,URBAN,6 PERSONS,1330,2867,1961,1038,442,218,101,43,46
LAYYAH DISTRICT,URBAN,7 PERSONS,882,1978,1552,859,357,177,89,46,40
LAYYAH DISTRICT,URBAN,8 PERSONS,511,1332,1078,628,279,141,80,35,36
LAYYAH DISTRICT,URBAN,9 PERSONS,262,811,725,519,229,116,59,34,33
LAYYAH DISTRICT,URBAN,10 PERSONS AND ABOVE,294,1131,1626,1484,875,529,269,164,247
LODHRAN DISTRICT,RURAL,1 PERSON,2218,910,313,144,57,42,16,13,13
LODHRAN DISTRICT,RURAL,2 PERSONS,7263,3841,1132,451,172,60,60,19,17
LODHRAN DISTRICT,RURAL,3 PERSONS,8126,5817,2048,777,256,122,67,26,36
LODHRAN DISTRICT,RURAL,4 PERSONS,10320,9047,3438,1395,499,221,128,55,64
LODHRAN DISTRICT,RURAL,5 PERSONS,11215,12209,5167,2149,761,352,150,67,83
LODHRAN DISTRICT,RURAL,6 PERSONS,9987,13798,6070,2729,987,482,228,100,106
LODHRAN DISTRICT,RURAL,7 PERSONS,6826,11873,5847,2652,975,445,218,106,105
LODHRAN DISTRICT,RURAL,8 PERSONS,4074,8449,4709,2332,879,430,168,108,94
LODHRAN DISTRICT,RURAL,9 PERSONS,2094,5196,3415,1818,773,397,143,104,102
LODHRAN DISTRICT,RURAL,10 PERSONS AND ABOVE,2090,7467,7742,5870,2931,1924,807,601,795
LODHRAN DISTRICT,URBAN,1 PERSON,512,294,163,66,20,17,5,3,6
LODHRAN DISTRICT,URBAN,2 PERSONS,1162,926,380,176,59,22,10,3,17
LODHRAN DISTRICT,URBAN,3 PERSONS,1319,1241,650,274,108,55,32,12,8
LODHRAN DISTRICT,URBAN,4 PERSONS,1514,1836,998,490,147,82,28,20,28
LODHRAN DISTRICT,URBAN,5 PERSONS,1554,2403,1337,700,243,144,52,25,40
LODHRAN DISTRICT,URBAN,6 PERSONS,1362,2359,1430,812,290,164,69,40,54
LODHRAN DISTRICT,URBAN,7 PERSONS,973,1865,1217,647,279,174,81,33,36
LODHRAN DISTRICT,URBAN,8 PERSONS,508,1217,914,528,245,118,70,39,33
LODHRAN DISTRICT,URBAN,9 PERSONS,310,703,592,376,175,104,49,22,31
LODHRAN DISTRICT,URBAN,10 PERSONS AND ABOVE,255,1004,1280,1029,625,401,198,156,199
LORALAI DISTRICT,RURAL,1 PERSON,618,173,65,27,14,10,1,3,9
LORALAI DISTRICT,RURAL,2 PERSONS,2019,1633,488,175,75,41,31,17,26
LORALAI DISTRICT,RURAL,3 PERSONS,1334,1407,592,223,79,42,39,26,17
LORALAI DISTRICT,RURAL,4 PERSONS,1256,1744,840,341,116,68,32,15,39
LORALAI DISTRICT,RURAL,5 PERSONS,984,1826,1018,424,139,58,46,32,38
LORALAI DISTRICT,RURAL,6 PERSONS,831,1754,1183,504,206,74,39,32,62
LORALAI DISTRICT,RURAL,7 PERSONS,714,1522,1251,590,221,110,50,35,59
LORALAI DISTRICT,RURAL,8 PERSONS,475,1392,1244,667,287,119,54,33,70
LORALAI DISTRICT,RURAL,9 PERSONS,360,1016,1087,632,296,140,59,33,69
LORALAI DISTRICT,RURAL,10 PERSONS AND ABOVE,610,1869,2509,1894,1214,722,339,256,595
LORALAI DISTRICT,URBAN,1 PERSON,106,95,61,25,12,3,2,1,3
LORALAI DISTRICT,URBAN,2 PERSONS,229,211,89,43,12,16,8,7,21
LORALAI DISTRICT,URBAN,3 PERSONS,201,252,127,60,24,11,13,8,12
LORALAI DISTRICT,URBAN,4 PERSONS,199,341,141,71,43,24,17,10,15
LORALAI DISTRICT,URBAN,5 PERSONS,174,345,240,109,38,38,24,14,19
LORALAI DISTRICT,URBAN,6 PERSONS,148,359,246,124,41,31,22,8,22
LORALAI DISTRICT,URBAN,7 PERSONS,98,286,233,123,49,38,19,19,30
LORALAI DISTRICT,URBAN,8 PERSONS,74,234,198,141,60,26,11,6,16
LORALAI DISTRICT,URBAN,9 PERSONS,37,193,191,139,52,22,10,4,13
LORALAI DISTRICT,URBAN,10 PERSONS AND ABOVE,45,287,434,375,235,145,59,47,84
LOWER DIR DISTRICT,RURAL,1 PERSON,322,165,89,52,33,19,8,18,8
LOWER DIR DISTRICT,RURAL,2 PERSONS,1512,1191,425,243,98,74,28,21,23
LOWER DIR DISTRICT,RURAL,3 PERSONS,1962,1798,841,467,204,117,51,33,61
LOWER DIR DISTRICT,RURAL,4 PERSONS,2591,2970,1536,964,372,213,88,60,79
LOWER DIR DISTRICT,RURAL,5 PERSONS,3003,4434,2655,1731,762,372,146,103,130
LOWER DIR DISTRICT,RURAL,6 PERSONS,2741,5246,3792,2561,1110,637,251,163,165
LOWER DIR DISTRICT,RURAL,7 PERSONS,2290,5129,4337,3225,1384,846,311,180,225
LOWER DIR DISTRICT,RURAL,8 PERSONS,1529,4245,3884,3230,1505,805,334,213,242
LOWER DIR DISTRICT,RURAL,9 PERSONS,901,2981,3326,2893,1354,794,288,186,205
LOWER DIR DISTRICT,RURAL,10 PERSONS AND ABOVE,1119,5291,9358,12447,8700,7133,3215,2619,3788
LOWER DIR DISTRICT,URBAN,1 PERSON,19,20,7,5,,1,,1,
LOWER DIR DISTRICT,URBAN,2 PERSONS,31,51,16,7,7,1,,,3
LOWER DIR DISTRICT,URBAN,3 PERSONS,46,69,47,18,6,9,4,,4
LOWER DIR DISTRICT,URBAN,4 PERSONS,52,116,76,42,11,9,3,2,7
LOWER DIR DISTRICT,URBAN,5 PERSONS,55,158,101,61,28,10,5,7,9
LOWER DIR DISTRICT,URBAN,6 PERSONS,53,184,163,99,35,26,12,7,14
LOWER DIR DISTRICT,URBAN,7 PERSONS,37,155,129,100,50,35,11,10,18
LOWER DIR DISTRICT,URBAN,8 PERSONS,33,150,124,92,47,24,13,10,9
LOWER DIR DISTRICT,URBAN,9 PERSONS,8,71,124,76,50,29,17,8,15
LOWER DIR DISTRICT,URBAN,10 PERSONS AND ABOVE,19,168,262,261,206,176,90,72,122
MALAKAND PROTECTED AREA,RURAL,1 PERSON,276,165,82,46,19,13,10,5,5
MALAKAND PROTECTED AREA,RURAL,2 PERSONS,1159,873,380,205,119,72,25,15,30
MALAKAND PROTECTED AREA,RURAL,3 PERSONS,1492,1491,739,404,182,105,50,23,37
MALAKAND PROTECTED AREA,RURAL,4 PERSONS,1885,2507,1318,715,335,167,65,48,64
MALAKAND PROTECTED AREA,RURAL,5 PERSONS,2144,3615,2229,1278,481,220,98,52,57
MALAKAND PROTECTED AREA,RURAL,6 PERSONS,1849,4064,2874,1626,647,335,149,60,75
MALAKAND PROTECTED AREA,RURAL,7 PERSONS,1267,3399,2784,1633,607,332,104,68,92
MALAKAND PROTECTED AREA,RURAL,8 PERSONS,656,2493,2257,1550,614,295,118,62,77
MALAKAND PROTECTED AREA,RURAL,9 PERSONS,363,1532,1745,1329,521,250,89,55,83
MALAKAND PROTECTED AREA,RURAL,10 PERSONS AND ABOVE,448,2212,4314,5347,3283,2405,947,724,869
MALAKAND PROTECTED AREA,URBAN,1 PERSON,35,25,8,8,2,5,1,1,1
MALAKAND PROTECTED AREA,URBAN,2 PERSONS,63,114,42,28,25,9,8,1,4
MALAKAND PROTECTED AREA,URBAN,3 PERSONS,99,188,83,35,27,18,12,6,5
MALAKAND PROTECTED AREA,URBAN,4 PERSONS,108,301,158,73,35,22,9,7,5
MALAKAND PROTECTED AREA,URBAN,5 PERSONS,159,394,241,110,55,32,14,7,11
MALAKAND PROTECTED AREA,URBAN,6 PERSONS,169,459,300,152,85,44,20,15,10
MALAKAND PROTECTED AREA,URBAN,7 PERSONS,106,381,279,160,73,46,21,8,17
MALAKAND PROTECTED AREA,URBAN,8 PERSONS,62,244,207,148,63,29,13,7,7
MALAKAND PROTECTED AREA,URBAN,9 PERSONS,20,137,155,114,42,22,4,6,6
MALAKAND PROTECTED AREA,URBAN,10 PERSONS AND ABOVE,35,260,462,508,335,242,109,81,131
MALIR DISTRICT,RURAL,1 PERSON,4469,722,272,137,28,17,32,9,11
MALIR DISTRICT,RURAL,2 PERSONS,11196,2658,835,433,85,60,80,15,31
MALIR DISTRICT,RURAL,3 PERSONS,11563,3949,1349,691,118,49,92,23,41
MALIR DISTRICT,RURAL,4 PERSONS,11293,5563,2047,980,186,84,110,26,61
MALIR DISTRICT,RURAL,5 PERSONS,9907,6157,2671,1342,265,99,119,35,68
MALIR DISTRICT,RURAL,6 PERSONS,7927,5961,2774,1360,282,160,157,55,65
MALIR DISTRICT,RURAL,7 PERSONS,5401,5209,2600,1174,259,122,103,36,42
MALIR DISTRICT,RURAL,8 PERSONS,3246,3772,2105,958,207,118,81,33,44
MALIR DISTRICT,RURAL,9 PERSONS,1857,2527,1657,773,207,99,61,34,41
MALIR DISTRICT,RURAL,10 PERSONS AND ABOVE,2252,4310,4098,2557,948,624,289,214,228
MALIR DISTRICT,URBAN,1 PERSON,3049,878,346,150,65,35,27,25,29
MALIR DISTRICT,URBAN,2 PERSONS,7556,3580,1218,491,250,111,75,39,51
MALIR DISTRICT,URBAN,3 PERSONS,8924,5555,2063,762,375,192,94,64,68
MALIR DISTRICT,URBAN,4 PERSONS,9785,8362,3206,1289,596,273,166,86,94
MALIR DISTRICT,URBAN,5 PERSONS,8730,10037,4394,1599,744,330,169,102,102
MALIR DISTRICT,URBAN,6 PERSONS,6883,9815,4425,1674,647,362,182,134,105
MALIR DISTRICT,URBAN,7 PERSONS,4317,7575,3704,1437,567,297,137,93,72
MALIR DISTRICT,URBAN,8 PERSONS,2532,5361,2826,1146,438,283,114,66,72
MALIR DISTRICT,URBAN,9 PERSONS,1269,3374,2189,952,368,226,70,63,46
MALIR DISTRICT,URBAN,10 PERSONS AND ABOVE,1725,5307,5369,3583,1765,1331,438,376,462
MANDI BAHAUDDIN DISTRICT,RURAL,1 PERSON,1409,1181,547,286,122,76,41,32,56
MANDI BAHAUDDIN DISTRICT,RURAL,2 PERSONS,3573,3881,1850,867,284,196,82,53,104
MANDI BAHAUDDIN DISTRICT,RURAL,3 PERSONS,4468,5810,3302,1555,542,339,156,90,130
MANDI BAHAUDDIN DISTRICT,RURAL,4 PERSONS,5776,8931,5270,2754,1005,525,210,149,188
MANDI BAHAUDDIN DISTRICT,RURAL,5 PERSONS,6536,11223,7434,3844,1455,813,325,186,289
MANDI BAHAUDDIN DISTRICT,RURAL,6 PERSONS,5712,11154,7652,4161,1583,895,367,226,314
MANDI BAHAUDDIN DISTRICT,RURAL,7 PERSONS,3822,8477,6208,3444,1415,816,339,216,309
MANDI BAHAUDDIN DISTRICT,RURAL,8 PERSONS,2191,5435,4349,2770,1202,666,284,216,288
MANDI BAHAUDDIN DISTRICT,RURAL,9 PERSONS,1113,3299,2872,2134,865,568,231,163,222
MANDI BAHAUDDIN DISTRICT,RURAL,10 PERSONS AND ABOVE,1238,4588,5874,5385,2872,2291,1027,887,1405
MANDI BAHAUDDIN DISTRICT,URBAN,1 PERSON,368,346,211,107,45,27,15,6,18
MANDI BAHAUDDIN DISTRICT,URBAN,2 PERSONS,805,940,582,271,126,75,36,21,31
MANDI BAHAUDDIN DISTRICT,URBAN,3 PERSONS,1107,1506,1031,510,235,125,54,32,37
MANDI BAHAUDDIN DISTRICT,URBAN,4 PERSONS,1445,2354,1734,856,392,220,91,64,66
MANDI BAHAUDDIN DISTRICT,URBAN,5 PERSONS,1673,2923,2222,1223,532,329,117,108,97
MANDI BAHAUDDIN DISTRICT,URBAN,6 PERSONS,1313,2620,2101,1171,547,332,147,73,112
MANDI BAHAUDDIN DISTRICT,URBAN,7 PERSONS,796,1790,1678,903,428,272,111,72,91
MANDI BAHAUDDIN DISTRICT,URBAN,8 PERSONS,460,1152,1080,719,283,218,85,71,63
MANDI BAHAUDDIN DISTRICT,URBAN,9 PERSONS,244,682,707,473,211,158,60,57,60
MANDI BAHAUDDIN DISTRICT,URBAN,10 PERSONS AND ABOVE,263,936,1339,1276,762,647,285,222,334
MARDAN DISTRICT,RURAL,1 PERSON,1191,539,222,144,51,37,18,13,16
MARDAN DISTRICT,RURAL,2 PERSONS,5378,2861,1147,563,234,121,55,45,39
MARDAN DISTRICT,RURAL,3 PERSONS,6651,4698,1856,875,391,188,76,47,57
MARDAN DISTRICT,RURAL,4 PERSONS,8372,7666,3251,1511,574,245,111,76,74
MARDAN DISTRICT,RURAL,5 PERSONS,9407,11316,5507,2525,931,413,191,106,103
MARDAN DISTRICT,RURAL,6 PERSONS,8575,13943,7365,3280,1111,564,199,116,120
MARDAN DISTRICT,RURAL,7 PERSONS,6415,12971,7372,3588,1175,547,216,119,104
MARDAN DISTRICT,RURAL,8 PERSONS,3746,9888,6729,3381,1117,536,207,112,115
MARDAN DISTRICT,RURAL,9 PERSONS,1974,6698,5534,2973,1058,517,180,94,82
MARDAN DISTRICT,RURAL,10 PERSONS AND ABOVE,1975,9449,14706,14105,7715,4701,1829,1143,1236
MARDAN DISTRICT,URBAN,1 PERSON,328,146,55,44,16,15,8,3,9
MARDAN DISTRICT,URBAN,2 PERSONS,1109,685,314,161,94,45,29,16,20
MARDAN DISTRICT,URBAN,3 PERSONS,1559,1302,606,286,146,91,43,30,24
MARDAN DISTRICT,URBAN,4 PERSONS,1895,2098,963,518,227,126,56,27,36
MARDAN DISTRICT,URBAN,5 PERSONS,2092,3114,1508,776,366,197,85,43,50
MARDAN DISTRICT,URBAN,6 PERSONS,1854,3327,1835,955,419,201,85,43,38
MARDAN DISTRICT,URBAN,7 PERSONS,1212,2781,1701,855,363,199,75,46,59
MARDAN DISTRICT,URBAN,8 PERSONS,676,2034,1358,748,305,154,70,31,34
MARDAN DISTRICT,URBAN,9 PERSONS,300,1228,1007,621,273,127,64,27,21
MARDAN DISTRICT,URBAN,10 PERSONS AND ABOVE,399,1951,2819,2863,1800,1136,479,296,347
MASNSEHRA DISTRICT,RURAL,1 PERSON,1830,1140,310,142,42,31,16,6,20
MASNSEHRA DISTRICT,RURAL,2 PERSONS,5793,5208,1328,480,162,84,49,25,33
MASNSEHRA DISTRICT,RURAL,3 PERSONS,6487,7867,2420,901,281,135,70,41,39
MASNSEHRA DISTRICT,RURAL,4 PERSONS,7215,11481,3860,1660,519,246,125,61,81
MASNSEHRA DISTRICT,RURAL,5 PERSONS,7072,13990,5614,2561,708,404,153,97,133
MASNSEHRA DISTRICT,RURAL,6 PERSONS,5862,14427,6668,3176,955,516,168,102,150
MASNSEHRA DISTRICT,RURAL,7 PERSONS,3981,11849,6012,3107,926,525,213,129,113
MASNSEHRA DISTRICT,RURAL,8 PERSONS,2401,8375,4772,2726,831,475,154,108,139
MASNSEHRA DISTRICT,RURAL,9 PERSONS,1229,5151,3450,2057,716,431,158,117,89
MASNSEHRA DISTRICT,RURAL,10 PERSONS AND ABOVE,1505,7779,7482,6478,2911,2142,834,740,874
MASNSEHRA DISTRICT,URBAN,1 PERSON,221,94,51,33,6,5,2,4,5
MASNSEHRA DISTRICT,URBAN,2 PERSONS,277,317,224,90,28,20,10,7,7
MASNSEHRA DISTRICT,URBAN,3 PERSONS,332,506,378,182,54,39,13,13,17
MASNSEHRA DISTRICT,URBAN,4 PERSONS,364,819,693,350,118,48,26,10,19
MASNSEHRA DISTRICT,URBAN,5 PERSONS,411,1040,1146,526,205,89,38,24,32
MASNSEHRA DISTRICT,URBAN,6 PERSONS,279,1037,1173,612,210,113,46,35,41
MASNSEHRA DISTRICT,URBAN,7 PERSONS,187,674,810,542,208,108,54,34,32
MASNSEHRA DISTRICT,URBAN,8 PERSONS,105,443,606,370,109,97,39,19,34
MASNSEHRA DISTRICT,URBAN,9 PERSONS,38,213,345,268,124,66,33,25,26
MASNSEHRA DISTRICT,URBAN,10 PERSONS AND ABOVE,70,332,810,762,472,366,142,131,174
MASTUNG DISTRICT,RURAL,1 PERSON,129,88,34,21,11,3,6,1,2
MASTUNG DISTRICT,RURAL,2 PERSONS,692,1066,427,242,59,56,36,16,45
MASTUNG DISTRICT,RURAL,3 PERSONS,631,1187,627,343,111,90,53,15,43
MASTUNG DISTRICT,RURAL,4 PERSONS,454,1376,937,453,152,101,58,24,53
MASTUNG DISTRICT,RURAL,5 PERSONS,373,1214,1057,585,196,149,80,38,59
MASTUNG DISTRICT,RURAL,6 PERSONS,301,1058,1141,683,251,162,93,38,84
MASTUNG DISTRICT,RURAL,7 PERSONS,240,871,1168,781,250,202,99,45,70
MASTUNG DISTRICT,RURAL,8 PERSONS,192,680,927,779,248,235,140,62,90
MASTUNG DISTRICT,RURAL,9 PERSONS,133,416,688,623,268,228,127,71,89
MASTUNG DISTRICT,RURAL,10 PERSONS AND ABOVE,231,755,1210,1421,749,712,381,323,577
MASTUNG DISTRICT,URBAN,1 PERSON,8,6,8,2,,,,,
MASTUNG DISTRICT,URBAN,2 PERSONS,41,120,51,20,7,9,,1,1
MASTUNG DISTRICT,URBAN,3 PERSONS,37,191,104,50,10,5,2,1,3
MASTUNG DISTRICT,URBAN,4 PERSONS,45,228,140,67,31,9,2,1,6
MASTUNG DISTRICT,URBAN,5 PERSONS,39,209,199,106,40,12,1,3,5
MASTUNG DISTRICT,URBAN,6 PERSONS,27,185,227,122,37,18,10,5,5
MASTUNG DISTRICT,URBAN,7 PERSONS,17,136,217,139,43,27,6,3,7
MASTUNG DISTRICT,URBAN,8 PERSONS,21,85,187,125,61,20,11,5,4
MASTUNG DISTRICT,URBAN,9 PERSONS,11,69,138,133,44,21,8,7,4
MASTUNG DISTRICT,URBAN,10 PERSONS AND ABOVE,18,101,249,274,119,102,37,26,47
MATIARI DISTRICT,RURAL,1 PERSON,2185,172,52,24,9,1,8,1,5
MATIARI DISTRICT,RURAL,2 PERSONS,13792,1223,295,66,30,7,74,12,24
MATIARI DISTRICT,RURAL,3 PERSONS,12996,1404,320,104,44,6,76,10,27
MATIARI DISTRICT,RURAL,4 PERSONS,12918,1855,422,139,38,10,80,9,40
MATIARI DISTRICT,RURAL,5 PERSONS,12043,2169,481,158,35,13,62,6,26
MATIARI DISTRICT,RURAL,6 PERSONS,10662,2332,547,233,44,12,61,7,29
MATIARI DISTRICT,RURAL,7 PERSONS,8167,2102,499,204,36,11,50,8,20
MATIARI DISTRICT,RURAL,8 PERSONS,5651,1764,405,185,55,14,40,9,21
MATIARI DISTRICT,RURAL,9 PERSONS,3534,1288,350,129,43,16,23,1,12
MATIARI DISTRICT,RURAL,10 PERSONS AND ABOVE,4024,2210,894,389,101,79,47,13,25
MATIARI DISTRICT,URBAN,1 PERSON,672,155,49,15,4,5,11,2,2
MATIARI DISTRICT,URBAN,2 PERSONS,2842,668,166,63,19,9,23,4,12
MATIARI DISTRICT,URBAN,3 PERSONS,2710,905,209,76,36,15,18,3,10
MATIARI DISTRICT,URBAN,4 PERSONS,2934,1235,277,133,36,28,19,8,10
MATIARI DISTRICT,URBAN,5 PERSONS,2684,1429,370,143,42,27,20,4,7
MATIARI DISTRICT,URBAN,6 PERSONS,2208,1395,382,144,43,22,21,4,10
MATIARI DISTRICT,URBAN,7 PERSONS,1617,1119,314,118,36,15,17,4,5
MATIARI DISTRICT,URBAN,8 PERSONS,1078,847,272,96,32,13,15,2,6
MATIARI DISTRICT,URBAN,9 PERSONS,660,555,173,99,27,12,13,2,2
MATIARI DISTRICT,URBAN,10 PERSONS AND ABOVE,829,1020,569,313,107,63,24,17,10
MIANWALI DISTRICT,RURAL,1 PERSON,1737,1030,433,201,82,33,32,14,19
MIANWALI DISTRICT,RURAL,2 PERSONS,5151,4722,1664,674,233,111,71,26,44
MIANWALI DISTRICT,RURAL,3 PERSONS,5543,6160,2625,1084,400,160,98,33,45
MIANWALI DISTRICT,RURAL,4 PERSONS,5969,8801,4310,1834,715,308,143,71,73
MIANWALI DISTRICT,RURAL,5 PERSONS,5748,10250,6132,2860,1101,476,242,107,119
MIANWALI DISTRICT,RURAL,6 PERSONS,4431,10027,6649,3241,1408,615,262,123,136
MIANWALI DISTRICT,RURAL,7 PERSONS,2961,7859,5778,3241,1372,652,306,153,157
MIANWALI DISTRICT,RURAL,8 PERSONS,1709,5416,4588,2723,1209,659,287,140,184
MIANWALI DISTRICT,RURAL,9 PERSONS,998,3267,3190,2224,1048,575,247,159,177
MIANWALI DISTRICT,RURAL,10 PERSONS AND ABOVE,1232,4510,6049,5814,3571,2383,1232,850,1382
MIANWALI DISTRICT,URBAN,1 PERSON,457,353,122,66,21,9,10,5,4
MIANWALI DISTRICT,URBAN,2 PERSONS,1319,1262,496,199,76,44,16,6,16
MIANWALI DISTRICT,URBAN,3 PERSONS,1399,1814,747,295,101,53,36,13,16
MIANWALI DISTRICT,URBAN,4 PERSONS,1681,2792,1272,586,200,93,63,17,31
MIANWALI DISTRICT,URBAN,5 PERSONS,1551,3341,1835,817,315,167,62,29,52
MIANWALI DISTRICT,URBAN,6 PERSONS,1124,3109,1953,923,331,197,80,31,51
MIANWALI DISTRICT,URBAN,7 PERSONS,660,2137,1489,840,350,183,67,38,55
MIANWALI DISTRICT,URBAN,8 PERSONS,348,1297,1143,646,301,161,57,35,50
MIANWALI DISTRICT,URBAN,9 PERSONS,206,712,799,520,212,145,49,31,22
MIANWALI DISTRICT,URBAN,10 PERSONS AND ABOVE,250,1070,1545,1517,921,706,302,220,332
MIRPUR KHAS DISTRICT,RURAL,1 PERSON,4611,347,94,26,5,9,17,3,7
MIRPUR KHAS DISTRICT,RURAL,2 PERSONS,25809,2217,328,87,74,8,99,13,44
MIRPUR KHAS DISTRICT,RURAL,3 PERSONS,24139,2880,431,129,89,13,98,16,39
MIRPUR KHAS DISTRICT,RURAL,4 PERSONS,23949,4143,588,154,79,16,90,16,47
MIRPUR KHAS DISTRICT,RURAL,5 PERSONS,23766,5214,763,220,84,24,102,22,40
