district,localities,hhsize,room_in_house_1,room_in_house_2,room_in_house_3,room_in_house_4,room_in_house_5,room_in_house_6,room_in_house_7,room_in_house_8,room_in_house_9
BADIN DISTRICT,URBAN,10 PERSONS AND ABOVE,1666,1231,586,266,107,45,36,12,25
BAHAWALNAGAR DISTRICT,RURAL,1 PERSON,3831,1451,552,279,105,53,26,10,21
BAHAWALNAGAR DISTRICT,RURAL,2 PERSONS,12402,6984,2209,890,332,136,111,41,44
BAHAWALNAGAR DISTRICT,RURAL,3 PERSONS,14975,10932,3873,1637,583,249,118,59,80
BAHAWALNAGAR DISTRICT,RURAL,4 PERSONS,18048,16535,6399,2892,1021,475,209,86,125
BAHAWALNAGAR DISTRICT,RURAL,5 PERSONS,19478,22226,9606,4419,1703,717,371,180,174
BAHAWALNAGAR DISTRICT,RURAL,6 PERSONS,17257,23694,10798,5250,1922,922,416,201,194
BAHAWALNAGAR DISTRICT,RURAL,7 PERSONS,12305,19798,9586,4548,1865,863,401,199,225
BAHAWALNAGAR DISTRICT,RURAL,8 PERSONS,7404,14116,7488,3695,1462,695,336,178,192
BAHAWALNAGAR DISTRICT,RURAL,9 PERSONS,3947,8804,5288,2752,1133,647,286,146,137
BAHAWALNAGAR DISTRICT,RURAL,10 PERSONS AND ABOVE,3951,11610,10442,7397,3770,2364,1102,766,909
BAHAWALNAGAR DISTRICT,URBAN,1 PERSON,984,564,297,157,67,41,17,11,14
BAHAWALNAGAR DISTRICT,URBAN,2 PERSONS,2500,1829,816,409,169,79,42,31,37
BAHAWALNAGAR DISTRICT,URBAN,3 PERSONS,3240,2916,1570,735,267,134,64,40,43
BAHAWALNAGAR DISTRICT,URBAN,4 PERSONS,3945,4464,2479,1358,470,223,111,49,52
BAHAWALNAGAR DISTRICT,URBAN,5 PERSONS,4343,5705,3769,1874,804,399,193,86,89
BAHAWALNAGAR DISTRICT,URBAN,6 PERSONS,3852,5753,3711,2008,838,392,193,87,109
BAHAWALNAGAR DISTRICT,URBAN,7 PERSONS,2515,4390,2839,1528,638,320,170,71,89
BAHAWALNAGAR DISTRICT,URBAN,8 PERSONS,1441,2929,2042,1169,496,242,123,68,88
BAHAWALNAGAR DISTRICT,URBAN,9 PERSONS,761,1682,1388,764,354,211,88,58,55
BAHAWALNAGAR DISTRICT,URBAN,10 PERSONS AND ABOVE,788,2396,2623,2090,1082,715,339,248,294
BAHAWALPUR DISTRICT,RURAL,1 PERSON,4984,1307,487,212,76,39,39,18,11
BAHAWALPUR DISTRICT,RURAL,2 PERSONS,16879,6097,1687,645,242,106,97,20,46
BAHAWALPUR DISTRICT,RURAL,3 PERSONS,18835,9169,2934,1121,400,200,109,36,65
BAHAWALPUR DISTRICT,RURAL,4 PERSONS,22373,14657,4988,2246,810,388,216,65,103
BAHAWALPUR DISTRICT,RURAL,5 PERSONS,23958,19583,7642,3431,1321,602,311,110,174
BAHAWALPUR DISTRICT,RURAL,6 PERSONS,21800,21983,8789,4033,1543,726,399,170,179
BAHAWALPUR DISTRICT,RURAL,7 PERSONS,15566,18630,7975,3725,1442,719,373,180,176
BAHAWALPUR DISTRICT,RURAL,8 PERSONS,9598,13835,6435,3156,1268,681,289,166,158
BAHAWALPUR DISTRICT,RURAL,9 PERSONS,5403,9019,4888,2488,1021,539,237,143,134
BAHAWALPUR DISTRICT,RURAL,10 PERSONS AND ABOVE,6068,14676,12236,8321,4102,2680,1260,910,1124
BAHAWALPUR DISTRICT,URBAN,1 PERSON,2295,1226,490,294,104,65,36,18,30
BAHAWALPUR DISTRICT,URBAN,2 PERSONS,5814,4063,1730,872,329,170,82,50,68
BAHAWALPUR DISTRICT,URBAN,3 PERSONS,6667,5856,2827,1349,550,249,151,47,99
BAHAWALPUR DISTRICT,URBAN,4 PERSONS,7940,8768,4465,2526,963,435,252,131,146
BAHAWALPUR DISTRICT,URBAN,5 PERSONS,8031,10735,6377,3495,1528,719,336,171,194
BAHAWALPUR DISTRICT,URBAN,6 PERSONS,6802,10279,6256,3611,1523,718,331,155,226
BAHAWALPUR DISTRICT,URBAN,7 PERSONS,4494,7682,4864,2679,1189,566,267,158,176
BAHAWALPUR DISTRICT,URBAN,8 PERSONS,2644,4980,3313,1943,829,437,222,115,159
BAHAWALPUR DISTRICT,URBAN,9 PERSONS,1386,3016,2239,1388,620,366,156,91,132
BAHAWALPUR DISTRICT,URBAN,10 PERSONS AND ABOVE,1578,4536,4767,3873,2233,1391,668,504,586
BAJAUR AGENCY,RURAL,1 PERSON,236,129,96,81,44,19,14,9,11
BAJAUR AGENCY,RURAL,2 PERSONS,2036,1309,433,261,81,61,33,14,17
BAJAUR AGENCY,RURAL,3 PERSONS,2369,1959,749,375,118,59,35,23,25
BAJAUR AGENCY,RURAL,4 PERSONS,2719,2901,1115,557,166,87,51,26,35
BAJAUR AGENCY,RURAL,5 PERSONS,2736,3820,1778,869,289,125,65,39,58
BAJAUR AGENCY,RURAL,6 PERSONS,2653,4669,2653,1279,409,201,98,54,83
BAJAUR AGENCY,RURAL,7 PERSONS,2369,5087,3300,1703,584,258,128,76,98
BAJAUR AGENCY,RURAL,8 PERSONS,1633,4582,3602,2094,750,363,138,85,120
BAJAUR AGENCY,RURAL,9 PERSONS,981,3433,3432,2228,852,437,179,90,119
BAJAUR AGENCY,RURAL,10 PERSONS AND ABOVE,1421,6133,9551,9968,6103,4232,1930,1272,2025
BAJAUR AGENCY,URBAN,1 PERSON,,,,,,,,,
BAJAUR AGENCY,URBAN,2 PERSONS,,,,,,,,,
BAJAUR AGENCY,URBAN,3 PERSONS,,,,,,,,,
