district,localities,material,location,owned,rented,rentfree
BAJAUR AGENCY,Urban,Wood / Bamboo,Roof,,,
BAJAUR AGENCY,Urban,Others,Roof,,,
BANNU DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,52108,4051,1273
BANNU DISTRICT,Rural,Unbaked Bricks / Mud,Wall,41624,2187,4219
BANNU DISTRICT,Rural,Wood / Bamboo,Wall,3246,221,400
BANNU DISTRICT,Rural,Others,Wall,2684,215,317
BANNU DISTRICT,Rural,Rcc / Rbc,Roof,5941,1258,202
BANNU DISTRICT,Rural,Cement / Iron Sheets,Roof,2130,121,84
BANNU DISTRICT,Rural,Garder / T.Iron,Roof,56851,2947,1299
BANNU DISTRICT,Rural,Wood / Bamboo,Roof,31730,2120,4251
BANNU DISTRICT,Rural,Others,Roof,3010,228,373
BANNU DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,3055,2379,117
BANNU DISTRICT,Urban,Unbaked Bricks / Mud,Wall,119,152,17
BANNU DISTRICT,Urban,Wood / Bamboo,Wall,34,23,2
BANNU DISTRICT,Urban,Others,Wall,57,37,2
BANNU DISTRICT,Urban,Rcc / Rbc,Roof,1626,1151,53
BANNU DISTRICT,Urban,Cement / Iron Sheets,Roof,195,185,12
BANNU DISTRICT,Urban,Garder / T.Iron,Roof,1279,1021,48
BANNU DISTRICT,Urban,Wood / Bamboo,Roof,101,199,24
BANNU DISTRICT,Urban,Others,Roof,64,35,1
BARKHAN DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,4403,65,158
BARKHAN DISTRICT,Rural,Unbaked Bricks / Mud,Wall,13447,242,509
BARKHAN DISTRICT,Rural,Wood / Bamboo,Wall,3531,56,465
BARKHAN DISTRICT,Rural,Others,Wall,873,17,91
BARKHAN DISTRICT,Rural,Rcc / Rbc,Roof,182,5,16
BARKHAN DISTRICT,Rural,Cement / Iron Sheets,Roof,478,6,14
BARKHAN DISTRICT,Rural,Garder / T.Iron,Roof,4352,87,63
BARKHAN DISTRICT,Rural,Wood / Bamboo,Roof,16234,268,1034
BARKHAN DISTRICT,Rural,Others,Roof,1008,14,96
BARKHAN DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,226,46,14
BARKHAN DISTRICT,Urban,Unbaked Bricks / Mud,Wall,857,209,16
BARKHAN DISTRICT,Urban,Wood / Bamboo,Wall,73,5,
BARKHAN DISTRICT,Urban,Others,Wall,156,15,1
BARKHAN DISTRICT,Urban,Rcc / Rbc,Roof,53,12,5
BARKHAN DISTRICT,Urban,Cement / Iron Sheets,Roof,113,12,4
BARKHAN DISTRICT,Urban,Garder / T.Iron,Roof,182,34,12
BARKHAN DISTRICT,Urban,Wood / Bamboo,Roof,877,205,9
BARKHAN DISTRICT,Urban,Others,Roof,87,12,1
BATAGRAM DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,37332,2144,4523
BATAGRAM DISTRICT,Rural,Unbaked Bricks / Mud,Wall,16123,1325,4819
BATAGRAM DISTRICT,Rural,Wood / Bamboo,Wall,953,43,649
BATAGRAM DISTRICT,Rural,Others,Wall,561,113,222
BATAGRAM DISTRICT,Rural,Rcc / Rbc,Roof,15595,670,818
BATAGRAM DISTRICT,Rural,Cement / Iron Sheets,Roof,28970,854,3338
BATAGRAM DISTRICT,Rural,Garder / T.Iron,Roof,728,54,364
BATAGRAM DISTRICT,Rural,Wood / Bamboo,Roof,7923,1468,4426
BATAGRAM DISTRICT,Rural,Others,Roof,1753,579,1267
BATAGRAM DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,,,
BATAGRAM DISTRICT,Urban,Unbaked Bricks / Mud,Wall,,,
BATAGRAM DISTRICT,Urban,Wood / Bamboo,Wall,,,
BATAGRAM DISTRICT,Urban,Others,Wall,,,
BATAGRAM DISTRICT,Urban,Rcc / Rbc,Roof,,,
BATAGRAM DISTRICT,Urban,Cement / Iron Sheets,Roof,,,
BATAGRAM DISTRICT,Urban,Garder / T.Iron,Roof,,,
BATAGRAM DISTRICT,Urban,Wood / Bamboo,Roof,,,
BATAGRAM DISTRICT,Urban,Others,Roof,,,
BHAKKAR DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,158980,1449,5061
BHAKKAR DISTRICT,Rural,Unbaked Bricks / Mud,Wall,49433,421,3136
BHAKKAR DISTRICT,Rural,Wood / Bamboo,Wall,2017,105,591
BHAKKAR DISTRICT,Rural,Others,Wall,3479,37,766
BHAKKAR DISTRICT,Rural,Rcc / Rbc,Roof,3841,111,112
BHAKKAR DISTRICT,Rural,Cement / Iron Sheets,Roof,3258,57,111
BHAKKAR DISTRICT,Rural,Garder / T.Iron,Roof,173480,1363,5080
BHAKKAR DISTRICT,Rural,Wood / Bamboo,Roof,29902,446,3532
BHAKKAR DISTRICT,Rural,Others,Roof,3428,35,719
BHAKKAR DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,33454,3905,821
BHAKKAR DISTRICT,Urban,Unbaked Bricks / Mud,Wall,2334,279,157
BHAKKAR DISTRICT,Urban,Wood / Bamboo,Wall,216,50,77
BHAKKAR DISTRICT,Urban,Others,Wall,473,44,32
BHAKKAR DISTRICT,Urban,Rcc / Rbc,Roof,4103,836,202
BHAKKAR DISTRICT,Urban,Cement / Iron Sheets,Roof,636,139,5
BHAKKAR DISTRICT,Urban,Garder / T.Iron,Roof,27073,2755,561
BHAKKAR DISTRICT,Urban,Wood / Bamboo,Roof,4006,486,294
BHAKKAR DISTRICT,Urban,Others,Roof,659,62,25
BUNER DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,54545,3877,5476
BUNER DISTRICT,Rural,Unbaked Bricks / Mud,Wall,12677,2453,6856
BUNER DISTRICT,Rural,Wood / Bamboo,Wall,2844,615,1789
BUNER DISTRICT,Rural,Others,Wall,1086,338,434
BUNER DISTRICT,Rural,Rcc / Rbc,Roof,29786,1397,986
BUNER DISTRICT,Rural,Cement / Iron Sheets,Roof,14105,908,642
BUNER DISTRICT,Rural,Garder / T.Iron,Roof,1537,190,550
BUNER DISTRICT,Rural,Wood / Bamboo,Roof,24192,4387,11841
BUNER DISTRICT,Rural,Others,Roof,1532,401,536
BUNER DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,,,
BUNER DISTRICT,Urban,Unbaked Bricks / Mud,Wall,,,
BUNER DISTRICT,Urban,Wood / Bamboo,Wall,,,
BUNER DISTRICT,Urban,Others,Wall,,,
BUNER DISTRICT,Urban,Rcc / Rbc,Roof,,,
BUNER DISTRICT,Urban,Cement / Iron Sheets,Roof,,,
BUNER DISTRICT,Urban,Garder / T.Iron,Roof,,,
BUNER DISTRICT,Urban,Wood / Bamboo,Roof,,,
BUNER DISTRICT,Urban,Others,Roof,,,
CHAGAI DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,1323,317,103
CHAGAI DISTRICT,Rural,Unbaked Bricks / Mud,Wall,25155,396,304
CHAGAI DISTRICT,Rural,Wood / Bamboo,Wall,1649,30,15
CHAGAI DISTRICT,Rural,Others,Wall,1214,7,25
CHAGAI DISTRICT,Rural,Rcc / Rbc,Roof,184,105,57
CHAGAI DISTRICT,Rural,Cement / Iron Sheets,Roof,206,7,3
CHAGAI DISTRICT,Rural,Garder / T.Iron,Roof,2610,270,47
CHAGAI DISTRICT,Rural,Wood / Bamboo,Roof,25020,350,316
CHAGAI DISTRICT,Rural,Others,Roof,1321,18,24
CHAGAI DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,492,49,21
CHAGAI DISTRICT,Urban,Unbaked Bricks / Mud,Wall,1078,168,14
CHAGAI DISTRICT,Urban,Wood / Bamboo,Wall,116,3,1
CHAGAI DISTRICT,Urban,Others,Wall,23,6,
CHAGAI DISTRICT,Urban,Rcc / Rbc,Roof,135,19,13
CHAGAI DISTRICT,Urban,Cement / Iron Sheets,Roof,55,7,1
CHAGAI DISTRICT,Urban,Garder / T.Iron,Roof,372,43,8
CHAGAI DISTRICT,Urban,Wood / Bamboo,Roof,1115,151,12
CHAGAI DISTRICT,Urban,Others,Roof,32,6,2
CHAKWAL DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,181282,6066,6410
CHAKWAL DISTRICT,Rural,Unbaked Bricks / Mud,Wall,16437,710,1086
CHAKWAL DISTRICT,Rural,Wood / Bamboo,Wall,1347,150,376
CHAKWAL DISTRICT,Rural,Others,Wall,2169,192,503
CHAKWAL DISTRICT,Rural,Rcc / Rbc,Roof,32762,1941,1256
CHAKWAL DISTRICT,Rural,Cement / Iron Sheets,Roof,15426,699,842
CHAKWAL DISTRICT,Rural,Garder / T.Iron,Roof,127311,3333,3675
CHAKWAL DISTRICT,Rural,Wood / Bamboo,Roof,23078,977,2130
CHAKWAL DISTRICT,Rural,Others,Roof,2658,168,472
CHAKWAL DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,34658,9006,1662
CHAKWAL DISTRICT,Urban,Unbaked Bricks / Mud,Wall,1358,342,213
CHAKWAL DISTRICT,Urban,Wood / Bamboo,Wall,158,65,122
CHAKWAL DISTRICT,Urban,Others,Wall,462,97,97
CHAKWAL DISTRICT,Urban,Rcc / Rbc,Roof,21086,5926,1007
CHAKWAL DISTRICT,Urban,Cement / Iron Sheets,Roof,1850,492,120
CHAKWAL DISTRICT,Urban,Garder / T.Iron,Roof,10850,2301,399
CHAKWAL DISTRICT,Urban,Wood / Bamboo,Roof,2355,664,454
CHAKWAL DISTRICT,Urban,Others,Roof,495,127,114
CHARSADDA DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,113137,5767,5880
CHARSADDA DISTRICT,Rural,Unbaked Bricks / Mud,Wall,34716,4061,10888
CHARSADDA DISTRICT,Rural,Wood / Bamboo,Wall,1553,237,735
CHARSADDA DISTRICT,Rural,Others,Wall,2460,207,610
CHARSADDA DISTRICT,Rural,Rcc / Rbc,Roof,44936,1659,1607
CHARSADDA DISTRICT,Rural,Cement / Iron Sheets,Roof,9396,558,687
CHARSADDA DISTRICT,Rural,Garder / T.Iron,Roof,40428,1907,2398
CHARSADDA DISTRICT,Rural,Wood / Bamboo,Roof,53890,5922,12835
CHARSADDA DISTRICT,Rural,Others,Roof,3216,226,586
CHARSADDA DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,28008,3668,910
CHARSADDA DISTRICT,Urban,Unbaked Bricks / Mud,Wall,3042,663,202
CHARSADDA DISTRICT,Urban,Wood / Bamboo,Wall,145,37,15
CHARSADDA DISTRICT,Urban,Others,Wall,338,78,47
CHARSADDA DISTRICT,Urban,Rcc / Rbc,Roof,17071,1878,376
CHARSADDA DISTRICT,Urban,Cement / Iron Sheets,Roof,933,114,32
CHARSADDA DISTRICT,Urban,Garder / T.Iron,Roof,3881,583,139
CHARSADDA DISTRICT,Urban,Wood / Bamboo,Roof,9268,1780,583
CHARSADDA DISTRICT,Urban,Others,Roof,380,91,44
CHINIOT DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,105977,1464,9499
CHINIOT DISTRICT,Rural,Unbaked Bricks / Mud,Wall,22322,285,6257
CHINIOT DISTRICT,Rural,Wood / Bamboo,Wall,971,96,246
CHINIOT DISTRICT,Rural,Others,Wall,2438,87,536
CHINIOT DISTRICT,Rural,Rcc / Rbc,Roof,2140,171,233
CHINIOT DISTRICT,Rural,Cement / Iron Sheets,Roof,1252,33,198
CHINIOT DISTRICT,Rural,Garder / T.Iron,Roof,99536,1213,8656
CHINIOT DISTRICT,Rural,Wood / Bamboo,Roof,26593,451,6853
CHINIOT DISTRICT,Rural,Others,Roof,2187,64,598
CHINIOT DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,51013,9713,3782
CHINIOT DISTRICT,Urban,Unbaked Bricks / Mud,Wall,1545,226,346
CHINIOT DISTRICT,Urban,Wood / Bamboo,Wall,160,21,61
CHINIOT DISTRICT,Urban,Others,Wall,758,113,148
CHINIOT DISTRICT,Urban,Rcc / Rbc,Roof,8984,2283,1100
CHINIOT DISTRICT,Urban,Cement / Iron Sheets,Roof,864,213,113
CHINIOT DISTRICT,Urban,Garder / T.Iron,Roof,33385,5729,1768
CHINIOT DISTRICT,Urban,Wood / Bamboo,Roof,9385,1705,1198
CHINIOT DISTRICT,Urban,Others,Roof,858,143,158
CHITRAL DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,16064,322,449
CHITRAL DISTRICT,Rural,Unbaked Bricks / Mud,Wall,34026,619,650
CHITRAL DISTRICT,Rural,Wood / Bamboo,Wall,1230,19,77
CHITRAL DISTRICT,Rural,Others,Wall,525,9,33
CHITRAL DISTRICT,Rural,Rcc / Rbc,Roof,889,74,55
CHITRAL DISTRICT,Rural,Cement / Iron Sheets,Roof,17212,339,196
CHITRAL DISTRICT,Rural,Garder / T.Iron,Roof,928,15,13
CHITRAL DISTRICT,Rural,Wood / Bamboo,Roof,27786,473,743
CHITRAL DISTRICT,Rural,Others,Roof,5030,68,202
CHITRAL DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,1835,600,54
CHITRAL DISTRICT,Urban,Unbaked Bricks / Mud,Wall,3544,576,23
CHITRAL DISTRICT,Urban,Wood / Bamboo,Wall,120,29,1
CHITRAL DISTRICT,Urban,Others,Wall,66,9,3
CHITRAL DISTRICT,Urban,Rcc / Rbc,Roof,1051,330,20
CHITRAL DISTRICT,Urban,Cement / Iron Sheets,Roof,2754,619,37
CHITRAL DISTRICT,Urban,Garder / T.Iron,Roof,76,16,5
CHITRAL DISTRICT,Urban,Wood / Bamboo,Roof,1250,172,11
CHITRAL DISTRICT,Urban,Others,Roof,434,77,8
DADU DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,65797,1031,742
DADU DISTRICT,Rural,Unbaked Bricks / Mud,Wall,109720,745,1872
DADU DISTRICT,Rural,Wood / Bamboo,Wall,27630,204,1481
DADU DISTRICT,Rural,Others,Wall,5740,48,606
DADU DISTRICT,Rural,Rcc / Rbc,Roof,2017,39,102
DADU DISTRICT,Rural,Cement / Iron Sheets,Roof,4238,52,91
DADU DISTRICT,Rural,Garder / T.Iron,Roof,78971,998,653
DADU DISTRICT,Rural,Wood / Bamboo,Roof,118249,892,3331
DADU DISTRICT,Rural,Others,Roof,5412,47,524
DADU DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,47163,7236,680
DADU DISTRICT,Urban,Unbaked Bricks / Mud,Wall,9413,1376,178
DADU DISTRICT,Urban,Wood / Bamboo,Wall,1493,187,111
DADU DISTRICT,Urban,Others,Wall,641,80,89
DADU DISTRICT,Urban,Rcc / Rbc,Roof,2981,827,162
DADU DISTRICT,Urban,Cement / Iron Sheets,Roof,2538,354,41
DADU DISTRICT,Urban,Garder / T.Iron,Roof,44491,6571,505
DADU DISTRICT,Urban,Wood / Bamboo,Roof,8098,1043,284
DADU DISTRICT,Urban,Others,Roof,602,84,66
DERA BUGTI DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,3629,21,281
DERA BUGTI DISTRICT,Rural,Unbaked Bricks / Mud,Wall,11691,43,957
DERA BUGTI DISTRICT,Rural,Wood / Bamboo,Wall,9480,42,1182
DERA BUGTI DISTRICT,Rural,Others,Wall,3930,4,212
DERA BUGTI DISTRICT,Rural,Rcc / Rbc,Roof,85,1,6
DERA BUGTI DISTRICT,Rural,Cement / Iron Sheets,Roof,255,6,46
DERA BUGTI DISTRICT,Rural,Garder / T.Iron,Roof,1524,9,294
DERA BUGTI DISTRICT,Rural,Wood / Bamboo,Roof,23321,88,2178
DERA BUGTI DISTRICT,Rural,Others,Roof,3545,6,108
DERA BUGTI DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,3754,549,621
DERA BUGTI DISTRICT,Urban,Unbaked Bricks / Mud,Wall,6621,122,492
DERA BUGTI DISTRICT,Urban,Wood / Bamboo,Wall,1356,28,157
DERA BUGTI DISTRICT,Urban,Others,Wall,383,20,59
DERA BUGTI DISTRICT,Urban,Rcc / Rbc,Roof,199,500,507
DERA BUGTI DISTRICT,Urban,Cement / Iron Sheets,Roof,619,23,34
DERA BUGTI DISTRICT,Urban,Garder / T.Iron,Roof,5532,55,118
DERA BUGTI DISTRICT,Urban,Wood / Bamboo,Roof,5277,125,548
DERA BUGTI DISTRICT,Urban,Others,Roof,487,16,122
DERA GHAZI KHAN DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,124552,2308,2583
DERA GHAZI KHAN DISTRICT,Rural,Unbaked Bricks / Mud,Wall,119180,803,3422
DERA GHAZI KHAN DISTRICT,Rural,Wood / Bamboo,Wall,7120,180,588
DERA GHAZI KHAN DISTRICT,Rural,Others,Wall,5922,137,571
DERA GHAZI KHAN DISTRICT,Rural,Rcc / Rbc,Roof,3175,878,474
DERA GHAZI KHAN DISTRICT,Rural,Cement / Iron Sheets,Roof,3948,66,79
DERA GHAZI KHAN DISTRICT,Rural,Garder / T.Iron,Roof,134484,1444,2125
