district,material,location,owned,rented,rentfree
SOUTH WAZIRISTAN AGENCY,Unbaked Bricks / Mud,Wall,61845,1369,874
SOUTH WAZIRISTAN AGENCY,Wood / Bamboo,Wall,5053,187,68
SOUTH WAZIRISTAN AGENCY,Others,Wall,5571,111,282
SOUTH WAZIRISTAN AGENCY,Rcc / Rbc,Roof,226,24,37
SOUTH WAZIRISTAN AGENCY,Cement / Iron Sheets,Roof,1230,92,40
SOUTH WAZIRISTAN AGENCY,Garder / T.Iron,Roof,8428,140,198
SOUTH WAZIRISTAN AGENCY,Wood / Bamboo,Roof,60635,1444,815
SOUTH WAZIRISTAN AGENCY,Others,Roof,5930,167,277
SUJAWAL DISTRICT,Baked Bricks / Blocks / Stone,Wall,25134,1173,640
SUJAWAL DISTRICT,Unbaked Bricks / Mud,Wall,22836,121,359
SUJAWAL DISTRICT,Wood / Bamboo,Wall,92467,298,3906
SUJAWAL DISTRICT,Others,Wall,4652,22,365
SUJAWAL DISTRICT,Rcc / Rbc,Roof,8280,724,403
SUJAWAL DISTRICT,Cement / Iron Sheets,Roof,3782,63,51
SUJAWAL DISTRICT,Garder / T.Iron,Roof,16187,396,270
SUJAWAL DISTRICT,Wood / Bamboo,Roof,114093,408,4182
SUJAWAL DISTRICT,Others,Roof,2747,23,364
SUKKUR DISTRICT,Baked Bricks / Blocks / Stone,Wall,123878,19296,3605
SUKKUR DISTRICT,Unbaked Bricks / Mud,Wall,65847,2579,2678
SUKKUR DISTRICT,Wood / Bamboo,Wall,31054,629,3057
SUKKUR DISTRICT,Others,Wall,3388,130,873
SUKKUR DISTRICT,Rcc / Rbc,Roof,14706,7092,858
SUKKUR DISTRICT,Cement / Iron Sheets,Roof,7080,1378,238
SUKKUR DISTRICT,Garder / T.Iron,Roof,129155,11948,2983
SUKKUR DISTRICT,Wood / Bamboo,Roof,70574,1989,5482
SUKKUR DISTRICT,Others,Roof,2652,227,652
SWABI DISTRICT,Baked Bricks / Blocks / Stone,Wall,159591,14979,9299
SWABI DISTRICT,Unbaked Bricks / Mud,Wall,13438,3668,5800
SWABI DISTRICT,Wood / Bamboo,Wall,1417,363,877
SWABI DISTRICT,Others,Wall,1436,166,294
SWABI DISTRICT,Rcc / Rbc,Roof,93133,7242,4164
SWABI DISTRICT,Cement / Iron Sheets,Roof,12213,2165,1051
SWABI DISTRICT,Garder / T.Iron,Roof,42716,4243,2756
SWABI DISTRICT,Wood / Bamboo,Roof,25974,5263,7983
SWABI DISTRICT,Others,Roof,1846,263,316
SWAT DISTRICT,Baked Bricks / Blocks / Stone,Wall,171074,25985,5306
SWAT DISTRICT,Unbaked Bricks / Mud,Wall,37646,8292,4058
SWAT DISTRICT,Wood / Bamboo,Wall,11086,1676,1099
SWAT DISTRICT,Others,Wall,3716,750,286
SWAT DISTRICT,Rcc / Rbc,Roof,100981,17377,1650
SWAT DISTRICT,Cement / Iron Sheets,Roof,33508,4586,813
SWAT DISTRICT,Garder / T.Iron,Roof,4570,1115,268
SWAT DISTRICT,Wood / Bamboo,Roof,78719,12397,7506
SWAT DISTRICT,Others,Roof,5744,1228,512
TANDO ALLAHYAR DISTRICT,Baked Bricks / Blocks / Stone,Wall,72217,4213,4310
TANDO ALLAHYAR DISTRICT,Unbaked Bricks / Mud,Wall,30992,504,21817
TANDO ALLAHYAR DISTRICT,Wood / Bamboo,Wall,13544,448,11476
TANDO ALLAHYAR DISTRICT,Others,Wall,2312,79,2261
TANDO ALLAHYAR DISTRICT,Rcc / Rbc,Roof,11252,1207,640
TANDO ALLAHYAR DISTRICT,Cement / Iron Sheets,Roof,3216,266,448
TANDO ALLAHYAR DISTRICT,Garder / T.Iron,Roof,55851,2722,3925
TANDO ALLAHYAR DISTRICT,Wood / Bamboo,Roof,46205,970,32580
TANDO ALLAHYAR DISTRICT,Others,Roof,2541,79,2271
TANDO MUHAMMAD KHAN DISTRICT,Baked Bricks / Blocks / Stone,Wall,47052,2422,2013
TANDO MUHAMMAD KHAN DISTRICT,Unbaked Bricks / Mud,Wall,29844,264,5419
TANDO MUHAMMAD KHAN DISTRICT,Wood / Bamboo,Wall,33961,269,4857
TANDO MUHAMMAD KHAN DISTRICT,Others,Wall,3787,46,1032
TANDO MUHAMMAD KHAN DISTRICT,Rcc / Rbc,Roof,7559,1013,312
TANDO MUHAMMAD KHAN DISTRICT,Cement / Iron Sheets,Roof,1621,57,183
TANDO MUHAMMAD KHAN DISTRICT,Garder / T.Iron,Roof,35200,1331,1256
TANDO MUHAMMAD KHAN DISTRICT,Wood / Bamboo,Roof,66936,556,10672
TANDO MUHAMMAD KHAN DISTRICT,Others,Roof,3328,44,898
TANK DISTRICT,Baked Bricks / Blocks / Stone,Wall,10844,1033,341
TANK DISTRICT,Unbaked Bricks / Mud,Wall,25933,505,609
TANK DISTRICT,Wood / Bamboo,Wall,1631,51,72
TANK DISTRICT,Others,Wall,1419,51,126
TANK DISTRICT,Rcc / Rbc,Roof,326,99,36
TANK DISTRICT,Cement / Iron Sheets,Roof,842,38,29
TANK DISTRICT,Garder / T.Iron,Roof,23600,968,555
TANK DISTRICT,Wood / Bamboo,Roof,13879,489,443
TANK DISTRICT,Others,Roof,1180,46,85
THARPARKAR DISTRICT,Baked Bricks / Blocks / Stone,Wall,55418,1039,482
THARPARKAR DISTRICT,Unbaked Bricks / Mud,Wall,190865,437,2216
THARPARKAR DISTRICT,Wood / Bamboo,Wall,42332,169,1092
THARPARKAR DISTRICT,Others,Wall,5729,43,141
THARPARKAR DISTRICT,Rcc / Rbc,Roof,1089,144,36
THARPARKAR DISTRICT,Cement / Iron Sheets,Roof,4046,31,54
THARPARKAR DISTRICT,Garder / T.Iron,Roof,49581,890,440
THARPARKAR DISTRICT,Wood / Bamboo,Roof,234088,593,3315
THARPARKAR DISTRICT,Others,Roof,5540,30,86
THATTA DISTRICT,Baked Bricks / Blocks / Stone,Wall,56415,5242,1956
THATTA DISTRICT,Unbaked Bricks / Mud,Wall,18905,257,902
THATTA DISTRICT,Wood / Bamboo,Wall,84167,546,4451
THATTA DISTRICT,Others,Wall,7175,112,460
THATTA DISTRICT,Rcc / Rbc,Roof,16068,2319,755
THATTA DISTRICT,Cement / Iron Sheets,Roof,25617,2348,853
THATTA DISTRICT,Garder / T.Iron,Roof,22587,734,358
THATTA DISTRICT,Wood / Bamboo,Roof,94693,666,5360
THATTA DISTRICT,Others,Roof,7697,90,443
TOBA TEK SINGH DISTRICT,Baked Bricks / Blocks / Stone,Wall,277357,16246,11376
TOBA TEK SINGH DISTRICT,Unbaked Bricks / Mud,Wall,22094,915,3613
TOBA TEK SINGH DISTRICT,Wood / Bamboo,Wall,1501,116,334
TOBA TEK SINGH DISTRICT,Others,Wall,3593,254,782
TOBA TEK SINGH DISTRICT,Rcc / Rbc,Roof,19741,3657,818
TOBA TEK SINGH DISTRICT,Cement / Iron Sheets,Roof,5082,539,250
TOBA TEK SINGH DISTRICT,Garder / T.Iron,Roof,228732,10681,8425
TOBA TEK SINGH DISTRICT,Wood / Bamboo,Roof,45147,2308,5707
TOBA TEK SINGH DISTRICT,Others,Roof,5843,346,905
TORGHAR DISTRICT,Baked Bricks / Blocks / Stone,Wall,15832,2213,1241
TORGHAR DISTRICT,Unbaked Bricks / Mud,Wall,4117,340,472
TORGHAR DISTRICT,Wood / Bamboo,Wall,1037,175,110
TORGHAR DISTRICT,Others,Wall,557,136,51
TORGHAR DISTRICT,Rcc / Rbc,Roof,892,31,68
TORGHAR DISTRICT,Cement / Iron Sheets,Roof,1012,60,31
TORGHAR DISTRICT,Garder / T.Iron,Roof,119,11,5
TORGHAR DISTRICT,Wood / Bamboo,Roof,18766,2636,1715
TORGHAR DISTRICT,Others,Roof,754,126,55
UMER KOT DISTRICT,Baked Bricks / Blocks / Stone,Wall,52822,3016,2519
UMER KOT DISTRICT,Unbaked Bricks / Mud,Wall,65287,861,29104
UMER KOT DISTRICT,Wood / Bamboo,Wall,29096,789,21327
UMER KOT DISTRICT,Others,Wall,3160,155,1826
UMER KOT DISTRICT,Rcc / Rbc,Roof,3994,685,255
UMER KOT DISTRICT,Cement / Iron Sheets,Roof,2749,37,402
UMER KOT DISTRICT,Garder / T.Iron,Roof,50122,2228,2659
UMER KOT DISTRICT,Wood / Bamboo,Roof,90056,1721,49759
UMER KOT DISTRICT,Others,Roof,3444,150,1701
UPPER DIR DISTRICT,Baked Bricks / Blocks / Stone,Wall,84658,1313,3251
UPPER DIR DISTRICT,Unbaked Bricks / Mud,Wall,19280,513,991
UPPER DIR DISTRICT,Wood / Bamboo,Wall,6564,132,256
UPPER DIR DISTRICT,Others,Wall,1995,31,117
UPPER DIR DISTRICT,Rcc / Rbc,Roof,14238,505,233
UPPER DIR DISTRICT,Cement / Iron Sheets,Roof,13819,365,320
UPPER DIR DISTRICT,Garder / T.Iron,Roof,1516,87,62
UPPER DIR DISTRICT,Wood / Bamboo,Roof,79409,970,3817
UPPER DIR DISTRICT,Others,Roof,3515,62,183
VEHARI DISTRICT,Baked Bricks / Blocks / Stone,Wall,352151,18235,18336
VEHARI DISTRICT,Unbaked Bricks / Mud,Wall,49315,1153,10252
VEHARI DISTRICT,Wood / Bamboo,Wall,2033,88,784
VEHARI DISTRICT,Others,Wall,5283,196,1231
VEHARI DISTRICT,Rcc / Rbc,Roof,27552,5558,1235
VEHARI DISTRICT,Cement / Iron Sheets,Roof,3696,327,238
VEHARI DISTRICT,Garder / T.Iron,Roof,341510,12410,18549
VEHARI DISTRICT,Wood / Bamboo,Roof,31217,1096,9304
VEHARI DISTRICT,Others,Roof,4807,281,1277
WASHUK DISTRICT,Baked Bricks / Blocks / Stone,Wall,1066,17,19
WASHUK DISTRICT,Unbaked Bricks / Mud,Wall,21393,108,126
WASHUK DISTRICT,Wood / Bamboo,Wall,5413,21,114
WASHUK DISTRICT,Others,Wall,2544,18,36
WASHUK DISTRICT,Rcc / Rbc,Roof,230,7,13
WASHUK DISTRICT,Cement / Iron Sheets,Roof,319,13,5
WASHUK DISTRICT,Garder / T.Iron,Roof,3378,24,11
WASHUK DISTRICT,Wood / Bamboo,Roof,23147,98,218
WASHUK DISTRICT,Others,Roof,3342,22,48
ZHOB DISTRICT,Baked Bricks / Blocks / Stone,Wall,21016,2092,361
ZHOB DISTRICT,Unbaked Bricks / Mud,Wall,11133,1919,819
ZHOB DISTRICT,Wood / Bamboo,Wall,4158,532,236
ZHOB DISTRICT,Others,Wall,2170,214,189
ZHOB DISTRICT,Rcc / Rbc,Roof,1095,564,100
ZHOB DISTRICT,Cement / Iron Sheets,Roof,507,290,159
ZHOB DISTRICT,Garder / T.Iron,Roof,7440,1643,157
ZHOB DISTRICT,Wood / Bamboo,Roof,26812,2071,1052
ZHOB DISTRICT,Others,Roof,2623,189,137
ZIARAT DISTRICT,Baked Bricks / Blocks / Stone,Wall,2053,111,83
ZIARAT DISTRICT,Unbaked Bricks / Mud,Wall,21075,396,753
ZIARAT DISTRICT,Wood / Bamboo,Wall,1830,16,364
ZIARAT DISTRICT,Others,Wall,1657,25,261
ZIARAT DISTRICT,Rcc / Rbc,Roof,209,8,18
ZIARAT DISTRICT,Cement / Iron Sheets,Roof,5991,151,116
ZIARAT DISTRICT,Garder / T.Iron,Roof,1815,103,53
ZIARAT DISTRICT,Wood / Bamboo,Roof,16498,258,1024
ZIARAT DISTRICT,Others,Roof,2102,28,250
